dispatch_id,loading_id,date,year,month,omc_id,customer_name,product,depot,volume_liters,distance_km,truck_reg_number,driver_id,transport_tariff_kes,storage_tariff_kes,value_kes,dispatched_by
DISP-02161,LOAD-002161,2025-03-16,2025,3,OMC-009,Dalbit Petroleum,LPG,Eldoret,51978,700,KB38F,DRV-81791,201207,51978,253185,CLERK-ELD-03
DISP-08535,LOAD-008535,2025-05-30,2025,5,OMC-014,Texol Energies,LPG,Eldoret,20699,700,KA44G,DRV-20711,80126,20699," KES 100,825 ",CLERK-ELD-01
DISP-07348,LOAD-007348,2025-02-19,2025,2,OMC-017,KAA Aviation,LUB,Nairobi,27388,450,KB29G,DRV-91283,68155,27388,95543,CLERK-NAI-03
DISP-05055,LOAD-005055,2025-02-01,2025,2,OMC-010,Tamoil,LPG,Mombasa (Kipevu),41711,5,KB80J,DRV-89256,1153,41711,42864,CLERK-MOM-KIP-03
DISP-09134,LOAD-009134,2026-03-11,2026,3,OMC-003,Rubis Energy,HFO,Kisumu,22613,650,KA75G,DRV-71551,85398,23744,109142,CLERK-KIS-01
DISP-08874,LOAD-008874,2026-04-19,2026,4,OMC-012,Galana Energies,AGO,Mombasa (KOSF),50426,10,KD18B,DRV-5339,2930,52948," KES 55,878 ",CLERK-MOM-KOS-02
DISP-07320,LOAD-007320,2026-04-28,2026,4,OMC-011,Hass Petroleum,LUB,Mombasa (KOSF),27940,10,KA35H,DRV-28333,1623,29337,30960,CLERK-MOM-KOS-02
DISP-01177,LOAD-001177,2026-05-08,2026,5,OMC-017,KAA Aviation,AGO,Nairobi,35349,450,KA11F,DRV-48728,92420,37116,129536,CLERK-NAI-03
DISP-09951,LOAD-009951,2025-04-19,2025,4,OMC-019,Tanzania Petroleum,AGO,Eldoret,27387,700,KB56H,DRV-55671,106015,27387,133402,CLERK-ELD-01
DISP-03906,LOAD-003906,2025-07-04,2025,7,OMC-017,KAA Aviation,DPK,Kisumu,33959,650,KB50J,DRV-46064,122066,33959,156025,CLERK-KIS-02
DISP-04356,LOAD-004356,,2025,11,OMC-006,Hashi Energy,LPG,Mombasa (Kipevu),57652,5,KA55G,DRV-40088,1594,57652,59246,CLERK-MOM-KIP-03
DISP-06166,LOAD-006166,2025-12-16,2025,12,OMC-002,Vivo Energy,LUB,Kisumu,54499,650,KA27J,DRV-84230,195897,54499,250396,CLERK-KIS-02
DISP-02338,LOAD-002338,2025-12-31,2025,12,OMC-009,Dalbit Petroleum,HFO,Mombasa (KOSF),28423,10,KA43G,DRV-67480,1572,28423,29995,CLERK-MOM-KOS-02
DISP-00797,LOAD-000797,2026-03-05,2026,3,OMC-014,Texol Energies,AGO,Mombasa (Kipevu),44388,5,KA91F,DRV-91117,1289,46607,47896,CLERK-MOM-KIP-03
DISP-05619,LOAD-005619,2026-02-15,2026,2,OMC-005,PetroOil Kenya,HFO,Kisumu,27494,650,KD37D,DRV-7482,103831,28869,132700,CLERK-KIS-01
DISP-05082,LOAD-005082,2025-05-21,2025,5,OMC-010,Tamoil,PMS,Eldoret,53250,700,KB12G,DRV-47508,206131,53250,259381,CLERK-ELD-02
DISP-07512,LOAD-007512,2025-06-19,2025,6,OMC-019,Tanzania Petroleum,PMS,Eldoret,57626,700,KB38G,DRV-18409,223070,57626,280696,CLERK-ELD-01
DISP-09602,LOAD-009602,2025-01-22,2025,1,OMC-002,Vivo Energy,LUB,Nairobi,56430,450,KB61J,DRV-56189,140426,56430,196856,CLERK-NAI-02
DISP-09969,LOAD-009969,2025-02-20,2025,2,OMC-015,Mombasa Petroleum,DPK,Nairobi,58736,450,KA89J,DRV-95824,146165,58736,204901,CLERK-NAI-03
DISP-08524,LOAD-008524,2025-04-13,2025,4,OMC-017,KAA Aviation,LPG,Kisumu,44107,650,KA85G,DRV-71006,158543,44107,202650,CLERK-KIS-03
DISP-07541,LOAD-007541,2025-05-11,2025,5,OMC-018,Uganda National Oil,HFO,Eldoret,59197,700,KA22H,DRV-30341,229152,59197,288349,CLERK-ELD-02
DISP-07869,LOAD-007869,2026-04-13,2026,4,OMC-005,PetroOil Kenya,JETA1,Mombasa (KOSF),55225,10,KC50D,DRV-5339,3209,57987,61196,CLERK-MOM-KOS-01
DISP-02126,LOAD-002126,2026-03-17,2026,3,OMC-011,Hass Petroleum,PMS,Eldoret,50512,700,KA12J,DRV-93003,205432,53038,258470,CLERK-ELD-01
DISP-02934,LOAD-002934,2026-02-28,2026,2,OMC-017,KAA Aviation,AGO,Eldoret,51628,700,KB10J,DRV-75855,209971,54209,264180,CLERK-ELD-02
DISP-04559,LOAD-004559,,2025,11,OMC-017,KAA Aviation,DPK,Eldoret,38829,700,KA18J,DRV-77375,150307,38829,189136,CLERK-ELD-02
DISP-04664,LOAD-004664,2026-02-10,2026,2,OMC-012,Galana Energies,LUB,Nairobi,33625,450,KD17B,DRV-5339,87913,35306,123219,CLERK-NAI-02
DISP-08078,LOAD-008078,2026-03-12,2026,3,OMC-004,Gulf Energy,LPG,Mombasa (Kipevu),50443,5,KD18B,DRV-8517,1465,52965,54430,CLERK-MOM-KIP-02
DISP-02929,LOAD-002929,2025-09-10,2025,9,OMC-008,National Oil,DPK,Nairobi,28857,450,KB63F,DRV-76479,71811,28857,100668,CLERK-NAI-03
DISP-02561,LOAD-002561,2025-10-07,2025,10,OMC-003,Rubis Energy,HFO,Mombasa (KOSF),52380,10,KB41J,DRV-49589,2897,52380,55277,CLERK-MOM-KOS-03
DISP-04891,LOAD-004891,2025-09-24,2025,9,OMC-011,Hass Petroleum,AGO,Nairobi,39074,450,KB76G,DRV-36239,97236,39074,136310,CLERK-NAI-02
DISP-04825,LOAD-004825,2025-04-11,2025,4,OMC-001,TotalEnergies Kenya,LPG,Eldoret,40460,700,KA33H,DRV-72625,156621,40460,197081,CLERK-ELD-03
DISP-01039,LOAD-001039,2026-03-07,2026,3,OMC-005,PetroOil Kenya,DPK,Mombasa (KOSF),34648,10,KC50D,DRV-3340,2013,36380,38393,CLERK-MOM-KOS-02
DISP-05548,LOAD-005548,2025-09-11,2025,9,OMC-015,Mombasa Petroleum,AGO,Kisumu,58429,650,KA26G,DRV-87260,210023,58429,268452,CLERK-KIS-02
DISP-06759,LOAD-006759,2026-05-17,2026,5,OMC-009,Dalbit Petroleum,PMS,Mombasa (KOSF),21623,10,KB90J,DRV-23593,1256,22704,23960,CLERK-MOM-KOS-03
DISP-09301,LOAD-009301,2025-02-05,2025,2,OMC-003,Rubis Energy,AGO,Mombasa (KOSF),48310,10,KB35G,DRV-14737,2672,48310,50982,CLERK-MOM-KOS-03
DISP-02357,LOAD-002357,2025-07-24,2025,7,OMC-015,Mombasa Petroleum,DPK,Kisumu,58210,650,KB21G,DRV-53015,209236,58210,267446,CLERK-KIS-03
DISP-07662,LOAD-007662,2025-06-27,2025,6,OMC-008,National Oil,AGO,Mombasa (KOSF),44628,10,KB67H,DRV-36877,2468,44628,47096,CLERK-MOM-KOS-03
DISP-06016,LOAD-006016,2025-08-31,2025,8,OMC-014,Texol Energies,HFO,Eldoret,50506,700,KB90J,DRV-16558,195509,50506," KES 246,015 ",CLERK-ELD-02
DISP-09009,LOAD-009009,2026-01-03,2026,1,OMC-014,Texol Energies,LPG,Kisumu,24949,650,KA52F,DRV-85698,94220,26196,120416,CLERK-KIS-03
DISP-04225,LOAD-004225,2025-07-21,2025,7,OMC-018,Uganda National Oil,DPK,Nairobi,38434,450,KB70G,DRV-71163,95643,38434,134077,CLERK-NAI-03
DISP-06083,LOAD-006083,2025-09-27,2025,9,OMC-009,Dalbit Petroleum,LPG,Kisumu,39273,650,KA54H,DRV-22872,141167,39273,180440,CLERK-KIS-01
DISP-09683,LOAD-009683,2025-11-02,2025,11,OMC-016,KPA Marine,PMS,Mombasa (KOSF),28384,10,KA33J,DRV-25205,1570,28384,29954,CLERK-MOM-KOS-03
DISP-05989,LOAD-005989,2026-03-16,2026,3,OMC-005,PetroOil Kenya,LUB,Mombasa (Kipevu),22909,5,KD17B,DRV-8517,666,24054,24720,CLERK-MOM-KIP-03
DISP-01304,LOAD-001304,2026-05-29,2026,5,OMC-007,Kobil,LUB,Kisumu,36300,650,KB96G,DRV-38113,137087,38115,175202,CLERK-KIS-02
DISP-04190,LOAD-004190,2025-08-29,2025,8,OMC-011,Hass Petroleum,JETA1,Eldoret,36948,700,KB69G,DRV-29860,143026,36948,179974,CLERK-ELD-03
DISP-00822,LOAD-000822,2025-05-24,2025,5,OMC-001,TotalEnergies Kenya,LUB,Mombasa (KOSF),52168,10,KB64J,DRV-73747,2885,52169,55054,CLERK-MOM-KOS-02
DISP-00001,LOAD-000001,2026-03-04,2026,3,OMC-005,PetroOil Kenya,HFO,Kisumu,34480,650,KD18B,DRV-5339,130214,36204,166418,CLERK-KIS-01
DISP-02456,LOAD-002456,2026-04-29,2026,4,OMC-004,Gulf Energy,PMS,Eldoret,47163,700,KD37D,DRV-5339,191812,49521,241333,CLERK-ELD-03
DISP-09086,LOAD-009086,12/05/2025,2025,5,OMC-014,Texol Energies,AGO,Kisumu,57453,650,KB20J,DRV-55921,206515,57453,263968,CLERK-KIS-03
DISP-07598,LOAD-007598,2025-04-12,2025,4,OMC-009,Dalbit Petroleum,AGO,Nairobi,44355,450,KA64F,DRV-41289,110377,44355,154732,CLERK-NAI-01
DISP-09934,LOAD-009934,2026-05-02,2026,5,OMC-010,Tamoil,JETA1,Mombasa (KOSF),28690,10,KA99H,DRV-23588,1667,30124,31791,CLERK-MOM-KOS-02
DISP-04812,LOAD-004812,2025-12-12,2025,12,OMC-017,KAA Aviation,DPK,Mombasa (KOSF),29740,10,KB49H,DRV-48915,1645,29740,31385,CLERK-MOM-KOS-01
DISP-05671,LOAD-005671,2025-12-25,2025,12,OMC-018,Uganda National Oil,HFO,Nairobi,43661,450,KB75G,DRV-20754,108650,43661,152311,CLERK-NAI-02
DISP-01582,LOAD-001582,2026-05-07,2026,5,OMC-018,Uganda National Oil,PMS,Nairobi,23684,450,KA49G,DRV-86322,61922,24868," KES 86,790 ",CLERK-NAI-01
DISP-07478,LOAD-007478,2025-01-30,2025,1,OMC-016,KPA Marine,LPG,Eldoret,25347,700,KA76H,DRV-54157,98118,25347," KES 123,465 ",CLERK-ELD-01
DISP-01318,LOAD-001318,2025-10-29,2025,10,OMC-018,Uganda National Oil,LUB,Kisumu,56559,650,KB82F,DRV-75883,203301,56559," KES 259,860 ",CLERK-KIS-01
DISP-08937,LOAD-008937,2026-03-31,2026,3,OMC-015,Mombasa Petroleum,LPG,Mombasa (KOSF),42828,10,KA88F,DRV-79037,2488,44969,47457,CLERK-MOM-KOS-03
DISP-09422,LOAD-009422,2026-03-09,2026,3,OMC-001,TotalEnergies Kenya,HFO,Nairobi,26806,450,KA70G,DRV-18503,70084,28146,98230,CLERK-NAI-01
DISP-01550,LOAD-001550,2026-01-21,2026,1,OMC-018,Uganda National Oil,LUB,Kisumu,31701,650,KB31J,DRV-65048,119719,33286,153005,CLERK-KIS-02
DISP-04748,LOAD-004748,2025-01-26,2025,1,OMC-015,Mombasa Petroleum,HFO,Mombasa (KOSF),31877,10,KA71H,DRV-91372,1763,31877,33640,CLERK-MOM-KOS-02
DISP-05964,LOAD-005964,2025-08-09,2025,8,OMC-001,TotalEnergies Kenya,PMS,Mombasa (KOSF),21454,10,KB22H,DRV-64784,1186,21454,22640,CLERK-MOM-KOS-03
DISP-06890,LOAD-006890,2026-02-05,2026,2,OMC-005,PetroOil Kenya,JETA1,Kisumu,27169,650,KD37D,DRV-3340,102604,28527,131131,CLERK-KIS-03
DISP-00855,LOAD-000855,2025-11-17,2025,11,OMC-013,Lake Oil,AGO,Nairobi,54239,450,KB91G,DRV-60160,134974,54239,189213,CLERK-NAI-01
DISP-01324,LOAD-001324,11/03/2025,2025,3,OMC-003,Rubis Energy,JETA1,Kisumu,26282,650,KA91G,DRV-93008,94471,26282,120753,CLERK-KIS-02
DISP-01313,LOAD-001313,2026-04-19,2026,4,OMC-014,Texol Energies,JETA1,Eldoret,41457,700,KB68H,DRV-37034,168606,43530,212136,CLERK-ELD-02
DISP-00271,LOAD-000271,2025-06-02,2025,6,OMC-016,KPA Marine,JETA1,Eldoret,40416,700,KB38H,DRV-27548,156450,40416,196866,CLERK-ELD-03
DISP-05904,LOAD-005904,2025-12-21,2025,12,OMC-020,Ethiopian Oil,LPG,Nairobi,20391,450,KA53G,DRV-50527,50743,20391,71134,CLERK-NAI-01
DISP-06603,LOAD-006603,2025-06-19,2025,6,OMC-015,Mombasa Petroleum,PMS,Nairobi,37399,450,KA86G,DRV-84016,93067,37399,130466,CLERK-NAI-01
DISP-04473,LOAD-004473,2025-06-20,2025,6,OMC-003,Rubis Energy,JETA1,Eldoret,34399,700,KB53G,DRV-77028,133159,34399,167558,CLERK-ELD-03
DISP-01569,LOAD-001569,2026-02-03,2026,2,OMC-009,Dalbit Petroleum,DPK,Mombasa (KOSF),56863,10,KA54H,DRV-81404,3304,59706,63010,CLERK-MOM-KOS-01
DISP-02749,LOAD-002749,2025-08-14,2025,8,OMC-016,KPA Marine,PMS,Nairobi,23100,450,KA28F,DRV-47442,57484,23100,80584,CLERK-NAI-02
DISP-05287,LOAD-005287,2026-05-12,2026,5,OMC-018,Uganda National Oil,AGO,Nairobi,36786,450,KB92J,DRV-40807,96177,38625,134802,CLERK-NAI-01
DISP-09581,LOAD-009581,2026-01-22,2026,1,OMC-009,Dalbit Petroleum,JETA1,Eldoret,35168,700,KA34H,DRV-61539,143028,36926,179954,CLERK-ELD-02
DISP-01864,LOAD-001864,2026-04-25,2026,4,OMC-016,KPA Marine,LUB,Mombasa (KOSF),22207,10,KA66F,DRV-97828,1290,23317,24607,CLERK-MOM-KOS-01
DISP-01892,LOAD-001892,2025-11-05,2025,11,OMC-010,Tamoil,LUB,Nairobi,32724,450,KB74J,DRV-42691,81434,32724,114158,CLERK-NAI-02
DISP-09425,LOAD-009425,2025-12-07,2025,12,OMC-008,National Oil,DPK,Kisumu,24590,650,KB24J,DRV-39581,88389,24590,112979,CLERK-KIS-01
DISP-08921,LOAD-008921,2026-03-20,2026,3,OMC-012,Galana Energies,PMS,Nairobi,23149,450,KD17B,DRV-8517,60523,24306,84829,CLERK-NAI-03
DISP-00342,LOAD-000342,2026-06-16,2026,6,OMC-008,National Oil,LUB,Mombasa (KOSF),27594,10,KB15J,DRV-77649,1603,28974,30577,CLERK-MOM-KOS-03
DISP-09174,LOAD-009174,2025-06-21,2025,6,OMC-018,Uganda National Oil,DPK,Eldoret,28189,700,KA30F,DRV-26565,109122,28189,137311,CLERK-ELD-03
DISP-02394,LOAD-002394,2025-06-06,2025,6,OMC-001,TotalEnergies Kenya,PMS,Mombasa (Kipevu),29695,5,KA56G,DRV-38344,821,29695,30516,CLERK-MOM-KIP-01
DISP-08992,LOAD-008992,2025-05-12,2025,5,OMC-009,Dalbit Petroleum,LUB,Nairobi,28563,450,KB39J,DRV-13603,71079,28563,99642,CLERK-NAI-01
DISP-06358,LOAD-006358,2025-08-30,2025,8,OMC-019,Tanzania Petroleum,JETA1,Mombasa (Kipevu),42092,5,KA15F,DRV-22966,1164,42092,43256,CLERK-MOM-KIP-01
DISP-07068,LOAD-007068,2026-01-24,2026,1,OMC-002,Vivo Energy,AGO,Mombasa (Kipevu),37547,5,KA80F,DRV-88194,1091,39424,40515,CLERK-MOM-KIP-01
DISP-04351,LOAD-004351,30/03/2026,2026,3,OMC-002,Vivo Energy,LPG,Nairobi,48155,450,KB52G,DRV-16173,125901,50563,176464,CLERK-NAI-02
DISP-06628,LOAD-006628,2026-06-10,2026,6,OMC-008,National Oil,LPG,Mombasa (KOSF),52577,10,KB59H,DRV-41497,3055,55206,58261,CLERK-MOM-KOS-02
DISP-09762,LOAD-009762,2025-07-15,2025,7,OMC-008,National Oil,DPK,Mombasa (KOSF),44283,10,KB34J,DRV-74656,2449,44283,46732,CLERK-MOM-KOS-01
DISP-07774,LOAD-007774,2025-02-19,2025,2,OMC-009,Dalbit Petroleum,DPK,Eldoret,21009,700,KA54G,DRV-66084,81326,21009,102335,CLERK-ELD-02
DISP-08381,LOAD-008381,2025-08-15,2025,8,OMC-009,Dalbit Petroleum,LUB,Kisumu,24229,650,KB53G,DRV-22364,87091,24229,111320,CLERK-KIS-02
DISP-02347,LOAD-002347,2026-04-27,2026,4,OMC-017,KAA Aviation,HFO,Mombasa (Kipevu),23286,5,KB36H,DRV-99921,676,24450,25126,CLERK-MOM-KIP-03
DISP-03883,LOAD-003883,2025-09-15,2025,9,OMC-003,Rubis Energy,PMS,Mombasa (Kipevu),52573,5,KB35G,DRV-38015,1454,52573,54027,CLERK-MOM-KIP-02
DISP-02244,LOAD-002244,22/06/2026,2026,6,OMC-009,Dalbit Petroleum,PMS,Eldoret,25229,700,KB34H,DRV-80954,102606,26490,129096,CLERK-ELD-02
DISP-02470,LOAD-002470,06/09/2025,2025,9,OMC-001,TotalEnergies Kenya,LPG,Eldoret,33181,700,KA97J,DRV-98158,128444,33181,161625,CLERK-ELD-03
DISP-06410,LOAD-006410,2025-06-24,2025,6,OMC-009,Dalbit Petroleum,LPG,Kisumu,36395,650,KB96J,DRV-18787,130823,36395,167218,CLERK-KIS-03
DISP-01123,LOAD-001123,2025-01-28,2025,1,OMC-007,Kobil,JETA1,Mombasa (KOSF),36898,10,KA29F,DRV-28460,2040,36898,38938,CLERK-MOM-KOS-03
DISP-09523,LOAD-009523,2025-02-01,2025,2,OMC-002,Vivo Energy,HFO,Eldoret,42132,700,KB29G,DRV-76631,163093,42132,205225,CLERK-ELD-02
DISP-08335,LOAD-008335,2025-01-09,2025,1,OMC-008,National Oil,AGO,Nairobi,57424,450,KA53G,DRV-20889,142900,57424,200324,CLERK-NAI-03
DISP-08711,LOAD-008711,2026-04-01,2026,4,OMC-020,Ethiopian Oil,LPG,Mombasa (Kipevu),53891,5,KB49H,DRV-10740,1566,56586,58152,CLERK-MOM-KIP-02
DISP-02848,LOAD-002848,20/03/2026,2026,3,OMC-004,Gulf Energy,JETA1,Eldoret,23432,700,KD37D,DRV-8517,95298,24604,119902,CLERK-ELD-01
DISP-03644,LOAD-003644,14/03/2026,2026,3,OMC-004,Gulf Energy,JETA1,Mombasa (Kipevu),33851,5,KD17B,DRV-5339,983,35544,36527,CLERK-MOM-KIP-01
DISP-06217,LOAD-006217,2026-02-06,2026,2,OMC-012,Galana Energies,LPG,Eldoret,42935,700,KD37D,DRV-7482,174617,45082,219699,CLERK-ELD-02
DISP-09445,LOAD-009445,2025-11-25,2025,11,OMC-001,TotalEnergies Kenya,LPG,Eldoret,41354,700,KB78H,DRV-36138,160081,41354,201435,CLERK-ELD-01
DISP-02199,LOAD-002199,2026-04-27,2026,4,OMC-020,Ethiopian Oil,LPG,Nairobi,54967,450,KA12J,DRV-18142,143711,57715,201426,CLERK-NAI-02
DISP-06106,LOAD-006106,2025-10-24,2025,10,OMC-003,Rubis Energy,PMS,Nairobi,54196,450,KA26H,DRV-83334,134867,54196,189063,CLERK-NAI-02
DISP-06830,LOAD-006830,2025-08-06,2025,8,OMC-006,Hashi Energy,PMS,Eldoret,56173,700,KA82H,DRV-96122,217446,56173,273619,CLERK-ELD-01
DISP-06069,LOAD-006069,2026-01-23,2026,1,OMC-018,Uganda National Oil,JETA1,Nairobi,34251,450,KB41G,DRV-31948,89549,35964,125513,CLERK-NAI-01
DISP-09209,LOAD-009209,2025-01-06,2025,1,OMC-002,Vivo Energy,LPG,Kisumu,59386,650,KA63F,DRV-34852,213463,59386,272849,CLERK-KIS-01
DISP-02206,LOAD-002206,2025-02-06,2025,2,OMC-014,Texol Energies,PMS,Nairobi,34872,450,KB92F,DRV-21533,86779,34872,121651,CLERK-NAI-01
DISP-09005,LOAD-009005,2025-10-31,2025,10,OMC-019,Tanzania Petroleum,DPK,Kisumu,47433,650,KB89J,DRV-69070,170498,47433,217931,CLERK-KIS-02
DISP-06035,LOAD-006035,2026-06-26,2026,6,OMC-011,Hass Petroleum,DPK,Nairobi,22830,450,KA79F,DRV-72232,59689,23972,83661,CLERK-NAI-03
DISP-04873,LOAD-004873,2026-04-04,2026,4,OMC-012,Galana Energies,PMS,Eldoret,36842,700,KC50D,DRV-3340,149838,38685,188523,CLERK-ELD-02
DISP-05753,LOAD-005753,2025-08-09,2025,8,OMC-020,Ethiopian Oil,JETA1,Kisumu,31288,650,KA93J,DRV-85815,112466,31288,143754,CLERK-KIS-01
DISP-08339,LOAD-008339,2025-05-16,2025,5,OMC-010,Tamoil,LUB,Eldoret,31735,700,KB19F,DRV-65565,122846,31735,154581,CLERK-ELD-02
DISP-00194,LOAD-000194,2025-11-22,2025,11,OMC-011,Hass Petroleum,AGO,Eldoret,24359,700,KB39F,DRV-36569,94294,24359,118653,CLERK-ELD-01
DISP-08344,LOAD-008344,2025-09-15,2025,9,OMC-003,Rubis Energy,JETA1,Eldoret,55582,700,KB35F,DRV-97279,215158,55582,270740,CLERK-ELD-01
DISP-05658,LOAD-005658,2026-02-26,2026,2,OMC-017,KAA Aviation,AGO,Eldoret,25011,700,KA95F,DRV-59125,101720,26262,127982,CLERK-ELD-03
DISP-01946,LOAD-001946,2026-03-06,2026,3,OMC-011,Hass Petroleum,HFO,Mombasa (Kipevu),55151,5,KA26F,DRV-79508,1602,57909,59511,CLERK-MOM-KIP-02
DISP-05618,LOAD-005618,2026-06-01,2026,6,OMC-006,Hashi Energy,HFO,Nairobi,34322,450,KA68H,DRV-47433,89735,36038,125773,CLERK-NAI-01
DISP-03066,LOAD-003066,2025-08-14,2025,8,OMC-019,Tanzania Petroleum,DPK,Kisumu,56355,650,KA99H,DRV-14535,202568,56355,258923,CLERK-KIS-01
DISP-06606,LOAD-006606,2025-04-06,2025,4,OMC-011,Hass Petroleum,AGO,Eldoret,37118,700,KB14J,DRV-72831,143684,37118,180802,CLERK-ELD-02
DISP-06605,LOAD-006605,2025-02-02,2025,2,OMC-009,Dalbit Petroleum,AGO,Nairobi,54483,450,KA90H,DRV-38511,135581,54483,190064,CLERK-NAI-01
DISP-09206,LOAD-009206,2026-03-01,2026,3,OMC-012,Galana Energies,AGO,Kisumu,41277,650,KD17B,DRV-7482,155884,43341,199225,CLERK-KIS-01
DISP-08699,LOAD-008699,2025-06-20,2025,6,OMC-015,Mombasa Petroleum,AGO,Mombasa (Kipevu),43335,5,KB88H,DRV-42176,1198,43335,44533,CLERK-MOM-KIP-02
DISP-05226,LOAD-005226,2025-04-26,2025,4,OMC-013,Lake Oil,DPK,Eldoret,46281,700,KB34H,DRV-83570,179154,46281,225435,CLERK-ELD-01
DISP-03286,LOAD-003286,2026-05-22,2026,5,OMC-008,National Oil,AGO,Mombasa (KOSF),53585,10,KB36H,DRV-14576,3113,56264,59377,CLERK-MOM-KOS-02
DISP-07627,LOAD-007627,2025-07-01,2025,7,OMC-010,Tamoil,LPG,Eldoret,25636,700,KB79F,DRV-28175,99237,25636,124873,CLERK-ELD-02
DISP-07098,LOAD-007098,2026-04-06,2026,4,OMC-007,Kobil,LPG,Mombasa (KOSF),36634,10,KB41G,DRV-99927,2128,38466,40594,CLERK-MOM-KOS-01
DISP-05871,LOAD-005871,2025-02-04,2025,2,OMC-016,KPA Marine,LPG,Mombasa (KOSF),54327,10,KB13G,DRV-44046,3004,54327," KES 57,331 ",CLERK-MOM-KOS-03
DISP-03122,LOAD-003122,,2026,1,OMC-015,Mombasa Petroleum,PMS,Nairobi,54816,450,KB35F,DRV-60701,143316,57557,200873,CLERK-NAI-02
DISP-09497,LOAD-009497,2025-05-15,2025,5,OMC-008,National Oil,PMS,Eldoret,41169,700,KB25H,DRV-61088,159365,41169,200534,CLERK-ELD-03
DISP-00916,LOAD-000916,2026-01-27,2026,1,OMC-015,Mombasa Petroleum,PMS,Nairobi,38238,450,KA86J,DRV-51168,99973,40150,140123,CLERK-NAI-01
