invoice_id,dispatch_id,omc_id,customer_name,product,date,value_kes,prepared_by
INV-34271,DISP-02546,OMC-011,Hass Petroleum,DPK,2025-07-26,50272,FIN-005
INV-99459,DISP-07528,OMC-005,PetroOil Kenya,AGO,2026-03-13,160133,FIN-002
INV-41208,DISP-01665,OMC-007,Kobil,DPK,2025-09-25,225915,FIN-003
INV-87588,DISP-05359,OMC-013,Lake Oil,DPK,2025-02-25,168390,FIN-005
INV-86823,DISP-00897,OMC-018,Uganda National Oil,JETA1,2025-02-05,56877,FIN-004
INV-29191,DISP-02300,OMC-005,PetroOil Kenya,LUB,2026-04-02,108447,FIN-002
INV-41781,DISP-03505,OMC-008,National Oil,AGO,2025-05-21,216447,FIN-003
INV-17843,DISP-03793,OMC-004,Gulf Energy,LUB,2026-02-18,200368,FIN-001
INV-79340,DISP-04102,OMC-009,Dalbit Petroleum,LPG,2026-06-19,193491,FIN-002
INV-31536,DISP-03123,OMC-001,TotalEnergies Kenya,HFO,2025-03-09,56729,FIN-003
INV-53442,DISP-02239,OMC-018,Uganda National Oil,LUB,2026-03-30,38406,FIN-003
INV-69729,DISP-03667,OMC-007,Kobil,AGO,2026-06-02," KES 142,045 ",FIN-002
INV-49783,DISP-01585,OMC-002,Vivo Energy,LPG,2025-07-14,174589,FIN-002
INV-57050,DISP-03211,OMC-005,PetroOil Kenya,LPG,2026-04-23,280243,FIN-001
INV-21886,DISP-07654,OMC-019,Tanzania Petroleum,HFO,2025-09-11,173060,FIN-001
INV-14103,DISP-02490,OMC-003,Rubis Energy,DPK,2025-04-18,44641,FIN-002
INV-33651,DISP-07924,OMC-015,Mombasa Petroleum,LUB,2026-03-06,30899,FIN-001
INV-73264,DISP-06805,OMC-007,Kobil,DPK,2025-05-18,52670,FIN-005
INV-92563,DISP-02255,OMC-019,Tanzania Petroleum,AGO,2026-05-04,61653,FIN-005
INV-12535,DISP-07061,OMC-014,Texol Energies,PMS,2025-08-14,160537,FIN-001
INV-78606,DISP-04471,OMC-007,Kobil,LPG,2025-12-26," KES 78,734 ",FIN-005
INV-84888,DISP-08870,OMC-008,National Oil,LUB,2025-09-14,149650,FIN-003
INV-12960,DISP-07460,OMC-020,Ethiopian Oil,LUB,2025-01-14,213059,FIN-005
INV-15516,DISP-02166,OMC-009,Dalbit Petroleum,LPG,2026-01-09,212622,FIN-001
INV-19551,DISP-01578,OMC-002,Vivo Energy,DPK,,50840,FIN-002
INV-52446,DISP-08170,OMC-014,Texol Energies,PMS,2025-03-21,37412,FIN-001
INV-68842,DISP-00565,OMC-005,PetroOil Kenya,PMS,2026-03-13,59022,FIN-004
INV-94043,DISP-07307,OMC-007,Kobil,DPK,2026-06-22,48576,FIN-005
INV-93585,DISP-09187,OMC-013,Lake Oil,DPK,2026-03-27,161453,FIN-004
INV-24373,DISP-00975,OMC-010,Tamoil,DPK,2026-02-15,172248,FIN-003
INV-68124,DISP-08766,OMC-014,Texol Energies,JETA1,2025-11-09,139285,FIN-003
INV-32240,DISP-05823,OMC-008,National Oil,LUB,2026-01-15,28421,FIN-003
INV-45892,DISP-02691,OMC-001,TotalEnergies Kenya,HFO,2026-01-09,144547,FIN-003
INV-97207,DISP-09636,OMC-017,KAA Aviation,JETA1,2025-01-14,262367,FIN-002
INV-58310,DISP-06089,OMC-019,Tanzania Petroleum,PMS,2025-02-10,53105,FIN-001
INV-49497,DISP-01066,OMC-001,TotalEnergies Kenya,LUB,2026-05-15,168179,FIN-002
INV-94559,DISP-06503,OMC-007,Kobil,LUB,2025-01-09,24411,FIN-002
INV-77942,DISP-08656,OMC-010,Tamoil,JETA1,2026-05-01,202103,FIN-005
INV-53655,DISP-01763,OMC-003,Rubis Energy,JETA1,2025-02-01,240538,FIN-002
INV-44573,DISP-07015,OMC-017,KAA Aviation,HFO,2026-01-13,142560,FIN-002
INV-83684,DISP-04255,OMC-019,Tanzania Petroleum,DPK,2026-06-17," KES 29,708 ",FIN-004
INV-87080,DISP-08802,OMC-003,Rubis Energy,HFO,2025-12-17,33422,FIN-002
INV-43994,DISP-04971,OMC-020,Ethiopian Oil,LPG,2025-01-26,39951,FIN-001
INV-70845,DISP-01538,OMC-002,Vivo Energy,JETA1,2025-03-05,20873,FIN-001
INV-65899,DISP-06923,OMC-003,Rubis Energy,LUB,2026-03-12,189760,FIN-005
INV-68447,DISP-01214,OMC-011,Hass Petroleum,LPG,2026-04-13,262006,FIN-003
INV-74137,DISP-05151,OMC-017,KAA Aviation,PMS,2026-05-10,195322,FIN-004
INV-44400,DISP-03036,OMC-012,Galana Energies,AGO,2026-03-20," KES 197,758 ",FIN-002
INV-87062,DISP-08230,OMC-017,KAA Aviation,LUB,03/12/2025,258149,FIN-003
INV-97653,DISP-08818,OMC-015,Mombasa Petroleum,LUB,2025-12-06,235047,FIN-005
INV-81890,DISP-01926,OMC-015,Mombasa Petroleum,PMS,2025-04-20,24499,FIN-001
INV-92246,DISP-01701,OMC-015,Mombasa Petroleum,AGO,,242354,FIN-003
INV-60879,DISP-08202,OMC-012,Galana Energies,JETA1,2026-05-02,265993,FIN-004
INV-14702,DISP-09319,OMC-017,KAA Aviation,JETA1,2025-12-12,34321,FIN-002
INV-62058,DISP-07596,OMC-020,Ethiopian Oil,PMS,2025-06-16,37084,FIN-004
INV-17997,DISP-05727,OMC-015,Mombasa Petroleum,JETA1,2025-12-01,238503,FIN-002
INV-51466,DISP-05765,OMC-013,Lake Oil,AGO,2025-09-18," KES 26,032 ",FIN-004
INV-64612,DISP-05294,OMC-012,Galana Energies,LUB,2026-04-22,145530,FIN-001
INV-41381,DISP-06391,OMC-013,Lake Oil,DPK,2025-07-26,111275,FIN-003
INV-88680,DISP-02605,OMC-018,Uganda National Oil,DPK,2026-03-29,235791,FIN-004
INV-71470,DISP-08016,OMC-019,Tanzania Petroleum,HFO,2025-05-18,137046,FIN-003
INV-10061,DISP-04401,OMC-008,National Oil,JETA1,2025-09-14,52927,FIN-003
INV-58891,DISP-03940,OMC-008,National Oil,DPK,2025-06-28,105968,FIN-004
INV-96037,DISP-01669,OMC-007,Kobil,JETA1,2025-01-10,43665,FIN-003
INV-83514,DISP-08020,OMC-016,KPA Marine,PMS,2026-04-27,148602,FIN-005
INV-99342,DISP-09384,OMC-015,Mombasa Petroleum,LUB,2025-06-25," KES 189,745 ",FIN-004
INV-99309,DISP-04925,OMC-009,Dalbit Petroleum,AGO,2025-08-31," KES 170,482 ",FIN-004
INV-88637,DISP-01197,OMC-007,Kobil,LUB,2026-01-10," KES 40,400 ",FIN-002
INV-57013,DISP-02047,OMC-002,Vivo Energy,LPG,2025-07-20,191493,FIN-005
INV-75406,DISP-00622,OMC-009,Dalbit Petroleum,HFO,,118906,FIN-001
INV-88794,DISP-00973,OMC-015,Mombasa Petroleum,HFO,2026-06-21,122406,FIN-002
INV-29882,DISP-05931,OMC-004,Gulf Energy,PMS,2026-03-10,35494,FIN-003
INV-21483,DISP-01414,OMC-015,Mombasa Petroleum,DPK,2025-07-09,217163,FIN-001
INV-88752,DISP-01267,OMC-009,Dalbit Petroleum,AGO,2025-03-22,109220,FIN-001
INV-52883,DISP-03035,OMC-016,KPA Marine,HFO,2025-02-16,38914,FIN-003
INV-68832,DISP-08331,OMC-002,Vivo Energy,HFO,2025-02-27,267585,FIN-005
INV-86369,DISP-07055,OMC-015,Mombasa Petroleum,HFO,2025-05-03,61791,FIN-005
INV-62911,DISP-02947,OMC-015,Mombasa Petroleum,JETA1,2026-02-19,191426,FIN-005
INV-93359,DISP-04118,OMC-010,Tamoil,JETA1,2025-05-20,75927,FIN-001
INV-87645,DISP-03885,OMC-005,PetroOil Kenya,AGO,2026-04-03,61723,FIN-002
INV-17065,DISP-09271,OMC-017,KAA Aviation,LPG,2026-06-17,257472,FIN-004
INV-62689,DISP-06973,OMC-001,TotalEnergies Kenya,LPG,2025-08-03,276894,FIN-003
INV-10684,DISP-04878,OMC-015,Mombasa Petroleum,LUB,2025-01-06," KES 237,310 ",FIN-004
INV-28985,DISP-09059,OMC-008,National Oil,PMS,2025-01-08," KES 294,312 ",FIN-003
INV-86414,DISP-04331,OMC-015,Mombasa Petroleum,DPK,2025-11-25,110324,FIN-004
INV-98073,DISP-00679,OMC-003,Rubis Energy,JETA1,2026-07-04,31910,FIN-004
INV-24348,DISP-08490,OMC-011,Hass Petroleum,LPG,2025-06-05,248402,FIN-002
INV-29191,DISP-02300,OMC-005,PetroOil Kenya,LUB,2026-04-02,108447,FIN-002
INV-71370,DISP-04334,OMC-016,KPA Marine,AGO,2026-01-15,256945,FIN-005
INV-90228,DISP-08124,OMC-018,Uganda National Oil,LPG,25/09/2025,125440,FIN-004
INV-78297,DISP-00612,OMC-018,Uganda National Oil,PMS,2025-12-24," KES 168,804 ",FIN-004
INV-36795,DISP-05059,OMC-020,Ethiopian Oil,AGO,2025-02-17,224826,FIN-005
INV-46400,DISP-01958,OMC-017,KAA Aviation,LPG,2025-07-31,273952,FIN-003
INV-26498,DISP-06439,OMC-016,KPA Marine,PMS,2025-10-20,171991,FIN-004
INV-56718,DISP-00484,OMC-012,Galana Energies,LUB,2026-05-02,35245,FIN-003
INV-82496,DISP-02994,OMC-006,Hashi Energy,HFO,2025-12-23,259333,FIN-004
INV-12465,DISP-00750,OMC-015,Mombasa Petroleum,DPK,2025-08-24,191898,FIN-005
INV-73965,DISP-09184,OMC-004,Gulf Energy,LPG,2026-03-16,176867,FIN-001
INV-14416,DISP-06032,OMC-012,Galana Energies,PMS,2026-02-11,50587,FIN-002
INV-85189,DISP-02580,OMC-008,National Oil,LUB,2026-02-17,56330,FIN-002
INV-50184,DISP-00300,OMC-020,Ethiopian Oil,DPK,2026-02-26,169797,FIN-003
INV-62373,DISP-07956,OMC-008,National Oil,HFO,2026-03-04,218328,FIN-002
INV-82501,DISP-01969,OMC-011,Hass Petroleum,JETA1,2025-06-18,223055,FIN-001
INV-35528,DISP-04267,OMC-014,Texol Energies,AGO,2026-02-28,201492,FIN-001
INV-11159,DISP-08174,OMC-007,Kobil,AGO,2025-07-28,112643,FIN-001
INV-43443,DISP-03052,OMC-005,PetroOil Kenya,DPK,2026-04-16,265215,FIN-001
INV-41110,DISP-03274,OMC-010,Tamoil,DPK,2025-04-08,103964,FIN-002
INV-81093,DISP-08428,OMC-015,Mombasa Petroleum,LPG,2025-08-23," KES 256,567 ",FIN-005
INV-55900,DISP-02673,OMC-001,TotalEnergies Kenya,DPK,2025-01-11,53500,FIN-005
INV-45056,DISP-06107,OMC-012,Galana Energies,LPG,2026-04-22,200253,FIN-001
INV-50973,DISP-00458,OMC-008,National Oil,JETA1,2025-04-06,180676,FIN-005
INV-31562,DISP-07737,OMC-016,KPA Marine,LPG,2026-04-16,46172,FIN-005
INV-76978,DISP-03262,OMC-020,Ethiopian Oil,PMS,2025-12-04,137225,FIN-004
INV-45225,DISP-02159,OMC-019,Tanzania Petroleum,HFO,2025-09-24,57865,FIN-004
INV-22877,DISP-01146,OMC-015,Mombasa Petroleum,AGO,2026-06-13,170423,FIN-004
INV-99321,DISP-01411,OMC-015,Mombasa Petroleum,LUB,2025-06-15,130910,FIN-005
INV-35796,DISP-07496,OMC-015,Mombasa Petroleum,LUB,2025-08-10," KES 72,393 ",FIN-004
INV-23076,DISP-08614,OMC-018,Uganda National Oil,LPG,2026-03-13,149558,FIN-003
INV-75405,DISP-03806,OMC-006,Hashi Energy,LPG,2025-03-10,33319,FIN-004
INV-49401,DISP-09479,OMC-010,Tamoil,PMS,2026-01-21,38312,FIN-003
INV-59956,DISP-03395,OMC-017,KAA Aviation,LUB,2025-07-17,22451,FIN-001
INV-14084,DISP-06511,OMC-017,KAA Aviation,DPK,2025-04-21,127581,FIN-001
INV-91072,DISP-03661,OMC-018,Uganda National Oil,HFO,2025-03-05,27934,FIN-002
INV-44240,DISP-08768,OMC-014,Texol Energies,JETA1,2025-12-15,38565,FIN-004
INV-91068,DISP-06645,OMC-002,Vivo Energy,DPK,,28614,FIN-003
INV-39078,DISP-09739,OMC-019,Tanzania Petroleum,JETA1,2025-09-25,60181,FIN-003
INV-87542,DISP-04351,OMC-002,Vivo Energy,LPG,2026-04-05,177443,FIN-002
INV-68690,DISP-04672,OMC-009,Dalbit Petroleum,LPG,2026-06-21,43768,FIN-002
INV-96835,DISP-01548,OMC-004,Gulf Energy,LPG,2026-05-01,214876,FIN-005
INV-97570,DISP-05583,OMC-015,Mombasa Petroleum,JETA1,2026-03-11,189038,FIN-004
INV-86021,DISP-02325,OMC-009,Dalbit Petroleum,PMS,,208082,FIN-003
INV-95510,DISP-02692,OMC-017,KAA Aviation,PMS,2025-02-23,266929,FIN-001
INV-75106,DISP-04549,OMC-013,Lake Oil,DPK,2025-02-15,192487,FIN-003
INV-22482,DISP-09170,OMC-006,Hashi Energy,PMS,2025-05-08,107129,FIN-004
INV-12376,DISP-00828,OMC-007,Kobil,AGO,2026-01-31," KES 210,988 ",FIN-002
INV-81645,DISP-02750,OMC-008,National Oil,JETA1,2025-09-15,279326,FIN-002
INV-97913,DISP-09626,OMC-015,Mombasa Petroleum,PMS,2025-08-11,22565,FIN-001
INV-35784,DISP-08284,OMC-018,Uganda National Oil,JETA1,2025-10-24,29204,FIN-005
INV-68432,DISP-05056,OMC-007,Kobil,AGO,2025-02-25,210549,FIN-002
INV-58243,DISP-09444,OMC-012,Galana Energies,AGO,2026-04-03,110123,FIN-003
INV-29131,DISP-08398,OMC-005,PetroOil Kenya,PMS,2026-02-18,216971,FIN-001
INV-88413,DISP-08843,OMC-016,KPA Marine,DPK,2025-05-04,53906,FIN-002
INV-67414,DISP-02219,OMC-017,KAA Aviation,LPG,2025-12-28,31175,FIN-003
INV-64732,DISP-03125,OMC-009,Dalbit Petroleum,LUB,2025-01-08,265853,FIN-005
INV-46545,DISP-05512,OMC-020,Ethiopian Oil,LUB,2026-05-24,37806,FIN-005
INV-33226,DISP-09454,OMC-012,Galana Energies,PMS,02/05/2026,46640,FIN-001
INV-61252,DISP-01965,OMC-018,Uganda National Oil,JETA1,2025-02-01,91384,FIN-001
INV-71279,DISP-06489,OMC-012,Galana Energies,JETA1,2026-02-24,74478,FIN-001
INV-63601,DISP-05069,OMC-018,Uganda National Oil,DPK,2026-05-29,309600,FIN-003
INV-12346,DISP-02525,OMC-002,Vivo Energy,LPG,2026-06-14," KES 324,695 ",FIN-005
INV-83976,DISP-09968,OMC-013,Lake Oil,LUB,,143133,FIN-001
INV-30457,DISP-00883,OMC-018,Uganda National Oil,PMS,2025-06-16,182738,FIN-003
INV-90262,DISP-07077,OMC-015,Mombasa Petroleum,LUB,2026-01-30,143071,FIN-005
INV-96796,DISP-09150,OMC-017,KAA Aviation,HFO,2026-05-15,55864,FIN-005
INV-98465,DISP-07301,OMC-009,Dalbit Petroleum,LUB,20/08/2025,129417,FIN-001
INV-43420,DISP-08499,OMC-005,PetroOil Kenya,LPG,2026-04-07,167619,FIN-003
INV-19331,DISP-03044,OMC-017,KAA Aviation,PMS,2025-03-05,52442,FIN-002
INV-90398,DISP-09167,OMC-017,KAA Aviation,PMS,2025-07-04,60775,FIN-005
INV-56906,DISP-02946,OMC-001,TotalEnergies Kenya,HFO,2025-11-13,264581,FIN-004
INV-84345,DISP-05154,OMC-005,PetroOil Kenya,DPK,2026-03-13,133214,FIN-005
INV-84319,DISP-05670,OMC-016,KPA Marine,DPK,2025-10-02,57846,FIN-004
INV-48571,DISP-07259,OMC-015,Mombasa Petroleum,JETA1,2026-04-04,90185,FIN-001
INV-47897,DISP-00855,OMC-013,Lake Oil,AGO,2025-11-23,189702,FIN-005
INV-78917,DISP-03478,OMC-020,Ethiopian Oil,PMS,2025-02-12,130746,FIN-001
INV-25179,DISP-08687,OMC-004,Gulf Energy,JETA1,2026-04-24,38920,FIN-003
INV-11285,DISP-06910,OMC-002,Vivo Energy,LPG,2026-06-17,56762,FIN-003
INV-54001,DISP-06104,OMC-018,Uganda National Oil,DPK,2025-08-04,141890,FIN-003
INV-22387,DISP-05460,OMC-010,Tamoil,PMS,2025-01-23,28121,FIN-005
INV-48767,DISP-03205,OMC-005,PetroOil Kenya,AGO,2026-02-22,154829,FIN-001
INV-11295,DISP-08074,OMC-005,PetroOil Kenya,LUB,2026-02-09,49829,FIN-003
INV-89679,DISP-02826,OMC-019,Tanzania Petroleum,PMS,2025-04-23,204233,FIN-001
INV-77384,DISP-09775,OMC-009,Dalbit Petroleum,LUB,2026-03-02,274665,FIN-003
INV-65672,DISP-07758,OMC-018,Uganda National Oil,JETA1,2025-01-25,46516,FIN-004
INV-44268,DISP-07776,OMC-016,KPA Marine,JETA1,2025-03-28,31630,FIN-005
INV-38797,DISP-06819,OMC-006,Hashi Energy,PMS,2026-01-10,84681,FIN-001
INV-32279,DISP-05642,OMC-007,Kobil,JETA1,2026-05-01,30464,FIN-004
INV-62549,DISP-01369,OMC-010,Tamoil,LUB,16/04/2026,301053,FIN-002
INV-46920,DISP-07330,OMC-013,Lake Oil,LPG,2026-04-18,48868,FIN-002
INV-86386,DISP-00015,OMC-017,KAA Aviation,DPK,2025-01-11,57929,FIN-002
INV-26929,DISP-00265,OMC-010,Tamoil,PMS,2025-06-03,45230,FIN-002
INV-40971,DISP-05605,OMC-003,Rubis Energy,JETA1,2025-03-24,220696,FIN-003
INV-60047,DISP-08298,OMC-016,KPA Marine,AGO,2026-04-23,162289,FIN-004
INV-18665,DISP-01967,OMC-011,Hass Petroleum,LPG,2026-01-24,298415,FIN-001
INV-11456,DISP-07859,OMC-001,TotalEnergies Kenya,DPK,2025-04-11,120624,FIN-002
INV-72505,DISP-00726,OMC-018,Uganda National Oil,JETA1,2026-03-08,205737,FIN-003
INV-80483,DISP-08736,OMC-013,Lake Oil,JETA1,2025-01-19,29368,FIN-004
INV-64599,DISP-08875,OMC-010,Tamoil,PMS,2026-03-19,49177,FIN-005
INV-83653,DISP-03811,OMC-008,National Oil,AGO,2025-11-26,75471,FIN-001
INV-62017,DISP-04970,OMC-008,National Oil,LUB,2025-07-18,192868,FIN-001
INV-83580,DISP-06542,OMC-006,Hashi Energy,PMS,2026-03-12,78193,FIN-003
INV-14338,DISP-08132,OMC-009,Dalbit Petroleum,PMS,2026-01-20," KES 70,173 ",FIN-002
INV-82460,DISP-00138,OMC-011,Hass Petroleum,DPK,2025-09-06,77251,FIN-004
INV-54961,DISP-06161,OMC-019,Tanzania Petroleum,PMS,2025-11-19,51904,FIN-004
INV-17853,DISP-01647,OMC-001,TotalEnergies Kenya,DPK,2026-02-06,40833,FIN-003
INV-68060,DISP-04349,OMC-005,PetroOil Kenya,LPG,2026-04-01,42644,FIN-005
INV-84931,DISP-02723,OMC-013,Lake Oil,PMS,2026-04-30,198552,FIN-003
INV-28640,DISP-01188,OMC-012,Galana Energies,LPG,,125606,FIN-003
INV-17896,DISP-00474,OMC-017,KAA Aviation,DPK,2026-03-16,117036,FIN-002
INV-16060,DISP-01987,OMC-014,Texol Energies,LUB,2025-11-17,110228,FIN-005
INV-71010,DISP-09385,OMC-008,National Oil,AGO,2025-01-28,217720,FIN-003
INV-90889,DISP-05384,OMC-019,Tanzania Petroleum,LPG,2025-10-10,251790,FIN-005
INV-14802,DISP-09292,OMC-015,Mombasa Petroleum,DPK,2025-12-27,142125,FIN-003
INV-93879,DISP-04296,OMC-017,KAA Aviation,DPK,2026-06-18,202241,FIN-005
INV-20183,DISP-05962,OMC-002,Vivo Energy,LUB,2025-05-04,232478,FIN-004
INV-70871,DISP-08833,OMC-018,Uganda National Oil,JETA1,2025-02-12," KES 35,009 ",FIN-003
INV-75455,DISP-00047,OMC-019,Tanzania Petroleum,LPG,23/01/2025,261254,FIN-001
INV-75867,DISP-06991,OMC-020,Ethiopian Oil,DPK,2025-08-31,167025,FIN-005
INV-77193,DISP-05007,OMC-010,Tamoil,JETA1,2026-02-07,63616,FIN-002
INV-39229,DISP-03416,OMC-002,Vivo Energy,JETA1,2026-01-07,62657,FIN-003
INV-26964,DISP-01676,OMC-018,Uganda National Oil,LUB,2025-08-05,29408,FIN-004
INV-63594,DISP-04608,OMC-020,Ethiopian Oil,HFO,2025-09-02,131450,FIN-002
INV-24173,DISP-04132,OMC-013,Lake Oil,LPG,2026-01-29,283664,FIN-001
INV-33618,DISP-07386,OMC-004,Gulf Energy,PMS,2026-03-08,215779,FIN-002
INV-48249,DISP-08678,OMC-015,Mombasa Petroleum,LUB,2025-01-07,170287,FIN-005
INV-72191,DISP-06886,OMC-014,Texol Energies,JETA1,2025-04-27,158487,FIN-002
INV-80015,DISP-03041,OMC-007,Kobil,LPG,2025-03-10,148962,FIN-005
INV-97198,DISP-03227,OMC-014,Texol Energies,DPK,2025-07-07,103926,FIN-004
INV-59379,DISP-04116,OMC-009,Dalbit Petroleum,LPG,2025-06-04,249599,FIN-002
INV-14055,DISP-09362,OMC-007,Kobil,LUB,,157580,FIN-002
INV-11767,DISP-05204,OMC-015,Mombasa Petroleum,AGO,2025-05-26,89428,FIN-001
INV-20628,DISP-09210,OMC-017,KAA Aviation,JETA1,2025-11-13,25806,FIN-004
INV-78353,DISP-03150,OMC-003,Rubis Energy,LUB,2026-03-10,65224,FIN-005
INV-91232,DISP-01332,OMC-019,Tanzania Petroleum,HFO,2025-03-09,210612,FIN-003
INV-94267,DISP-06680,OMC-010,Tamoil,HFO,2025-10-07,166190,FIN-002
INV-79556,DISP-07450,OMC-004,Gulf Energy,JETA1,2026-04-24,210617,FIN-005
INV-63688,DISP-03967,OMC-018,Uganda National Oil,HFO,2025-02-21,140111,FIN-002
INV-75774,DISP-04257,OMC-009,Dalbit Petroleum,DPK,2025-09-23,245978,FIN-001
INV-78874,DISP-04555,OMC-003,Rubis Energy,AGO,24/11/2025,60135,FIN-004
INV-19771,DISP-05268,OMC-011,Hass Petroleum,AGO,2025-06-08,239069,FIN-001
INV-15477,DISP-00181,OMC-011,Hass Petroleum,HFO,2025-05-31,214234,FIN-004
INV-49909,DISP-08444,OMC-006,Hashi Energy,LUB,2026-01-08,41909,FIN-004
INV-20056,DISP-06283,OMC-020,Ethiopian Oil,LPG,2026-05-19,249323,FIN-003
INV-69414,DISP-06334,OMC-010,Tamoil,LUB,2025-08-18,126515,FIN-001
INV-32133,DISP-04872,OMC-003,Rubis Energy,AGO,2025-04-01,24993,FIN-001
INV-62405,DISP-00917,OMC-004,Gulf Energy,AGO,2026-02-10,194960,FIN-005
INV-91577,DISP-09198,OMC-018,Uganda National Oil,AGO,2026-01-03,135442,FIN-004
INV-48332,DISP-06352,OMC-008,National Oil,LPG,2025-07-16,44325,FIN-001
INV-52310,DISP-04916,OMC-010,Tamoil,PMS,2026-02-11,174515,FIN-005
INV-76869,DISP-08260,OMC-012,Galana Energies,LUB,2026-02-15,250508,FIN-003
INV-39299,DISP-08039,OMC-008,National Oil,AGO,2025-12-12,58794,FIN-004
INV-84806,DISP-02924,OMC-005,PetroOil Kenya,AGO,2026-03-11,195550,FIN-005
INV-37464,DISP-04729,OMC-005,PetroOil Kenya,LPG,2026-03-06," KES 213,425 ",FIN-003
INV-54226,DISP-09683,OMC-016,KPA Marine,PMS,2025-11-04,30134,FIN-004
INV-29929,DISP-08762,OMC-016,KPA Marine,JETA1,2025-05-30," KES 154,281 ",FIN-005
INV-56619,DISP-06265,OMC-004,Gulf Energy,LPG,2026-04-20,36984,FIN-004
INV-45698,DISP-01471,OMC-017,KAA Aviation,LPG,2025-02-28,58590,FIN-004
INV-33018,DISP-08189,OMC-003,Rubis Energy,LUB,2025-07-28,95957,FIN-001
INV-92388,DISP-00835,OMC-015,Mombasa Petroleum,DPK,2025-05-19,33200,FIN-003
INV-32672,DISP-07534,OMC-006,Hashi Energy,JETA1,2025-04-23,208164,FIN-005
INV-59966,DISP-02665,OMC-006,Hashi Energy,JETA1,2025-06-09,59906,FIN-003
INV-21687,DISP-03509,OMC-002,Vivo Energy,DPK,2026-03-13,235385,FIN-001
INV-57546,DISP-02170,OMC-011,Hass Petroleum,LPG,2026-06-18," KES 213,698 ",FIN-004
INV-20452,DISP-09817,OMC-006,Hashi Energy,HFO,2026-05-07,214276,FIN-003
INV-31259,DISP-03654,OMC-016,KPA Marine,HFO,2025-05-16,177253,FIN-004
INV-45366,DISP-00343,OMC-002,Vivo Energy,LPG,2026-06-17,126207,FIN-004
INV-50946,DISP-00443,OMC-016,KPA Marine,JETA1,2026-06-01,43786,FIN-001
INV-62953,DISP-04424,OMC-017,KAA Aviation,LUB,2025-08-17,60885,FIN-001
INV-56881,DISP-07877,OMC-004,Gulf Energy,HFO,2026-04-02,142611,FIN-003
INV-63403,DISP-00190,OMC-003,Rubis Energy,JETA1,2026-04-27,38836,FIN-001
INV-88126,DISP-07360,OMC-013,Lake Oil,DPK,2026-04-10,82137,FIN-003
INV-79739,DISP-09261,OMC-020,Ethiopian Oil,LUB,2025-06-02,118889,FIN-003
INV-55529,DISP-01859,OMC-013,Lake Oil,JETA1,2025-01-25,247814,FIN-005
