payment_id,invoice_id,omc_id,customer_name,remitting_bank_account,date,value_kes,installment_no
PAY-82177,INV-70555,OMC-003,Rubis Energy,GB04LOQO13315098393010,2026-02-22,15616,1
PAY-65653,INV-37125,OMC-001,TotalEnergies Kenya,GB06DMIO52553419283276,2025-11-03,32376,2
PAY-34185,INV-36401,OMC-017,KAA Aviation,GB54HVSS04902787429671,2025-05-01,51036,1
PAY-33060,INV-94724,OMC-018,Uganda National Oil,GB73JRAR61317127484677,2025-04-21," KES 125,996 ",1
PAY-72374,INV-18463,OMC-004,Gulf Energy,GB89GWUW86379402654235,2026-04-19,20031,1
PAY-85048,INV-20567,OMC-013,Lake Oil,GB88TEHE71937452991241,2026-05-26,124713,1
PAY-89913,INV-21662,OMC-013,Lake Oil,GB88TEHE71937452991241,2025-06-25,37421,1
PAY-14684,INV-50419,OMC-004,Gulf Energy,GB89GWUW86379402654235,21/05/2026,25370,2
PAY-12993,INV-54694,OMC-010,Tamoil,GB34EABH79176936763201,2025-10-24,38750,1
PAY-84557,INV-21798,OMC-014,Texol Energies,GB06ONXS45314737996507,2025-08-02," KES 27,842 ",2
PAY-65123,INV-97981,OMC-003,Rubis Energy,GB04LOQO13315098393010,2025-06-18,116386,1
PAY-73305,INV-11866,OMC-016,KPA Marine,GB31MOOJ96499091334123,2026-06-10,47803,1
PAY-88002,INV-31564,OMC-014,Texol Energies,GB06ONXS45314737996507,2025-05-28,100635,2
PAY-31590,INV-62674,OMC-014,Texol Energies,GB06ONXS45314737996507,2025-06-05,74085,2
PAY-55497,INV-38965,OMC-013,Lake Oil,GB88TEHE71937452991241,2025-11-12,80739,1
PAY-74773,INV-15242,OMC-018,Uganda National Oil,GB73JRAR61317127484677,2026-01-20,97560,1
PAY-65662,INV-41312,OMC-017,KAA Aviation,GB54HVSS04902787429671,2025-12-19,266789,1
PAY-51488,INV-44056,OMC-010,Tamoil,GB34EABH79176936763201,2026-06-03," KES 57,094 ",1
PAY-62949,INV-89289,OMC-019,Tanzania Petroleum,GB64OAXE62174596158657,2025-10-17,33730,2
PAY-66160,INV-13899,OMC-017,KAA Aviation,GB54HVSS04902787429671,2025-08-11,62248,1
PAY-90416,INV-43486,OMC-017,KAA Aviation,GB54HVSS04902787429671,11/04/2025,260094,1
PAY-10224,INV-37937,OMC-013,Lake Oil,GB88TEHE71937452991241,15/06/2026,44225,1
PAY-51174,INV-95618,OMC-002,Vivo Energy,GB45OQIR01845146270482,2026-03-09,213820,1
PAY-24862,INV-24723,OMC-018,Uganda National Oil,GB73JRAR61317127484677,2025-03-30,35066,1
PAY-60479,INV-90003,OMC-014,Texol Energies,GB06ONXS45314737996507,2026-06-16,276216,1
PAY-30249,INV-85167,OMC-014,Texol Energies,GB06ONXS45314737996507,2026-04-02,295608,1
PAY-77526,INV-50872,OMC-005,PetroOil Kenya,GB89GWUW86379402654235,2026-05-09,13310,2
PAY-87396,INV-37114,OMC-013,Lake Oil,GB88TEHE71937452991241,2025-06-26," KES 52,709 ",1
PAY-69595,INV-66923,OMC-011,Hass Petroleum,GB56WGCN65876036690967,2025-12-21,149420,1
PAY-31936,INV-61885,OMC-014,Texol Energies,GB06ONXS45314737996507,2025-03-08,38282,2
PAY-71861,INV-56414,OMC-003,Rubis Energy,GB04LOQO13315098393010,2025-03-08,69909,1
PAY-52016,INV-38429,OMC-013,Lake Oil,GB88TEHE71937452991241,2026-03-04,288333,1
PAY-63182,INV-47706,OMC-014,Texol Energies,GB06ONXS45314737996507,2026-05-15,47523,1
PAY-94173,INV-98029,OMC-006,Hashi Energy,GB05QCFC91361939909169,2026-02-23,256785,1
PAY-87440,INV-87969,OMC-003,Rubis Energy,GB04LOQO13315098393010,2026-04-17,127574,1
PAY-35887,INV-72275,OMC-004,Gulf Energy,GB89GWUW86379402654235,2026-04-05,90854,1
PAY-21081,INV-40204,OMC-011,Hass Petroleum,GB56WGCN65876036690967,2025-04-14,162777,1
PAY-13304,INV-45017,OMC-006,Hashi Energy,GB05QCFC91361939909169,2025-10-30,113219,1
PAY-14326,INV-59968,OMC-019,Tanzania Petroleum,GB64OAXE62174596158657,2026-05-16,217923,1
PAY-32557,INV-44757,OMC-012,Galana Energies,GB89GWUW86379402654235,2026-05-22,104587,2
PAY-23739,INV-62507,OMC-019,Tanzania Petroleum,GB64OAXE62174596158657,2025-06-22,176087,1
PAY-84204,INV-22144,OMC-017,KAA Aviation,GB54HVSS04902787429671,2025-10-20,122408,1
PAY-20749,INV-84540,OMC-008,National Oil,GB08NAFX56342160733754,2025-08-16,282337,1
PAY-72566,INV-89348,OMC-014,Texol Energies,GB06ONXS45314737996507,2025-09-18,18557,2
PAY-19354,INV-23783,OMC-016,KPA Marine,GB31MOOJ96499091334123,2025-11-28,171626,1
PAY-92816,INV-16261,OMC-002,Vivo Energy,GB45OQIR01845146270482,2025-07-16,21433,1
PAY-87334,INV-82411,OMC-012,Galana Energies,GB89GWUW86379402654235,2026-05-02,117490,1
PAY-18477,INV-26047,OMC-005,PetroOil Kenya,GB89GWUW86379402654235,2026-07-21,40380,2
PAY-30532,INV-14569,OMC-020,Ethiopian Oil,GB08IVAZ74821759464743,2025-03-30,37731,1
PAY-88372,INV-86292,OMC-014,Texol Energies,GB06ONXS45314737996507,2026-05-01,142646,1
PAY-15387,INV-20901,OMC-016,KPA Marine,GB31MOOJ96499091334123,2025-12-26,29527,1
PAY-10410,INV-16060,OMC-002,Vivo Energy,GB45OQIR01845146270482,2025-11-04,291727,1
PAY-88879,INV-81511,OMC-004,Gulf Energy,GB89GWUW86379402654235,2026-03-29,320069,1
PAY-73877,INV-48050,OMC-018,Uganda National Oil,GB73JRAR61317127484677,2026-04-24,154499,1
PAY-38724,INV-54649,OMC-019,Tanzania Petroleum,GB64OAXE62174596158657,2025-10-17,251672,1
PAY-88430,INV-65387,OMC-018,Uganda National Oil,GB73JRAR61317127484677,2025-08-14,23813,1
PAY-29547,INV-77602,OMC-009,Dalbit Petroleum,GB53VXXX35615951484656,2025-06-08,29022,2
PAY-33873,INV-15714,OMC-020,Ethiopian Oil,GB08IVAZ74821759464743,2025-06-26,163707,1
PAY-49925,INV-32279,OMC-005,PetroOil Kenya,GB89GWUW86379402654235,2026-04-17,47821,1
PAY-87907,INV-61017,OMC-009,Dalbit Petroleum,GB53VXXX35615951484656,2026-07-21,23413,2
PAY-28046,INV-32193,OMC-006,Hashi Energy,GB05QCFC91361939909169,2026-01-26,110704,1
PAY-99961,INV-24232,OMC-018,Uganda National Oil,GB73JRAR61317127484677,,50062,1
PAY-14664,INV-88602,OMC-005,PetroOil Kenya,GB89GWUW86379402654235,2026-06-06,180275,1
PAY-99780,INV-42578,OMC-013,Lake Oil,GB88TEHE71937452991241,2025-05-10,127825,1
PAY-51846,INV-69734,OMC-012,Galana Energies,GB89GWUW86379402654235,2026-05-01," KES 22,680 ",1
PAY-38021,INV-93553,OMC-014,Texol Energies,GB06ONXS45314737996507,2026-01-07,24978,1
PAY-93140,INV-78946,OMC-008,National Oil,GB08NAFX56342160733754,2025-08-06,116058,1
PAY-51501,INV-25488,OMC-010,Tamoil,GB34EABH79176936763201,2025-04-05,43867,1
PAY-85912,INV-68060,OMC-011,Hass Petroleum,GB56WGCN65876036690967,2025-11-20,97338,1
PAY-16470,INV-14059,OMC-001,TotalEnergies Kenya,GB06DMIO52553419283276,2025-09-06,191180,1
PAY-47688,INV-76785,OMC-017,KAA Aviation,GB54HVSS04902787429671,2026-07-02,53621,1
PAY-89633,INV-21220,OMC-020,Ethiopian Oil,GB08IVAZ74821759464743,03/04/2026,146353,1
PAY-85107,INV-80782,OMC-008,National Oil,GB08NAFX56342160733754,2025-05-23,23358,1
PAY-11674,INV-99067,OMC-016,KPA Marine,GB31MOOJ96499091334123,2025-11-15,219453,1
PAY-41705,INV-40980,OMC-014,Texol Energies,GB06ONXS45314737996507,2025-10-26,15043,2
PAY-57981,INV-92646,OMC-010,Tamoil,GB34EABH79176936763201,2026-06-11," KES 270,879 ",1
PAY-96582,INV-39818,OMC-011,Hass Petroleum,GB56WGCN65876036690967,,134651,1
PAY-26658,INV-50104,OMC-019,Tanzania Petroleum,GB64OAXE62174596158657,2026-05-11,77885,2
PAY-68868,INV-30852,OMC-006,Hashi Energy,GB05QCFC91361939909169,2025-08-01,47792,1
PAY-44555,INV-63977,OMC-011,Hass Petroleum,GB56WGCN65876036690967,2025-07-06,166746,1
PAY-37183,INV-21560,OMC-010,Tamoil,GB34EABH79176936763201,2026-04-07,62165,1
PAY-58807,INV-49371,OMC-008,National Oil,GB08NAFX56342160733754,2026-07-28,49796,1
PAY-15404,INV-98764,OMC-013,Lake Oil,GB88TEHE71937452991241,2025-10-29,273513,1
PAY-76904,INV-83704,OMC-019,Tanzania Petroleum,GB64OAXE62174596158657,2025-12-19,59051,1
PAY-22545,INV-35119,OMC-003,Rubis Energy,GB04LOQO13315098393010,2025-03-25,28659,1
PAY-80764,INV-92620,OMC-004,Gulf Energy,GB89GWUW86379402654235,2026-04-28,116949,1
PAY-67940,INV-53497,OMC-010,Tamoil,GB34EABH79176936763201,2025-08-06,143145,1
PAY-49516,INV-65400,OMC-014,Texol Energies,GB06ONXS45314737996507,2025-05-23,29443,1
PAY-58702,INV-54069,OMC-016,KPA Marine,GB31MOOJ96499091334123,2025-09-19,80789,2
PAY-11427,INV-82654,OMC-008,National Oil,GB08NAFX56342160733754,2026-06-14,232114,1
PAY-30647,INV-49571,OMC-012,Galana Energies,GB89GWUW86379402654235,2026-05-07,15284,1
PAY-56792,INV-65592,OMC-014,Texol Energies,GB06ONXS45314737996507,2025-01-26,40719,1
PAY-91215,INV-87465,OMC-014,Texol Energies,GB06ONXS45314737996507,2026-07-18," KES 230,373 ",1
PAY-30871,INV-25569,OMC-005,PetroOil Kenya,GB89GWUW86379402654235,2026-05-25,18213,2
PAY-56465,INV-41989,OMC-019,Tanzania Petroleum,GB64OAXE62174596158657,2026-06-08,129837,1
PAY-63231,INV-33299,OMC-018,Uganda National Oil,GB73JRAR61317127484677,2025-04-06,146620,1
PAY-13328,INV-18674,OMC-010,Tamoil,GB34EABH79176936763201,,95131,1
PAY-30598,INV-57375,OMC-008,National Oil,GB08NAFX56342160733754,2026-02-22,230265,1
PAY-67884,INV-59474,OMC-014,Texol Energies,GB06ONXS45314737996507,2025-09-17,7048,2
PAY-33166,INV-25409,OMC-011,Hass Petroleum,GB56WGCN65876036690967,2026-05-26,109995,1
PAY-28483,INV-33710,OMC-020,Ethiopian Oil,GB08IVAZ74821759464743,2025-11-16,149739,1
PAY-12890,INV-83261,OMC-010,Tamoil,GB34EABH79176936763201,2026-04-03,264083,1
PAY-37361,INV-98040,OMC-002,Vivo Energy,GB45OQIR01845146270482,2025-12-26,123856,1
PAY-88170,INV-28565,OMC-019,Tanzania Petroleum,GB64OAXE62174596158657,2025-10-21,50167,1
PAY-38533,INV-51510,OMC-019,Tanzania Petroleum,GB64OAXE62174596158657,2026-03-25,146609,1
PAY-78989,INV-81830,OMC-015,Mombasa Petroleum,GB80WOIJ43135182337498,2026-05-12,100029,1
PAY-72287,INV-80795,OMC-016,KPA Marine,GB31MOOJ96499091334123,2025-10-14,100344,1
PAY-50186,INV-43863,OMC-004,Gulf Energy,GB89GWUW86379402654235,2026-04-10," KES 137,174 ",1
PAY-14119,INV-34396,OMC-005,PetroOil Kenya,GB89GWUW86379402654235,2026-05-13,119834,2
PAY-91596,INV-97808,OMC-017,KAA Aviation,GB54HVSS04902787429671,2025-11-23," KES 45,802 ",1
PAY-17738,INV-34516,OMC-012,Galana Energies,GB89GWUW86379402654235,2026-04-19,71798,2
PAY-93267,INV-55030,OMC-018,Uganda National Oil,GB73JRAR61317127484677,2025-12-18,146645,1
PAY-77010,INV-87468,OMC-014,Texol Energies,GB06ONXS45314737996507,2025-07-25,166781,1
PAY-79050,INV-62149,OMC-007,Kobil,GB37IDDX82449353487401,2026-04-23,222160,1
PAY-42560,INV-44537,OMC-005,PetroOil Kenya,GB89GWUW86379402654235,2026-03-19," KES 17,307 ",2
PAY-91474,INV-24579,OMC-001,TotalEnergies Kenya,GB06DMIO52553419283276,2026-01-14,46406,1
PAY-15253,INV-74662,OMC-020,Ethiopian Oil,GB08IVAZ74821759464743,2026-01-22,67306,2
PAY-69866,INV-44720,OMC-012,Galana Energies,GB89GWUW86379402654235,2026-05-07,45078,1
PAY-32677,INV-61314,OMC-012,Galana Energies,GB89GWUW86379402654235,2026-04-02,137103,1
PAY-82273,INV-12143,OMC-014,Texol Energies,GB06ONXS45314737996507,2026-07-28,193614,1
PAY-62221,INV-43313,OMC-016,KPA Marine,GB31MOOJ96499091334123,2025-11-15,49863,1
PAY-64844,INV-29427,OMC-003,Rubis Energy,GB04LOQO13315098393010,2025-07-06,148887,1
PAY-49398,INV-79942,OMC-014,Texol Energies,GB06ONXS45314737996507,2025-03-24,40850,2
PAY-95611,INV-40242,OMC-011,Hass Petroleum,GB56WGCN65876036690967,2026-07-19," KES 22,313 ",1
PAY-30698,INV-91828,OMC-011,Hass Petroleum,GB56WGCN65876036690967,2025-03-30,30276,1
PAY-66781,INV-13343,OMC-019,Tanzania Petroleum,GB64OAXE62174596158657,2025-05-12,119278,1
PAY-13948,INV-14781,OMC-014,Texol Energies,GB06ONXS45314737996507,2025-05-30,200905,1
PAY-13718,INV-51469,OMC-004,Gulf Energy,GB89GWUW86379402654235,2026-06-07,44620,1
PAY-46129,INV-35355,OMC-007,Kobil,GB37IDDX82449353487401,27/07/2025,106603,1
PAY-33143,INV-48492,OMC-016,KPA Marine,GB31MOOJ96499091334123,2026-07-03,102363,1
PAY-40387,INV-17260,OMC-017,KAA Aviation,GB54HVSS04902787429671,2026-05-01,50084,1
PAY-89344,INV-79458,OMC-018,Uganda National Oil,GB73JRAR61317127484677,2026-02-19,164558,1
PAY-17411,INV-11614,OMC-010,Tamoil,GB34EABH79176936763201,2025-05-12," KES 27,492 ",1
PAY-13169,INV-73153,OMC-011,Hass Petroleum,GB56WGCN65876036690967,2025-11-30,33319,1
PAY-65111,INV-81869,OMC-011,Hass Petroleum,GB56WGCN65876036690967,2026-05-13,50201,1
PAY-19693,INV-78322,OMC-007,Kobil,GB37IDDX82449353487401,2025-03-03,35921,1
PAY-62369,INV-70197,OMC-008,National Oil,GB08NAFX56342160733754,2026-03-03,52559,1
PAY-68558,INV-41932,OMC-002,Vivo Energy,GB45OQIR01845146270482,22/07/2025,39745,1
PAY-58936,INV-31081,OMC-010,Tamoil,GB34EABH79176936763201,2025-02-01,156327,1
PAY-16099,INV-12089,OMC-019,Tanzania Petroleum,GB64OAXE62174596158657,2025-07-25,27824,1
PAY-87693,INV-25099,OMC-014,Texol Energies,GB06ONXS45314737996507,2025-10-20,43303,2
PAY-69895,INV-58351,OMC-009,Dalbit Petroleum,GB53VXXX35615951484656,03/12/2025," KES 152,820 ",1
PAY-66620,INV-73479,OMC-016,KPA Marine,GB31MOOJ96499091334123,2026-02-26,23712,2
PAY-57241,INV-96239,OMC-008,National Oil,GB08NAFX56342160733754,2026-07-23,60010,2
PAY-67291,INV-28245,OMC-005,PetroOil Kenya,GB89GWUW86379402654235,2026-05-14,39118,1
PAY-65519,INV-68004,OMC-008,National Oil,GB08NAFX56342160733754,22/02/2026,93151,1
PAY-24686,INV-95196,OMC-016,KPA Marine,GB31MOOJ96499091334123,23/03/2025,154719,1
PAY-66151,INV-10157,OMC-001,TotalEnergies Kenya,GB06DMIO52553419283276,,220691,1
PAY-70944,INV-16598,OMC-006,Hashi Energy,GB05QCFC91361939909169,2026-04-30,139019,1
PAY-97074,INV-97323,OMC-014,Texol Energies,GB06ONXS45314737996507,2025-10-13,14046,2
PAY-52010,INV-72274,OMC-019,Tanzania Petroleum,GB64OAXE62174596158657,2025-05-05," KES 91,253 ",1
PAY-35026,INV-52374,OMC-005,PetroOil Kenya,GB89GWUW86379402654235,2026-06-04,65814,2
PAY-15294,INV-94844,OMC-014,Texol Energies,GB06ONXS45314737996507,2026-05-21,187927,1
PAY-96881,INV-81861,OMC-019,Tanzania Petroleum,GB64OAXE62174596158657,2025-10-24,53840,1
PAY-32215,INV-33738,OMC-004,Gulf Energy,GB89GWUW86379402654235,2026-06-25,8606,2
PAY-90953,INV-66360,OMC-018,Uganda National Oil,GB73JRAR61317127484677,2026-04-04,156857,1
PAY-23043,INV-32274,OMC-001,TotalEnergies Kenya,GB06DMIO52553419283276,2025-11-06,30008,1
PAY-16952,INV-35546,OMC-014,Texol Energies,GB06ONXS45314737996507,2026-05-31,84712,1
PAY-34455,INV-16181,OMC-020,Ethiopian Oil,GB08IVAZ74821759464743,2026-06-26,87611,1
PAY-12648,INV-94412,OMC-010,Tamoil,GB34EABH79176936763201,2026-01-12,59942,1
PAY-26007,INV-18751,OMC-013,Lake Oil,GB88TEHE71937452991241,2025-11-17,22930,1
PAY-29682,INV-46159,OMC-003,Rubis Energy,GB04LOQO13315098393010,2026-05-14,46423,1
PAY-92817,INV-94283,OMC-017,KAA Aviation,GB54HVSS04902787429671,2025-10-05,120145,1
PAY-31567,INV-16299,OMC-014,Texol Energies,GB06ONXS45314737996507,2025-11-29,22097,1
PAY-50784,INV-60082,OMC-004,Gulf Energy,GB89GWUW86379402654235,2026-05-22,24869,2
PAY-73453,INV-22494,OMC-020,Ethiopian Oil,GB08IVAZ74821759464743,,95170,2
PAY-47065,INV-34138,OMC-008,National Oil,GB08NAFX56342160733754,2025-02-10,164539,1
PAY-61454,INV-83982,OMC-014,Texol Energies,GB06ONXS45314737996507,2025-07-27,38273,2
PAY-69520,INV-53082,OMC-019,Tanzania Petroleum,GB64OAXE62174596158657,2025-02-26,259975,1
PAY-12335,INV-42961,OMC-013,Lake Oil,GB88TEHE71937452991241,2025-11-15," KES 182,685 ",1
PAY-39467,INV-65896,OMC-011,Hass Petroleum,GB56WGCN65876036690967,2025-09-15,41728,1
PAY-99209,INV-56052,OMC-005,PetroOil Kenya,GB89GWUW86379402654235,2026-05-22,89714,1
PAY-97539,INV-44323,OMC-004,Gulf Energy,GB89GWUW86379402654235,2026-03-23,135102,1
PAY-64370,INV-81496,OMC-011,Hass Petroleum,GB56WGCN65876036690967,15/03/2025,209698,1
PAY-34280,INV-52924,OMC-003,Rubis Energy,GB04LOQO13315098393010,2026-07-23,42576,1
PAY-12293,INV-95862,OMC-010,Tamoil,GB34EABH79176936763201,10/07/2025,174468,1
PAY-52420,INV-41264,OMC-007,Kobil,GB37IDDX82449353487401,2025-02-08,31310,1
PAY-81063,INV-26536,OMC-011,Hass Petroleum,GB56WGCN65876036690967,2025-12-12,192532,1
PAY-70196,INV-65655,OMC-016,KPA Marine,GB31MOOJ96499091334123,2025-04-05,63362,1
PAY-24054,INV-98062,OMC-014,Texol Energies,GB06ONXS45314737996507,2025-11-05,85758,1
PAY-49980,INV-31742,OMC-006,Hashi Energy,GB05QCFC91361939909169,2026-07-31,19796,1
PAY-48838,INV-60532,OMC-017,KAA Aviation,GB54HVSS04902787429671,2026-05-10,21978,1
PAY-91117,INV-78181,OMC-015,Mombasa Petroleum,GB80WOIJ43135182337498,01/05/2025,59736,1
PAY-27629,INV-86123,OMC-005,PetroOil Kenya,GB89GWUW86379402654235,2026-03-31,99146,1
PAY-53211,INV-95377,OMC-001,TotalEnergies Kenya,GB06DMIO52553419283276,2025-12-10,21999,1
PAY-23927,INV-67614,OMC-018,Uganda National Oil,GB73JRAR61317127484677,2025-06-19,74905,1
PAY-62553,INV-65100,OMC-005,PetroOil Kenya,GB89GWUW86379402654235,2026-05-14,57533,2
PAY-84274,INV-54667,OMC-020,Ethiopian Oil,GB08IVAZ74821759464743,2025-10-24,274587,1
PAY-84364,INV-59076,OMC-012,Galana Energies,GB89GWUW86379402654235,2026-04-14,89892,2
PAY-91512,INV-92550,OMC-013,Lake Oil,GB88TEHE71937452991241,2026-05-29,200618,1
PAY-33696,INV-48347,OMC-020,Ethiopian Oil,GB08IVAZ74821759464743,2025-05-12,167832,1
PAY-13386,INV-22171,OMC-019,Tanzania Petroleum,GB64OAXE62174596158657,2025-12-17,57159,1
PAY-92058,INV-72062,OMC-016,KPA Marine,GB31MOOJ96499091334123,2025-12-14,81516,1
PAY-92864,INV-71285,OMC-016,KPA Marine,GB31MOOJ96499091334123,2025-06-26,195471,1
PAY-75021,INV-67975,OMC-015,Mombasa Petroleum,GB80WOIJ43135182337498,2025-12-22,23999,1
PAY-20905,INV-41231,OMC-008,National Oil,GB08NAFX56342160733754,2025-05-16,22401,1
PAY-89078,INV-67510,OMC-002,Vivo Energy,GB45OQIR01845146270482,2026-04-04,141238,1
PAY-36964,INV-80625,OMC-002,Vivo Energy,GB45OQIR01845146270482,2026-06-24,15866,2
PAY-97162,INV-74135,OMC-002,Vivo Energy,GB45OQIR01845146270482,2025-12-17,17513,2
PAY-56749,INV-72989,OMC-009,Dalbit Petroleum,GB53VXXX35615951484656,14/05/2025,31775,1
PAY-79653,INV-89127,OMC-007,Kobil,GB37IDDX82449353487401,2025-04-24,204909,1
PAY-78943,INV-15378,OMC-007,Kobil,GB37IDDX82449353487401,08/02/2025,118538,1
PAY-85029,INV-81220,OMC-008,National Oil,GB08NAFX56342160733754,2026-04-25,28831,1
PAY-32577,INV-64146,OMC-006,Hashi Energy,GB05QCFC91361939909169,25/05/2026,28314,1
PAY-23310,INV-77930,OMC-020,Ethiopian Oil,GB08IVAZ74821759464743,2025-10-10,36193,1
PAY-48748,INV-82132,OMC-007,Kobil,GB37IDDX82449353487401,2025-01-23," KES 23,916 ",1
PAY-62131,INV-60852,OMC-010,Tamoil,GB34EABH79176936763201,01/05/2025,191910,1
PAY-39210,INV-29062,OMC-005,PetroOil Kenya,GB89GWUW86379402654235,2026-03-02,139859,1
PAY-14535,INV-86986,OMC-014,Texol Energies,GB06ONXS45314737996507,2026-06-06,48967,1
PAY-73914,INV-29914,OMC-016,KPA Marine,GB31MOOJ96499091334123,2025-12-02," KES 38,648 ",1
PAY-10546,INV-70925,OMC-008,National Oil,GB08NAFX56342160733754,2026-05-22,11318,2
PAY-41360,INV-30403,OMC-018,Uganda National Oil,GB73JRAR61317127484677,,53939,1
PAY-56424,INV-36831,OMC-008,National Oil,GB08NAFX56342160733754,2025-10-31,95284,1
PAY-66218,INV-66107,OMC-018,Uganda National Oil,GB73JRAR61317127484677,2025-08-28,128612,1
PAY-60329,INV-87981,OMC-019,Tanzania Petroleum,GB64OAXE62174596158657,2026-01-07,54667,1
PAY-15429,INV-46584,OMC-008,National Oil,GB08NAFX56342160733754,28/10/2025,192480,1
PAY-38392,INV-46530,OMC-008,National Oil,GB08NAFX56342160733754,2025-09-05,76890,1
PAY-14633,INV-20234,OMC-019,Tanzania Petroleum,GB64OAXE62174596158657,2025-12-14,56195,1
PAY-83329,INV-46652,OMC-006,Hashi Energy,GB05QCFC91361939909169,2025-06-20,177412,1
PAY-79622,INV-19139,OMC-001,TotalEnergies Kenya,GB06DMIO52553419283276,2026-02-26,32647,1
PAY-85897,INV-91215,OMC-010,Tamoil,GB34EABH79176936763201,2026-03-30,38732,1
PAY-20240,INV-69284,OMC-005,PetroOil Kenya,GB89GWUW86379402654235,2026-05-04,43433,1
PAY-27578,INV-88627,OMC-010,Tamoil,GB34EABH79176936763201,2026-07-15,292275,1
PAY-11757,INV-33153,OMC-020,Ethiopian Oil,GB08IVAZ74821759464743,2025-08-06,104839,1
PAY-53776,INV-52725,OMC-009,Dalbit Petroleum,GB53VXXX35615951484656,2025-11-08,12314,2
PAY-59760,INV-42547,OMC-006,Hashi Energy,GB05QCFC91361939909169,14/05/2026,243220,1
PAY-51498,INV-96267,OMC-001,TotalEnergies Kenya,GB06DMIO52553419283276,2026-06-21,32800,1
PAY-67109,INV-16493,OMC-007,Kobil,GB37IDDX82449353487401,2025-02-12,141326,1
PAY-67819,INV-87808,OMC-010,Tamoil,GB34EABH79176936763201,2026-01-10,36022,1
PAY-25929,INV-64533,OMC-015,Mombasa Petroleum,GB80WOIJ43135182337498,2025-07-21,145546,1
PAY-54023,INV-68894,OMC-003,Rubis Energy,GB04LOQO13315098393010,2026-07-12,157872,1
PAY-67618,INV-55990,OMC-001,TotalEnergies Kenya,GB06DMIO52553419283276,2025-05-26,76575,2
PAY-85509,INV-14539,OMC-014,Texol Energies,GB06ONXS45314737996507,2025-03-17,73046,1
