tariff_id,product,depot,pipeline_tariff_per_m3_km,storage_tariff_per_m3_day,effective_start,effective_end
TRF-2026-6915,PMS,Kisumu,5.81,1050.0,2026-01-01,2026-12-31
TRF-2026-0487,PMS,Eldoret,5.81,1050.0,2026-01-01,2026-12-31
TRF-2026-5664,AGO,Mombasa (KOSF),5.81,1050.0,2026-01-01,2026-12-31
TRF-2026-4386,AGO,Mombasa (Kipevu),5.81,1050.0,2026-01-01,2026-12-31
TRF-2026-6471,AGO,Nairobi,5.81,1050.0,2026-01-01,2026-12-31
TRF-2026-3679,AGO,Kisumu,5.81,1050.0,2026-01-01,2026-12-31
TRF-2026-0025,AGO,Eldoret,5.81,1050.0,2026-01-01,2026-12-31
TRF-2026-8525,DPK,Mombasa (KOSF),5.81,1050.0,2026-01-01,2026-12-31
TRF-2026-8737,DPK,Mombasa (Kipevu),5.81,1050.0,2026-01-01,2026-12-31
TRF-2026-0159,DPK,Nairobi,5.81,1050.0,2026-01-01,2026-12-31
TRF-2026-9201,DPK,Kisumu,5.81,1050.0,2026-01-01,2026-12-31
TRF-2026-8354,DPK,Eldoret,5.81,1050.0,2026-01-01,2026-12-31
TRF-2026-5928,JETA1,Mombasa (KOSF),5.81,1050.0,2026-01-01,2026-12-31
TRF-2026-7329,JETA1,Mombasa (Kipevu),5.81,1050.0,2026-01-01,2026-12-31
TRF-2026-8572,JETA1,Nairobi,5.81,1050.0,2026-01-01,2026-12-31
TRF-2026-8197,JETA1,Kisumu,5.81,1050.0,2026-01-01,2026-12-31
TRF-2026-7959,JETA1,Eldoret,5.81,1050.0,2026-01-01,2026-12-31
TRF-2026-6991,HFO,Mombasa (KOSF),5.81,1050.0,2026-01-01,2026-12-31
TRF-2026-2811,HFO,Mombasa (Kipevu),5.81,1050.0,2026-01-01,2026-12-31
TRF-2026-5742,HFO,Nairobi,5.81,1050.0,2026-01-01,2026-12-31
TRF-2026-7710,HFO,Kisumu,5.81,1050.0,2026-01-01,2026-12-31
TRF-2026-9358,HFO,Eldoret,5.81,1050.0,2026-01-01,2026-12-31
TRF-2026-9025,LPG,Mombasa (KOSF),5.81,1050.0,2026-01-01,2026-12-31
TRF-2026-4207,LPG,Mombasa (Kipevu),5.81,1050.0,2026-01-01,2026-12-31
TRF-2026-1301,LPG,Nairobi,5.81,1050.0,2026-01-01,2026-12-31
TRF-2026-8923,LPG,Kisumu,5.81,1050.0,2026-01-01,2026-12-31
TRF-2026-5473,LPG,Eldoret,5.81,1050.0,2026-01-01,2026-12-31
TRF-2026-3078,LUB,Mombasa (KOSF),5.81,1050.0,2026-01-01,2026-12-31
TRF-2026-0847,LUB,Mombasa (Kipevu),5.81,1050.0,2026-01-01,2026-12-31
TRF-2026-9124,LUB,Nairobi,5.81,1050.0,2026-01-01,2026-12-31
TRF-2026-7759,LUB,Kisumu,5.81,1050.0,2026-01-01,2026-12-31
TRF-2026-0767,LUB,Eldoret,5.81,1050.0,2026-01-01,2026-12-31
