loading_id,gantry_bay_id,meter_id,dispatch_id,omc_id,depot,product,physical_loaded_liters,temperature_c,density_kg_m3,loading_timestamp
LOAD-000385,BAY-05,MTR-545,DISP-00385,OMC-018,Nairobi,DPK,42811,31.0,848.7,2025-10-26 14:11:55
LOAD-006233,BAY-11,MTR-336,DISP-06233,OMC-013,Eldoret,AGO,35592,27.4,784.8,2025-01-30 04:25:33
LOAD-000151,BAY-12,MTR-254,,OMC-018,Mombasa (Kipevu),JETA1,53702,26.1,768.5,2025-03-02 19:04:34
LOAD-009435,BAY-04,MTR-975,DISP-09435,OMC-010,Mombasa (KOSF),JETA1,24275,29.0,827.6,2025-06-19 03:25:19
LOAD-007626,BAY-08,MTR-492,DISP-07626,OMC-010,Nairobi,JETA1,24292,26.6,758.2,2026-06-15 12:41:52
LOAD-006516,BAY-07,MTR-273,DISP-06516,OMC-002,Nairobi,LPG,32257,28.0,796.8,2025-03-24 21:18:05
LOAD-008495,BAY-05,MTR-310,DISP-08495,OMC-018,Kisumu,LPG,52092,20.1,737.8,2025-06-25 03:17:58
LOAD-003426,BAY-06,MTR-675,DISP-03426,OMC-006,Nairobi,AGO,34577,27.5,767.8,2026-05-16 10:24:03
LOAD-003503,BAY-02,MTR-775,DISP-03503,OMC-001,Mombasa (Kipevu),AGO,58594,23.8,785.4,
LOAD-005154,BAY-07,MTR-506,DISP-05154,OMC-020,Eldoret,HFO,29226,21.1,844.7,2025-03-08 13:56:10
LOAD-005926,BAY-12,MTR-132,DISP-05926,OMC-007,Eldoret,PMS,53146,21.3,782.5,2025-06-25 00:04:29
LOAD-005281,BAY-02,MTR-835,DISP-05281,OMC-009,Mombasa (KOSF),LUB,24817,22.7,833.2,2026-01-12 11:37:10
LOAD-001834,BAY-02,MTR-938,DISP-01834,OMC-006,Kisumu,LUB,55921,22.2,744.4,2025-11-27 20:18:12
LOAD-007982,BAY-12,MTR-323,DISP-07982,OMC-019,Mombasa (KOSF),LPG,34787,23.5,753.6,2025-12-01 15:23:42
LOAD-005861,BAY-10,MTR-612,DISP-05861,OMC-006,Mombasa (KOSF),AGO,56692,22.6,846.3,2025-04-17 06:26:35
LOAD-000145,BAY-03,MTR-497,DISP-00145,OMC-016,Kisumu,HFO,58711,22.4,804.1,2025-09-04 08:12:16
LOAD-004685,BAY-12,MTR-272,DISP-04685,OMC-012,Mombasa (Kipevu),HFO,58258,30.3,810.5,2026-04-08 18:16:57
LOAD-005396,BAY-02,MTR-572,DISP-05396,OMC-004,Eldoret,HFO,55540,31.1,842.5,2026-03-06 08:04:08
LOAD-006504,BAY-02,MTR-795,DISP-06504,OMC-016,Eldoret,LPG,36582,20.2,788.1,2025-07-28 08:50:55
LOAD-001011,BAY-07,MTR-908,DISP-01011,OMC-005,Nairobi,HFO,28205,24.1,722.7,2026-03-22 22:23:36
LOAD-005525,BAY-05,MTR-197,,OMC-008,Kisumu,HFO,21706,20.8,733.1,2026-05-23 21:29:22
LOAD-001380,BAY-10,MTR-646,DISP-01380,OMC-008,Eldoret,HFO,24273,23.5,721.3,2025-10-23 16:41:14
LOAD-001036,BAY-06,MTR-202,DISP-01036,OMC-002,Mombasa (KOSF),HFO,21617,27.0,848.5,2025-05-17 10:36:37
LOAD-000643,BAY-05,MTR-236,DISP-00643,OMC-008,Mombasa (Kipevu),HFO,31674,29.5,803.5,2025-10-31 09:46:34
LOAD-005228,BAY-03,MTR-508,DISP-05228,OMC-011,Nairobi,DPK,24042,28.5,766.4,2026-06-01 01:16:21
LOAD-000288,BAY-04,MTR-144,,OMC-004,Mombasa (Kipevu),HFO,45890,27.1,737.5,2026-04-03 17:25:59
LOAD-004216,BAY-11,MTR-384,DISP-04216,OMC-014,Eldoret,PMS,39628,24.6,791.7,2025-03-29 12:34:58
LOAD-000352,BAY-03,MTR-425,DISP-00352,OMC-018,Mombasa (Kipevu),LUB,46249,26.4,813.5,
LOAD-006443,BAY-03,MTR-218,DISP-06443,OMC-006,Nairobi,LPG,54137,21.3,790.7,2025-04-10 20:20:58
LOAD-004810,BAY-04,MTR-741,DISP-04810,OMC-019,Mombasa (KOSF),AGO,39867,30.1,773.2,2025-05-15 23:58:49
LOAD-004959,BAY-01,MTR-462,DISP-04959,OMC-019,Eldoret,JETA1,51809,23.2,783.9,2025-08-16 23:16:27
LOAD-002678,BAY-01,MTR-520,DISP-02678,OMC-015,Kisumu,JETA1,28520,29.1,743.2,2025-04-24 05:40:14
LOAD-008765,BAY-05,MTR-817,DISP-08765,OMC-002,Nairobi,JETA1,55079,22.8,729.3,2025-10-02 00:05:35
LOAD-007476,BAY-07,MTR-253,DISP-07476,OMC-004,Mombasa (KOSF),LPG,31846,24.2,728.7,2026-04-30 11:28:28
LOAD-002408,BAY-04,MTR-139,DISP-02408,OMC-007,Mombasa (Kipevu),LPG,21669,21.4,752.9,2025-03-28 19:24:25
LOAD-001436,BAY-04,MTR-701,DISP-01436,OMC-005,Kisumu,LPG,20616,21.0,844.1,2026-02-24 13:07:37
LOAD-007272,BAY-11,MTR-456,DISP-07272,OMC-001,Mombasa (KOSF),DPK,34387,27.4,836.5,2026-01-15 20:55:26
LOAD-002745,BAY-04,MTR-662,DISP-02745,OMC-005,Mombasa (KOSF),HFO,33797,26.0,757.5,2026-02-20 15:40:13
LOAD-008554,BAY-04,MTR-930,DISP-08554,OMC-002,Eldoret,LUB,40533,30.8,805.1,2025-10-11 18:12:53
LOAD-009417,BAY-06,MTR-541,DISP-09417,OMC-013,Mombasa (Kipevu),LUB,44177,31.6,729.7,2025-06-11 06:48:51
LOAD-006906,BAY-09,MTR-521,DISP-06906,OMC-006,Nairobi,AGO,22575,24.1,845.8,2025-04-21 10:11:15
LOAD-006980,BAY-11,MTR-959,DISP-06980,OMC-020,Kisumu,PMS,35839,25.7,809.0,
LOAD-003655,BAY-03,MTR-396,DISP-03655,OMC-015,Eldoret,PMS,47837,24.0,784.3,07/10/2025
LOAD-007757,BAY-07,MTR-693,DISP-07757,OMC-009,Mombasa (KOSF),PMS,49100,25.4,730.9,2025-06-04 02:28:05
LOAD-000877,BAY-06,MTR-772,DISP-00877,OMC-016,Kisumu,JETA1,55982,31.5,806.9,2026-04-21 15:06:44
LOAD-008349,BAY-01,MTR-602,DISP-08349,OMC-019,Mombasa (KOSF),PMS,29481,26.9,821.8,18/01/2025
LOAD-001571,BAY-09,MTR-525,DISP-01571,OMC-010,Kisumu,JETA1,21027,29.3,761.0,2025-10-09 16:19:52
LOAD-008870,BAY-10,MTR-431,DISP-08870,OMC-013,Mombasa (Kipevu),LPG,40067,28.8,804.7,2026-01-10 09:57:45
LOAD-001500,BAY-07,MTR-327,DISP-01500,OMC-008,Mombasa (KOSF),LUB,26403,20.6,846.7,2025-05-11 16:49:17
LOAD-008694,BAY-12,MTR-545,DISP-08694,OMC-013,Nairobi,DPK,54451,28.9,780.8,2025-03-27 22:39:55
LOAD-005939,BAY-12,MTR-381,DISP-05939,OMC-011,Kisumu,LUB,39353,24.0,822.1,2025-09-07 13:11:56
LOAD-002946,BAY-03,MTR-219,DISP-02946,OMC-017,Kisumu,JETA1,31772,28.4,786.4,2025-10-08 14:35:56
LOAD-001396,BAY-01,MTR-441,DISP-01396,OMC-015,Nairobi,DPK,53896,26.1,723.9,2025-05-02 12:58:34
LOAD-006311,BAY-12,MTR-813,DISP-06311,OMC-019,Mombasa (KOSF),LPG,33589,26.7,786.8,2026-03-22 06:02:17
LOAD-000282,BAY-10,MTR-850,DISP-00282,OMC-007,Mombasa (Kipevu),LUB,34633,21.6,785.1,2025-02-07 20:04:58
LOAD-000533,BAY-11,MTR-450,DISP-00533,OMC-010,Eldoret,AGO,40193,31.8,812.0,2025-04-02 14:23:33
LOAD-001957,BAY-08,MTR-171,DISP-01957,OMC-002,Kisumu,JETA1,43570,21.0,843.0,2025-07-30 20:44:05
LOAD-000670,BAY-05,MTR-881,DISP-00670,OMC-006,Kisumu,AGO,30318,27.8,738.3,2025-03-11 10:11:55
LOAD-000858,BAY-11,MTR-924,DISP-00858,OMC-011,Kisumu,PMS,22212,25.5,755.6,2026-04-06 11:12:52
LOAD-006260,BAY-06,MTR-581,DISP-06260,OMC-010,Mombasa (KOSF),LUB,59530,26.2,769.1,2025-03-13 12:17:44
LOAD-003420,BAY-01,MTR-796,DISP-03420,OMC-019,Nairobi,DPK,49563,31.8,810.9,2026-02-03 14:14:36
LOAD-002544,BAY-05,MTR-870,DISP-02544,OMC-010,Mombasa (KOSF),HFO,24921,27.3,837.3,2026-01-23 08:39:07
LOAD-005774,BAY-05,MTR-821,DISP-05774,OMC-010,Kisumu,PMS,32389,30.1,813.5,2025-07-16 23:54:09
LOAD-008962,BAY-09,MTR-300,DISP-08962,OMC-006,Mombasa (Kipevu),LUB,35763,25.2,837.4,2026-04-01 01:51:35
LOAD-000334,BAY-12,MTR-208,DISP-00334,OMC-008,Mombasa (Kipevu),LPG,42337,26.9,807.7,2026-06-29 14:01:46
LOAD-000141,BAY-12,MTR-883,DISP-00141,OMC-018,Mombasa (Kipevu),DPK,31026,29.7,774.5,2026-03-11 19:22:01
LOAD-003803,BAY-06,MTR-895,DISP-03803,OMC-017,Mombasa (Kipevu),LPG,43537,29.8,771.8,2026-03-26 20:24:20
LOAD-001882,BAY-05,MTR-841,DISP-01882,OMC-019,Mombasa (Kipevu),JETA1,31808,22.4,730.9,2025-04-15 06:18:46
LOAD-004227,BAY-09,MTR-788,DISP-04227,OMC-020,Kisumu,PMS,45084,29.7,735.8,2025-03-09 06:51:11
LOAD-005117,BAY-12,MTR-368,DISP-05117,OMC-019,Nairobi,LPG,25724,23.0,756.4,2025-03-27 07:11:44
LOAD-006322,BAY-05,MTR-725,DISP-06322,OMC-009,Mombasa (KOSF),DPK,27660,21.5,838.0,2025-01-04 04:12:30
LOAD-005721,BAY-06,MTR-495,,OMC-005,Kisumu,LUB,26874,26.2,779.5,2026-02-07 03:04:26
LOAD-009098,BAY-05,MTR-563,DISP-09098,OMC-006,Nairobi,LUB,39527,31.9,781.9,2026-02-21 23:00:11
LOAD-003284,BAY-05,MTR-743,DISP-03284,OMC-010,Nairobi,HFO,33169,22.2,726.4,2026-06-07 20:50:27
LOAD-009829,BAY-08,MTR-477,DISP-09829,OMC-011,Mombasa (KOSF),AGO,32273,20.1,737.0,2026-01-30 01:15:22
LOAD-005344,BAY-11,MTR-479,DISP-05344,OMC-001,Mombasa (KOSF),JETA1,39749,27.3,813.6,2026-04-03 14:41:10
LOAD-004659,BAY-04,MTR-401,DISP-04659,OMC-015,Nairobi,LPG,52136,25.4,792.6,2025-11-01 14:56:56
LOAD-004641,BAY-01,MTR-153,DISP-04641,OMC-009,Kisumu,HFO,42458,20.0,779.2,2026-02-27 12:07:56
LOAD-009005,BAY-02,MTR-243,DISP-09005,OMC-003,Mombasa (KOSF),LUB,48868,22.3,747.3,2025-07-12 07:41:51
LOAD-003552,BAY-04,MTR-887,,OMC-005,Mombasa (KOSF),DPK,55995,20.8,760.3,2026-03-15 11:52:06
LOAD-003685,BAY-01,MTR-575,DISP-03685,OMC-001,Mombasa (Kipevu),LPG,43702,22.4,822.6,2025-05-23 08:31:57
LOAD-009680,BAY-10,MTR-101,DISP-09680,OMC-013,Mombasa (KOSF),LPG,43647,27.0,807.9,2026-05-04 06:58:25
LOAD-000063,BAY-12,MTR-885,DISP-00063,OMC-002,Mombasa (Kipevu),LPG,44836,30.1,801.7,2026-05-24 10:25:12
LOAD-006831,BAY-05,MTR-665,DISP-06831,OMC-019,Mombasa (KOSF),JETA1,58177,22.4,756.9,27/03/2025
LOAD-000004,BAY-09,MTR-100,DISP-00004,OMC-004,Mombasa (Kipevu),DPK,41575,25.9,734.5,2026-04-22 10:51:57
LOAD-007948,BAY-07,MTR-712,,OMC-012,Mombasa (KOSF),LPG,21301,28.5,824.3,2026-04-24 04:57:22
LOAD-006164,BAY-02,MTR-813,DISP-06164,OMC-016,Mombasa (KOSF),AGO,40140,26.1,780.6,2026-03-15 08:41:38
LOAD-007436,BAY-09,MTR-868,DISP-07436,OMC-006,Mombasa (KOSF),PMS,46803,32.0,736.2,
LOAD-009735,BAY-07,MTR-713,DISP-09735,OMC-020,Mombasa (Kipevu),AGO,21812,28.6,814.9,26/06/2025
LOAD-009357,BAY-01,MTR-702,DISP-09357,OMC-017,Kisumu,PMS,47532,21.4,814.6,2025-11-25 07:12:23
LOAD-003427,BAY-12,MTR-680,DISP-03427,OMC-013,Nairobi,LPG,53799,23.6,817.6,2025-12-25 14:28:55
LOAD-008156,BAY-11,MTR-668,DISP-08156,OMC-006,Mombasa (Kipevu),HFO,25238,26.2,849.9,2025-02-04 18:25:07
LOAD-000869,BAY-04,MTR-410,DISP-00869,OMC-005,Nairobi,LUB,57139,31.9,750.3,2026-04-11 12:41:21
LOAD-000494,BAY-11,MTR-329,DISP-00494,OMC-012,Mombasa (KOSF),PMS,40534,28.6,841.0,2026-04-20 06:47:06
LOAD-000880,BAY-11,MTR-149,DISP-00880,OMC-005,Mombasa (KOSF),HFO,49917,31.8,721.9,2026-03-14 15:21:55
LOAD-004908,BAY-06,MTR-592,DISP-04908,OMC-020,Mombasa (KOSF),AGO,50829,26.5,835.8,2025-01-30 13:05:47
LOAD-009146,BAY-09,MTR-686,DISP-09146,OMC-008,Kisumu,LUB,45111,25.0,722.3,2025-11-21 16:51:22
LOAD-002518,BAY-04,MTR-902,DISP-02518,OMC-019,Nairobi,DPK,41184,30.9,782.5,2025-03-23 16:51:15
LOAD-002471,BAY-05,MTR-686,DISP-02471,OMC-005,Mombasa (Kipevu),DPK,22824,26.2,788.8,17/04/2026
LOAD-008688,BAY-11,MTR-367,DISP-08688,OMC-006,Eldoret,AGO,24561,30.6,783.8,2026-05-17 19:35:10
LOAD-008837,BAY-10,MTR-110,DISP-08837,OMC-018,Mombasa (Kipevu),HFO,21338,25.4,735.6,2025-03-26 07:34:39
LOAD-001896,BAY-05,MTR-175,DISP-01896,OMC-004,Mombasa (Kipevu),HFO,58030,29.0,753.8,2026-03-05 18:58:15
LOAD-000737,BAY-04,MTR-188,DISP-00737,OMC-007,Mombasa (Kipevu),AGO,37363,27.5,806.9,2025-07-20 09:11:35
LOAD-009306,BAY-05,MTR-597,DISP-09306,OMC-014,Mombasa (Kipevu),LPG,51600,21.7,799.1,2026-04-17 06:32:34
LOAD-000449,BAY-12,MTR-296,DISP-00449,OMC-012,Eldoret,PMS,50530,22.1,818.0,2026-02-21 18:13:39
LOAD-009158,BAY-12,MTR-457,DISP-09158,OMC-008,Nairobi,LUB,55638,26.3,835.4,2025-05-09 11:53:13
LOAD-007198,BAY-11,MTR-170,DISP-07198,OMC-013,Mombasa (KOSF),DPK,39351,23.2,833.8,2026-02-01 08:50:51
LOAD-001839,BAY-12,MTR-335,DISP-01839,OMC-006,Eldoret,PMS,41008,20.7,807.6,2025-11-09 04:49:40
LOAD-008132,BAY-10,MTR-904,DISP-08132,OMC-009,Eldoret,JETA1,24739,28.6,789.9,2025-11-02 23:45:55
LOAD-007247,BAY-02,MTR-148,DISP-07247,OMC-008,Kisumu,DPK,28406,30.4,720.4,2025-05-13 21:55:54
LOAD-001593,BAY-12,MTR-750,DISP-01593,OMC-012,Mombasa (KOSF),LPG,22714,25.1,825.2,2026-02-04 02:35:06
LOAD-000217,BAY-08,MTR-907,DISP-00217,OMC-001,Kisumu,JETA1,34049,27.8,809.3,2025-02-19 14:03:05
LOAD-003017,BAY-11,MTR-375,DISP-03017,OMC-005,Nairobi,LUB,50864,21.6,793.6,2026-02-22 05:34:39
LOAD-005505,BAY-06,MTR-931,DISP-05505,OMC-012,Kisumu,AGO,28283,24.0,721.0,2026-04-19 21:34:05
LOAD-000418,BAY-04,MTR-724,DISP-00418,OMC-008,Kisumu,HFO,22174,24.6,737.7,2026-02-27 07:16:48
LOAD-007618,BAY-06,MTR-346,DISP-07618,OMC-004,Eldoret,JETA1,43000,30.0,762.2,2026-03-25 01:48:20
LOAD-008497,BAY-04,MTR-789,DISP-08497,OMC-017,Mombasa (Kipevu),LUB,37057,24.4,803.8,2026-05-25 09:05:37
LOAD-004655,BAY-04,MTR-731,DISP-04655,OMC-012,Mombasa (Kipevu),DPK,24989,26.1,793.2,2026-02-16 17:41:37
LOAD-000915,BAY-09,MTR-758,DISP-00915,OMC-016,Eldoret,HFO,48088,23.8,778.2,2025-04-12 18:55:36
LOAD-000932,BAY-10,MTR-472,DISP-00932,OMC-013,Mombasa (Kipevu),HFO,57920,26.6,819.3,2025-05-17 19:17:39
LOAD-005899,BAY-04,MTR-515,DISP-05899,OMC-019,Nairobi,JETA1,46588,23.2,742.3,2025-06-01 06:36:31
LOAD-007230,BAY-11,MTR-540,DISP-07230,OMC-009,Mombasa (KOSF),DPK,20447,24.3,823.5,2026-02-02 20:21:41
LOAD-001604,BAY-07,MTR-843,DISP-01604,OMC-006,Kisumu,JETA1,28734,31.5,844.1,2026-03-19 22:46:14
LOAD-005153,BAY-10,MTR-928,DISP-05153,OMC-018,Kisumu,AGO,33625,24.5,766.3,04/09/2025
LOAD-002421,BAY-03,MTR-574,DISP-02421,OMC-005,Kisumu,LPG,52624,21.0,826.2,2026-03-04 03:02:55
LOAD-006851,BAY-08,MTR-622,DISP-06851,OMC-019,Kisumu,LUB,52179,27.9,806.0,2025-10-19 01:36:19
LOAD-007454,BAY-05,MTR-560,DISP-07454,OMC-015,Mombasa (KOSF),LPG,36634,26.4,757.9,2025-12-18 22:20:20
LOAD-009130,BAY-05,MTR-839,DISP-09130,OMC-010,Nairobi,AGO,46747,21.7,724.9,2025-08-25 12:50:33
LOAD-003504,BAY-11,MTR-233,,OMC-016,Mombasa (KOSF),JETA1,47608,21.3,788.1,2025-05-08 07:04:26
LOAD-009591,BAY-02,MTR-319,DISP-09591,OMC-004,Mombasa (KOSF),DPK,53680,28.5,839.7,2026-03-10 10:29:24
LOAD-003877,BAY-06,MTR-290,DISP-03877,OMC-008,Nairobi,LPG,35694,20.6,796.1,2025-03-18 01:27:37
LOAD-009600,BAY-05,MTR-198,DISP-09600,OMC-020,Eldoret,AGO,42690,29.2,795.7,2026-03-23 06:14:43
LOAD-002758,BAY-01,MTR-554,DISP-02758,OMC-016,Nairobi,LPG,31098,27.2,740.4,2026-05-31 11:51:56
LOAD-008060,BAY-08,MTR-596,DISP-08060,OMC-006,Mombasa (KOSF),PMS,58749,25.7,796.4,2026-05-11 23:18:58
LOAD-009726,BAY-01,MTR-811,DISP-09726,OMC-007,Nairobi,LUB,22500,28.8,738.8,2026-06-27 20:08:03
LOAD-002637,BAY-07,MTR-399,DISP-02637,OMC-012,Eldoret,LUB,36311,22.5,777.0,2026-02-08 19:05:48
