record_id,date,depot,product,opening_stock_liters,received_pipeline_liters,dispatched_liters,book_closing_stock_liters,physical_dip_closing_stock_liters,variance_liters
INV-BAL-155439,2026-01-16,Kisumu,LPG,1868667,0,100250,1768417,1768007,-410
INV-BAL-230141,2025-02-26,Mombasa (Kipevu),AGO,934410,0,0,934410,933472,-938
INV-BAL-353845,2025-08-11,Nairobi,HFO,1357462,743041,24071,2076432,2078411,1979
INV-BAL-088660,2025-04-10,Mombasa (KOSF),DPK,1118874,655791,0,1774665,1772117,-2548
INV-BAL-813268,2025-01-17,Nairobi,JETA1,1120293,0,0,1120293,1116863,-3430
INV-BAL-334026,2026-05-03,Nairobi,LPG,1744456,0,0,1744456,1745270,814
INV-BAL-181917,2025-05-13,Eldoret,AGO,692996,476548,0,1169544,1164746,-4798
INV-BAL-505195,2025-01-28,Eldoret,LUB,538849,0,0,538849,535375,-3474
INV-BAL-295663,2026-03-29,Eldoret,LPG,1432620,0,0,1432620,1430734,-1886
INV-BAL-690336,2025-10-20,Kisumu,LUB,947216,744107,0,1691323,1690074,-1249
INV-BAL-366205,2026-06-13,Eldoret,JETA1,523535,0,21182,502353,498994,-3359
INV-BAL-595767,2025-01-19,Mombasa (KOSF),PMS,550416,0,0,550416,546615,-3801
INV-BAL-772439,2025-09-15,Nairobi,JETA1,1866744,0,47376,1819368,1819235,-133
INV-BAL-762768,2026-03-14,Mombasa (KOSF),LPG,1985556,678846,0,2664402,2662033,-2369
INV-BAL-092239,2025-02-10,Nairobi,DPK,1897557,509143,59217,2347483,2346984,-499
INV-BAL-357044,2025-09-08,Nairobi,DPK,582003,0,0,582003,580287,-1716
INV-BAL-789239,2025-05-09,Eldoret,DPK,1028036,0,0,1028036,1025208,-2828
INV-BAL-560225,2026-02-09,Eldoret,AGO,1668173,0,129296,1538877,1534926,-3951
INV-BAL-548173,2025-01-31,Nairobi,LUB,1387513,0,55870,1331643,1333590,1947
INV-BAL-230365,2025-02-04,Mombasa (KOSF),JETA1,1500101,0,0,1500101,1497810,-2291
INV-BAL-862068,2025-10-04,Eldoret,DPK,1419944,0,0,1419944,1416780,-3164
INV-BAL-832693,2025-06-30,Eldoret,DPK,1126045,0,0,1126045,1121589,-4456
INV-BAL-707158,2025-06-18,Mombasa (Kipevu),PMS,1507740,0,33886,1473854,1468919,-4935
INV-BAL-452004,2026-06-29,Kisumu,HFO,1065689,0,0,1065689,1065936,247
INV-BAL-416578,2025-04-08,Eldoret,JETA1,1229609,655835,0,1885444,1886572,1128
INV-BAL-805001,2025-02-01,Kisumu,HFO,1420696,0,0,1420696,1418190,-2506
INV-BAL-044165,2025-01-15,Mombasa (KOSF),JETA1,1267027,202681,0,1469708,1468865,-843
INV-BAL-834266,2025-09-06,Mombasa (KOSF),JETA1,1614408,0,28499,1585909,1583232,-2677
INV-BAL-017499,2025-08-04,Mombasa (Kipevu),JETA1,720141,0,65974,654167,652157,-2010
INV-BAL-958576,2025-10-29,Nairobi,LUB,1270306,461584,0,1731890,1731113,-777
INV-BAL-753722,2025-07-08,Nairobi,DPK,1581928,0,0,1581928,1583086,1158
INV-BAL-953563,2025-12-23,Kisumu,LUB,1575277,681220,0,2256497,2257766,1269
INV-BAL-560953,2025-05-09,Nairobi,LPG,1657580,746940,0,2404520,2403465,-1055
INV-BAL-403123,2026-06-28,Eldoret,AGO,1249150,0,0,1249150,1244281,-4869
INV-BAL-461401,2025-04-11,Eldoret,HFO,1377754,0,0,1377754,1378195,441
INV-BAL-833474,2025-02-03,Mombasa (Kipevu),HFO,873707,0,58272,815435,816337,902
INV-BAL-774448,2025-05-11,Kisumu,JETA1,1927307,0,0,1927307,1922885,-4422
INV-BAL-948636,,Eldoret,HFO,615615,0,49053,566562,563188,-3374
INV-BAL-740510,2025-06-12,Nairobi,LPG,742797,0,0,742797,738799,-3998
INV-BAL-567809,2025-05-07,Mombasa (Kipevu),LPG,1977306,0,0,1977306,1974529,-2777
INV-BAL-425637,2025-02-15,Mombasa (Kipevu),PMS,1720288,644974,40099,2325163,2321335,-3828
INV-BAL-139007,2025-03-02,Eldoret,JETA1,1304386,461429,20487,1745328,1741646,-3682
INV-BAL-447148,2026-06-09,Eldoret,DPK,759049,0,0,759049,756079,-2970
INV-BAL-103231,2025-12-19,Kisumu,LPG,790915,0,42828,748087,747226,-861
INV-BAL-825084,2025-10-25,Mombasa (KOSF),DPK,1206266,775179,0,1981445,1981903,458
INV-BAL-875394,,Mombasa (KOSF),LUB,1490655,736165,0,2226820,2226554,-266
INV-BAL-752127,2025-09-30,Kisumu,LUB,676036,0,0,676036,673888,-2148
INV-BAL-423939,2025-02-13,Mombasa (KOSF),AGO,1166022,0,83678,1082344,1083424,1080
INV-BAL-314917,2025-05-12,Mombasa (KOSF),LPG,1465155,487840,0,1952995,1954506,1511
INV-BAL-197926,2025-06-01,Eldoret,PMS,1311061,0,0,1311061,1309827,-1234
INV-BAL-603584,2026-05-04,Kisumu,AGO,1176749,699486,47582,1828653,1829119,466
INV-BAL-233173,2025-06-08,Mombasa (Kipevu),JETA1,956624,0,48959,907665,905140,-2525
INV-BAL-102856,2026-05-23,Mombasa (Kipevu),DPK,1051164,0,0,1051164,1052518,1354
INV-BAL-692430,2026-06-27,Kisumu,HFO,1701123,612147,0,2313270,2309300,-3970
INV-BAL-113238,17/08/2025,Mombasa (KOSF),PMS,1795371,274360,0,2069731,2066164,-3567
INV-BAL-651604,2026-04-05,Mombasa (Kipevu),PMS,799187,0,97801,701386,697802,-3584
INV-BAL-062763,2025-06-02,Eldoret,AGO,1161796,0,109288,1052508,1050593,-1915
INV-BAL-052160,2025-04-04,Mombasa (KOSF),JETA1,975030,0,0,975030,971151,-3879
INV-BAL-538097,2026-01-05,Mombasa (Kipevu),AGO,1328527,0,0,1328527,1326320,-2207
INV-BAL-510121,2025-01-05,Nairobi,JETA1,829186,638311,0,1467497,1467093,-404
INV-BAL-882291,2025-10-10,Nairobi,AGO,1863313,0,34182,1829131,1827243,-1888
INV-BAL-971519,2025-05-25,Mombasa (Kipevu),HFO,1214531,0,34194,1180337,1180175,-162
INV-BAL-180557,2025-08-07,Mombasa (Kipevu),PMS,1860321,603116,51038,2412399,2407957,-4442
INV-BAL-137418,2025-12-27,Mombasa (Kipevu),LPG,1932133,0,45809,1886324,1883279,-3045
INV-BAL-266866,2026-02-23,Nairobi,LPG,1875181,0,0,1875181,1872147,-3034
INV-BAL-354534,2025-04-05,Mombasa (KOSF),LUB,1574268,0,0,1574268,1575186,918
INV-BAL-550285,2025-01-27,Mombasa (Kipevu),JETA1,1260826,0,0,1260826,1261060,234
INV-BAL-324333,13/12/2025,Kisumu,JETA1,868199,0,56159,812040,810608,-1432
INV-BAL-088733,01/04/2025,Nairobi,HFO,512677,0,0,512677,509658,-3019
INV-BAL-362049,2025-08-20,Eldoret,PMS,1230079,527628,24000,1733707,1732054,-1653
INV-BAL-520405,21/07/2025,Eldoret,LPG,910458,0,0,910458,909923,-535
INV-BAL-810087,2025-05-22,Mombasa (KOSF),LPG,1146891,0,42827,1104064,1105089,1025
INV-BAL-966794,2026-06-02,Nairobi,LUB,1342918,0,0,1342918,1340531,-2387
INV-BAL-618893,2025-01-31,Nairobi,AGO,801095,0,43988,757107,753021,-4086
INV-BAL-141682,2025-09-02,Nairobi,HFO,665120,0,30137,634983,631056,-3927
INV-BAL-187832,2025-01-02,Kisumu,AGO,527606,717556,0,1245162,1243216,-1946
INV-BAL-486515,2025-10-31,Kisumu,AGO,1791192,0,0,1791192,1787161,-4031
INV-BAL-801376,2025-09-25,Eldoret,JETA1,1764386,0,45915,1718471,1717510,-961
INV-BAL-049256,2025-08-26,Eldoret,JETA1,1842099,0,0,1842099,1843994,1895
INV-BAL-706130,2026-04-05,Kisumu,HFO,1330009,0,0,1330009,1331996,1987
INV-BAL-708831,18/06/2025,Mombasa (Kipevu),DPK,1404165,0,26883,1377282,1377874,592
INV-BAL-094126,2025-01-19,Nairobi,JETA1,548205,0,45668,502537,502080,-457
INV-BAL-321557,2026-05-11,Kisumu,LPG,1733180,0,0,1733180,1733827,647
INV-BAL-651708,2025-10-29,Eldoret,DPK,1061394,0,21442,1039952,1041876,1924
INV-BAL-272075,2025-06-02,Mombasa (KOSF),AGO,1511448,0,0,1511448,1506547,-4901
INV-BAL-424587,2025-02-27,Eldoret,DPK,953364,210660,0,1164024,1160135,-3889
INV-BAL-443676,2025-02-19,Mombasa (KOSF),HFO,1585280,472479,0,2057759,2057472,-287
INV-BAL-631035,2026-04-07,Kisumu,AGO,1133813,0,20523,1113290,1108898,-4392
INV-BAL-138287,2025-06-25,Mombasa (KOSF),JETA1,635952,0,0,635952,634331,-1621
INV-BAL-529245,2026-03-30,Kisumu,AGO,999139,621780,25806,1595113,1591401,-3712
INV-BAL-919275,2025-08-30,Mombasa (KOSF),LPG,1545476,550500,0,2095976,2097060,1084
INV-BAL-604957,2025-07-25,Eldoret,PMS,538398,0,0,538398,536240,-2158
INV-BAL-658658,,Eldoret,LUB,1398056,0,58756,1339300,1339166,-134
INV-BAL-786998,2025-05-23,Eldoret,AGO,1727074,0,30028,1697046,1696396,-650
INV-BAL-582119,2025-01-04,Nairobi,AGO,1527712,510803,0,2038515,2034338,-4177
INV-BAL-841439,2025-03-08,Mombasa (KOSF),HFO,734214,753333,0,1487547,1488134,587
INV-BAL-622240,2025-10-10,Mombasa (Kipevu),PMS,1419372,0,37200,1382172,1378086,-4086
INV-BAL-419441,2025-09-04,Mombasa (Kipevu),AGO,1513396,0,0,1513396,1511292,-2104
INV-BAL-106610,2025-06-09,Nairobi,LUB,1560911,401109,20293,1941727,1940661,-1066
INV-BAL-836610,2025-06-19,Mombasa (Kipevu),LUB,938302,0,0,938302,937641,-661
INV-BAL-014295,2025-01-08,Mombasa (KOSF),AGO,1723380,0,0,1723380,1718483,-4897
INV-BAL-667495,23/09/2025,Eldoret,JETA1,1854876,720576,0,2575452,2577399,1947
INV-BAL-499808,2025-05-05,Eldoret,PMS,1430291,0,34840,1395451,1395005,-446
INV-BAL-000111,2026-01-26,Mombasa (KOSF),LUB,818404,0,103656,714748,713988,-760
INV-BAL-663853,2025-07-18,Kisumu,LPG,907143,0,0,907143,905705,-1438
INV-BAL-964643,2025-06-28,Mombasa (Kipevu),LUB,1227607,0,0,1227607,1229405,1798
INV-BAL-679459,2025-05-10,Mombasa (Kipevu),AGO,883807,0,45308,838499,837346,-1153
INV-BAL-410823,2026-01-10,Kisumu,HFO,1818437,0,0,1818437,1820153,1716
INV-BAL-861174,2026-06-19,Mombasa (Kipevu),AGO,888505,0,0,888505,886015,-2490
INV-BAL-829063,2026-05-10,Eldoret,HFO,1919341,0,0,1919341,1919281,-60
INV-BAL-163461,2025-07-01,Mombasa (Kipevu),HFO,1201613,0,23561,1178052,1174786,-3266
INV-BAL-125225,2026-06-20,Nairobi,JETA1,846743,0,0,846743,848574,1831
INV-BAL-249450,2025-03-27,Kisumu,HFO,1983856,0,23396,1960460,1956076,-4384
INV-BAL-398363,2026-01-14,Mombasa (Kipevu),AGO,1824172,0,42040,1782132,1778174,-3958
INV-BAL-164118,2025-10-23,Kisumu,LPG,1231641,670333,0,1901974,1903827,1853
INV-BAL-058944,2025-08-12,Mombasa (KOSF),LUB,1176406,0,37989,1138417,1139036,619
INV-BAL-423015,2026-01-31,Kisumu,LPG,1186039,0,0,1186039,1185955,-84
INV-BAL-298324,2026-06-12,Nairobi,HFO,1401734,0,0,1401734,1397590,-4144
INV-BAL-166666,2025-07-28,Mombasa (KOSF),LPG,1514123,529850,0,2043973,2045499,1526
INV-BAL-381919,2026-02-01,Kisumu,LPG,901339,0,61808,839531,834634,-4897
INV-BAL-922803,2025-03-21,Mombasa (Kipevu),JETA1,1465713,0,0,1465713,1466238,525
INV-BAL-727738,2025-03-16,Kisumu,LPG,1993761,615344,0,2609105,2608279,-826
INV-BAL-584090,2025-12-22,Kisumu,LUB,1312870,0,46763,1266107,1263224,-2883
INV-BAL-934874,2025-10-18,Eldoret,LPG,903642,593986,0,1497628,1492654,-4974
INV-BAL-947830,2026-02-04,Eldoret,AGO,1887297,209874,57170,2040001,2036974,-3027
INV-BAL-311648,2026-05-06,Mombasa (Kipevu),LPG,884419,0,0,884419,884822,403
INV-BAL-237786,2025-04-01,Mombasa (KOSF),PMS,516308,558654,0,1074962,1076687,1725
INV-BAL-123218,2025-07-30,Mombasa (Kipevu),LPG,1436466,0,0,1436466,1434586,-1880
INV-BAL-850715,2025-05-17,Mombasa (Kipevu),HFO,1191051,0,57920,1133131,1133866,735
INV-BAL-917857,2025-08-13,Eldoret,JETA1,844747,648004,0,1492751,1492457,-294
INV-BAL-288960,2026-02-06,Eldoret,LPG,669927,0,0,669927,671832,1905
INV-BAL-969168,2026-01-13,Mombasa (Kipevu),LPG,1435174,0,0,1435174,1430935,-4239
INV-BAL-570239,2025-08-02,Nairobi,LUB,1217255,534402,43326,1708331,1704868,-3463
INV-BAL-472605,2025-06-23,Kisumu,DPK,1922964,0,0,1922964,1923324,360
INV-BAL-077777,2026-04-16,Mombasa (Kipevu),AGO,1438447,0,79306,1359141,1358319,-822
INV-BAL-063447,2025-08-21,Mombasa (Kipevu),PMS,1177114,0,0,1177114,1178356,1242
INV-BAL-816996,2025-11-15,Eldoret,PMS,1585191,0,0,1585191,1586316,1125
INV-BAL-490458,2025-03-27,Mombasa (Kipevu),DPK,1651591,0,28547,1623044,1623457,413
INV-BAL-278890,2026-05-19,Eldoret,HFO,1615287,581094,0,2196381,2198329,1948
INV-BAL-508417,2025-11-19,Nairobi,JETA1,1130157,0,0,1130157,1126292,-3865
INV-BAL-560194,2026-01-04,Kisumu,JETA1,1111354,439437,40027,1510764,1508442,-2322
INV-BAL-071888,2025-08-07,Kisumu,DPK,1358383,511412,0,1869795,1867941,-1854
INV-BAL-868655,2025-09-03,Nairobi,LPG,1175203,0,0,1175203,1175161,-42
INV-BAL-944962,2026-06-28,Eldoret,LPG,1936085,0,0,1936085,1935013,-1072
INV-BAL-581023,2025-07-16,Kisumu,DPK,916343,0,0,916343,913762,-2581
INV-BAL-631903,2025-07-13,Mombasa (Kipevu),JETA1,550929,312613,0,863542,863976,434
INV-BAL-808152,2025-11-14,Nairobi,PMS,861544,0,0,861544,860216,-1328
INV-BAL-679878,2025-10-30,Mombasa (KOSF),JETA1,1453934,0,36479,1417455,1414408,-3047
INV-BAL-921366,2025-10-09,Kisumu,AGO,1451222,0,106079,1345143,1343250,-1893
INV-BAL-388214,2025-02-20,Kisumu,HFO,1483476,0,0,1483476,1479751,-3725
INV-BAL-548310,2025-07-20,Eldoret,DPK,1954236,0,0,1954236,1950349,-3887
INV-BAL-165921,2025-08-15,Mombasa (KOSF),LPG,1588600,0,0,1588600,1586800,-1800
INV-BAL-168073,2025-11-07,Mombasa (Kipevu),DPK,592159,0,0,592159,591264,-895
INV-BAL-368158,2025-02-22,Mombasa (Kipevu),JETA1,1006459,412360,0,1418819,1419139,320
INV-BAL-111767,2025-08-03,Eldoret,LPG,1939534,463144,25024,2377654,2376319,-1335
INV-BAL-001270,,Mombasa (Kipevu),JETA1,647780,384305,21847,1010238,1009412,-826
INV-BAL-139958,2025-01-17,Mombasa (KOSF),JETA1,1483526,0,0,1483526,1479821,-3705
INV-BAL-998086,2026-01-16,Mombasa (KOSF),AGO,1592790,0,0,1592790,1590762,-2028
INV-BAL-426630,2025-08-06,Eldoret,LUB,513435,0,34964,478471,475247,-3224
INV-BAL-611068,2026-05-27,Mombasa (Kipevu),PMS,1609311,0,0,1609311,1607575,-1736
INV-BAL-541771,2026-05-05,Mombasa (Kipevu),JETA1,1521924,0,0,1521924,1517306,-4618
INV-BAL-220195,2025-05-17,Mombasa (KOSF),PMS,817210,0,0,817210,816971,-239
INV-BAL-357170,2025-06-28,Mombasa (KOSF),AGO,523567,0,0,523567,523927,360
INV-BAL-816650,2026-04-09,Eldoret,HFO,1324778,0,82710,1242068,1239115,-2953
INV-BAL-175763,2026-06-18,Kisumu,HFO,968250,0,80276,887974,886948,-1026
INV-BAL-894907,2026-05-05,Mombasa (Kipevu),PMS,1278736,0,0,1278736,1274463,-4273
INV-BAL-637053,2025-08-31,Kisumu,HFO,1894836,0,0,1894836,1890142,-4694
INV-BAL-219436,2025-07-25,Kisumu,LPG,969909,0,0,969909,970653,744
INV-BAL-667320,2025-02-18,Eldoret,LUB,1132899,414494,38351,1509042,1510255,1213
INV-BAL-059498,2025-06-07,Kisumu,JETA1,881682,0,0,881682,880653,-1029
INV-BAL-178164,2026-02-08,Mombasa (KOSF),PMS,775145,0,0,775145,771120,-4025
INV-BAL-034597,2025-01-05,Nairobi,LPG,773800,0,43225,730575,732183,1608
INV-BAL-075206,2025-01-02,Mombasa (Kipevu),HFO,1122429,0,0,1122429,1121333,-1096
INV-BAL-211578,2025-09-25,Nairobi,AGO,871758,0,41615,830143,827109,-3034
INV-BAL-695556,2026-06-24,Mombasa (Kipevu),AGO,1727106,0,112921,1614185,1613441,-744
INV-BAL-492077,2025-12-14,Eldoret,AGO,1391578,0,0,1391578,1389764,-1814
INV-BAL-562587,2025-08-24,Mombasa (KOSF),PMS,784932,0,0,784932,785042,110
INV-BAL-248766,2026-06-03,Mombasa (Kipevu),PMS,769017,0,76745,692272,691267,-1005
INV-BAL-731615,2025-01-15,Nairobi,AGO,1234218,0,19852,1214366,1213254,-1112
INV-BAL-038297,2025-05-08,Mombasa (KOSF),AGO,854239,0,50337,803902,800669,-3233
INV-BAL-559494,2026-05-26,Kisumu,LUB,1104875,627304,0,1732179,1727835,-4344
INV-BAL-597049,2026-01-14,Mombasa (KOSF),LUB,1531654,0,66513,1465141,1464807,-334
INV-BAL-622885,2026-04-17,Nairobi,DPK,1586258,0,0,1586258,1585295,-963
INV-BAL-731841,2025-11-24,Mombasa (KOSF),AGO,863655,441650,0,1305305,1304481,-824
INV-BAL-826321,26/02/2026,Eldoret,LPG,1077733,674598,0,1752331,1752212,-119
INV-BAL-118624,2026-03-02,Eldoret,DPK,1840593,0,0,1840593,1836992,-3601
INV-BAL-000747,2025-07-10,Eldoret,HFO,1051847,0,0,1051847,1047450,-4397
INV-BAL-494784,,Nairobi,DPK,1497123,0,0,1497123,1492966,-4157
INV-BAL-968198,2026-02-13,Nairobi,JETA1,1914853,0,45976,1868877,1869620,743
INV-BAL-422659,2025-06-05,Mombasa (Kipevu),JETA1,926848,0,0,926848,922241,-4607
INV-BAL-315610,2025-10-27,Mombasa (KOSF),LPG,920613,0,64128,856485,857803,1318
INV-BAL-595392,2025-01-07,Mombasa (KOSF),AGO,1736984,416402,0,2153386,2150961,-2425
INV-BAL-683660,2026-03-25,Mombasa (Kipevu),DPK,1092216,0,40854,1051362,1047067,-4295
INV-BAL-980914,2025-01-30,Eldoret,JETA1,1702685,0,29865,1672820,1669141,-3679
INV-BAL-902079,2025-04-06,Eldoret,AGO,1693079,468581,0,2161660,2159370,-2290
INV-BAL-323627,2025-02-06,Mombasa (Kipevu),DPK,1463467,0,0,1463467,1460327,-3140
INV-BAL-745874,2026-01-02,Eldoret,HFO,1412311,0,0,1412311,1411500,-811
INV-BAL-841236,2026-01-21,Mombasa (KOSF),PMS,678055,0,0,678055,679920,1865
INV-BAL-457072,2026-06-04,Eldoret,LUB,1918620,0,0,1918620,1915966,-2654
INV-BAL-133215,2025-06-07,Nairobi,HFO,820922,694508,0,1515430,1512319,-3111
INV-BAL-933656,2025-10-21,Mombasa (KOSF),HFO,851709,0,0,851709,847026,-4683
INV-BAL-001036,2025-05-11,Eldoret,LPG,1196480,484608,0,1681088,1681436,348
INV-BAL-588821,2025-03-31,Eldoret,HFO,1944934,0,0,1944934,1940177,-4757
INV-BAL-389640,2026-05-25,Eldoret,LPG,1582640,0,0,1582640,1582815,175
INV-BAL-498326,2026-06-30,Kisumu,HFO,1039253,429055,0,1468308,1468841,533
INV-BAL-622140,2026-02-24,Mombasa (Kipevu),PMS,1674085,361797,56367,1979515,1975953,-3562
INV-BAL-676279,2025-12-24,Mombasa (KOSF),LPG,1320535,334092,0,1654627,1655500,873
INV-BAL-028603,2025-10-17,Kisumu,HFO,801544,619616,0,1421160,1421256,96
INV-BAL-852189,2025-06-13,Eldoret,DPK,813074,506681,0,1319755,1315041,-4714
INV-BAL-441874,2025-02-27,Mombasa (Kipevu),PMS,1267126,0,0,1267126,1262721,-4405
INV-BAL-214830,2025-05-07,Kisumu,DPK,994189,0,0,994189,993321,-868
INV-BAL-442386,2026-05-18,Nairobi,DPK,1638938,0,0,1638938,1635465,-3473
INV-BAL-986983,2026-04-17,Mombasa (KOSF),LUB,1299494,0,70228,1229266,1225550,-3716
INV-BAL-023106,26/06/2025,Mombasa (Kipevu),AGO,1413030,577667,119397,1871300,1868496,-2804
INV-BAL-818162,2025-04-09,Eldoret,HFO,1632435,0,49060,1583375,1580596,-2779
INV-BAL-351705,2025-06-27,Mombasa (KOSF),HFO,1682227,0,0,1682227,1680416,-1811
INV-BAL-383362,2025-12-16,Nairobi,LUB,1725869,0,35063,1690806,1686354,-4452
INV-BAL-740007,2026-01-17,Mombasa (KOSF),HFO,1363001,0,0,1363001,1358082,-4919
INV-BAL-901367,2025-08-19,Nairobi,LPG,1615408,0,0,1615408,1613056,-2352
INV-BAL-189954,2025-07-01,Mombasa (KOSF),DPK,1436802,0,0,1436802,1432485,-4317
INV-BAL-624528,2026-03-16,Eldoret,AGO,1578520,0,46392,1532128,1527437,-4691
INV-BAL-240345,2026-01-26,Mombasa (Kipevu),JETA1,1955349,297527,0,2252876,2249672,-3204
INV-BAL-658143,2025-01-11,Kisumu,JETA1,1372871,540716,26716,1886871,1884079,-2792
INV-BAL-659831,20/11/2025,Kisumu,HFO,765596,0,0,765596,763730,-1866
INV-BAL-972808,2025-11-28,Eldoret,LPG,789018,0,0,789018,785858,-3160
INV-BAL-132472,2025-03-27,Mombasa (KOSF),PMS,532593,0,0,532593,529420,-3173
INV-BAL-442261,2026-03-08,Kisumu,HFO,1324914,0,0,1324914,1324070,-844
INV-BAL-997235,2026-04-07,Eldoret,HFO,1677251,0,0,1677251,1675363,-1888
INV-BAL-753489,2025-09-19,Eldoret,JETA1,1815575,240128,0,2055703,2053802,-1901
INV-BAL-964181,2026-03-01,Nairobi,LPG,1704608,0,42995,1661613,1658557,-3056
INV-BAL-082345,2025-11-04,Mombasa (KOSF),AGO,1401054,0,0,1401054,1396556,-4498
INV-BAL-381829,2026-06-26,Eldoret,PMS,1930475,0,38205,1892270,1891280,-990
INV-BAL-904191,,Kisumu,PMS,1049840,642503,0,1692343,1689933,-2410
INV-BAL-736955,2025-09-21,Nairobi,HFO,1507842,0,0,1507842,1507873,31
