attendance_id,beneficiary_id,officer_id,pillar_id,period,attendance_date,verified_at,eligible_amount_kes,status
ATT-000235,BEN-0019,OFF-001,Plus,2026-01,2026-01-09,2026-01-11 00:00:00,8000,Verified
ATT-001583,BEN-0130,OFF-002,Vocational,2025-09,2025-09-20,2025-09-20 00:00:00,10000,Verified
ATT-001717,BEN-0143,OFF-012,Scholarship,2025-06,2025-06-18,2025-06-18 00:00:00,15000,Verified
ATT-001459,BEN-0120,OFF-015,Plus,2026-03,2026-03-02,2026-03-03 00:00:00,8000,Verified
ATT-000754,BEN-0062,OFF-014,Tech,2025-08,2025-08-19,2025-08-20 00:00:00,12000,Verified
ATT-001234,BEN-0102,OFF-013,Plus,2026-02,2026-02-22,2026-02-23 00:00:00,8000,Verified
ATT-002187,BEN-0183,OFF-014,Scholarship,2025-09,2025-09-08,2025-09-08 00:00:00,15000,Verified
ATT-000604,BEN-0048,OFF-006,Tech,2025-08,2025-08-10,2025-08-12 00:00:00,12000,Verified
ATT-000857,BEN-0071,OFF-005,Plus,2026-04,2026-04-05,2026-04-05 00:00:00,8000,Verified
ATT-000860,BEN-0071,OFF-005,Plus,2025-12,2025-12-17,2025-12-17 00:00:00,8000,Verified
ATT-000237,BEN-0020,OFF-002,Plus,2025-04,2025-04-13,2025-04-14 00:00:00,8000,Verified
ATT-000615,BEN-0049,OFF-008,Scholarship,2025-09,2025-09-02,2025-09-04 00:00:00,15000,Verified
ATT-001633,BEN-0135,OFF-007,Vocational,2026-06,2026-06-12,2026-06-13 00:00:00,10000,Verified
ATT-000213,BEN-0018,OFF-008,Tech,2026-01,2026-01-06,2026-01-07 00:00:00,12000,Verified
ATT-001846,BEN-0154,OFF-005,Plus,2025-07,21/07/2025,2025-07-21 00:00:00,8000,Verified
ATT-002275,BEN-0191,OFF-012,Vocational,2025-08,2025-08-10,2025-08-12 00:00:00,10000,Verified
ATT-000671,BEN-0054,OFF-003,Vocational,2026-03,2026-03-14,2026-03-14 00:00:00,10000,Verified
ATT-001798,BEN-0150,OFF-010,Vocational,2026-01,2026-01-06,2026-01-06 00:00:00,10000,Verified
ATT-000640,BEN-0052,OFF-006,Vocational,2025-07,2025-07-21,2025-07-22 00:00:00,10000,Verified
ATT-001565,BEN-0129,OFF-003,Tech,2025-05,2025-05-22,2025-05-22 00:00:00,12000,Verified
ATT-001259,BEN-0103,OFF-009,Plus,2025-12,24/12/2025,2025-12-25 00:00:00,8000,Verified
ATT-001769,BEN-0148,OFF-012,Plus,2026-01,2026-01-10,2026-01-11 00:00:00,8000,Verified
ATT-002394,BEN-0199,OFF-012,Tech,2025-10,2025-10-10,2025-10-12 00:00:00,12000,Verified
ATT-001655,BEN-0137,OFF-002,Vocational,2026-01,2026-01-08,2026-01-09 00:00:00,10000,Verified
ATT-002372,BEN-0198,OFF-011,Vocational,2025-09,2025-09-14,2025-09-16 00:00:00,10000,Verified
ATT-001527,BEN-0126,OFF-013,Vocational,2025-04,2025-04-22,2025-04-22 00:00:00,10000,Verified
ATT-000875,BEN-0073,OFF-015,Scholarship,2025-01,2025-01-20,2025-01-21 00:00:00,15000,Verified
ATT-000184,BEN-0015,OFF-012,Vocational,2025-10,2025-10-02,2025-10-02 00:00:00,10000,Verified
ATT-000751,BEN-0062,OFF-014,Tech,2026-02,,2026-02-23 00:00:00,12000,Verified
ATT-001267,BEN-0104,OFF-007,Plus,2025-09,2025-09-08,2025-09-09 00:00:00,8000,Verified
ATT-001707,BEN-0142,OFF-007,Tech,2026-02,2026-02-02,2026-02-03 00:00:00,12000,Verified
ATT-000317,BEN-0025,OFF-009,Plus,2025-02,2025-02-13,2025-02-14 00:00:00,8000,Verified
ATT-001111,BEN-0091,OFF-003,Tech,2026-06,2026-06-06,2026-06-08 00:00:00,12000,Verified
ATT-001558,BEN-0128,OFF-003,Tech,2025-10,2025-10-21,2025-10-23 00:00:00,12000,Verified
ATT-001196,BEN-0099,OFF-004,Scholarship,2025-12,2025-12-17,2025-12-17 00:00:00,15000,Verified
ATT-000427,BEN-0034,OFF-009,Tech,2025-11,2025-11-23,2025-11-25 00:00:00,12000,Verified
ATT-000683,BEN-0056,OFF-005,Plus,2025-11,2025-11-13,2025-11-13 00:00:00,8000,Verified
ATT-001000,BEN-0082,OFF-014,Vocational,2025-03,2025-03-27,2025-03-28 00:00:00,10000,Verified
ATT-000404,BEN-0032,OFF-005,Vocational,2026-03,13/03/2026,2026-03-15 00:00:00,10000,Verified
ATT-000835,BEN-0070,OFF-008,Scholarship,2026-02,2026-02-19,2026-02-19 00:00:00,15000,Verified
ATT-000697,BEN-0057,OFF-012,Tech,2025-01,2025-01-16,2025-01-18 00:00:00,12000,Verified
ATT-000928,BEN-0077,OFF-003,Scholarship,2026-01,2026-01-09,2026-01-10 00:00:00,15000,Verified
ATT-001755,BEN-0146,OFF-015,Scholarship,2026-05,2026-05-07,2026-05-08 00:00:00,15000,Verified
ATT-002020,BEN-0170,OFF-006,Plus,2025-08,2025-08-10,2025-08-10 00:00:00,8000,Verified
ATT-000861,BEN-0071,OFF-005,Plus,2025-01,2025-01-10,2025-01-11 00:00:00,8000,Verified
ATT-001296,BEN-0106,OFF-007,Scholarship,2025-07,2025-07-22,2025-07-24 00:00:00,15000,Verified
ATT-000882,BEN-0073,OFF-015,Scholarship,2025-04,2025-04-02,2025-04-03 00:00:00,15000,Verified
ATT-002320,BEN-0194,OFF-012,Plus,2025-06,2025-06-16,2025-06-16 00:00:00,8000,Verified
ATT-001162,BEN-0096,OFF-005,Plus,2026-05,2026-05-01,2026-05-02 00:00:00,8000,Verified
ATT-001650,BEN-0136,OFF-008,Vocational,2026-02,2026-02-23,2026-02-24 00:00:00,10000,Verified
ATT-001193,BEN-0098,OFF-015,Vocational,2026-03,2026-03-17,2026-03-17 00:00:00,10000,Verified
ATT-001961,BEN-0165,OFF-008,Tech,2025-11,2025-11-10,2025-11-10 00:00:00,12000,Verified
ATT-000734,BEN-0061,OFF-008,Scholarship,2025-07,2025-07-26,2025-07-26 00:00:00,15000,Verified
ATT-000562,BEN-0045,OFF-014,Scholarship,2025-06,2025-06-24,2025-06-24 00:00:00,15000,Verified
ATT-000953,BEN-0079,OFF-002,Plus,2025-06,2025-06-17,2025-06-18 00:00:00,8000,Verified
ATT-000898,BEN-0074,OFF-010,Scholarship,2025-09,2025-09-28,2025-09-28 00:00:00,15000,Verified
ATT-000990,BEN-0082,OFF-014,Vocational,2025-08,2025-08-14,2025-08-14 00:00:00,10000,Verified
ATT-000029,BEN-0003,OFF-005,Tech,2025-06,2025-06-09,2025-06-10 00:00:00,12000,Verified
ATT-001236,BEN-0102,OFF-013,Plus,2025-04,2025-04-28,2025-04-28 00:00:00,8000,Verified
ATT-000558,BEN-0044,OFF-012,Scholarship,2026-04,2026-04-17,2026-04-18 00:00:00,15000,Verified
ATT-001330,BEN-0109,OFF-006,Tech,2025-10,2025-10-13,2025-10-15 00:00:00,12000,Verified
ATT-002083,BEN-0175,OFF-002,Vocational,2025-12,2025-12-02,2025-12-03 00:00:00,10000,Verified
ATT-001249,BEN-0103,OFF-009,Plus,2025-01,2025-01-13,2025-01-15 00:00:00,8000,Verified
ATT-002004,BEN-0168,OFF-013,Scholarship,2025-12,2025-12-28,2025-12-30 00:00:00,15000,Verified
ATT-000619,BEN-0049,OFF-008,Scholarship,2025-12,2025-12-12,2025-12-12 00:00:00,15000,Verified
ATT-001541,BEN-0127,OFF-012,Vocational,2026-03,2026-03-10,2026-03-11 00:00:00,10000,Verified
ATT-001682,BEN-0140,OFF-015,Plus,2026-06,2026-06-24,2026-06-25 00:00:00,8000,Verified
ATT-001178,BEN-0097,OFF-010,Scholarship,2026-03,2026-03-19,2026-03-19 00:00:00,15000,Verified
ATT-000505,BEN-0040,OFF-014,Scholarship,2025-10,2025-10-20,2025-10-21 00:00:00,15000,Verified
ATT-001644,BEN-0136,OFF-008,Vocational,2026-05,2026-05-04,2026-05-05 00:00:00,10000,Verified
ATT-002119,BEN-0178,OFF-005,Plus,2026-04,2026-04-12,2026-04-13 00:00:00,8000,Verified
ATT-000572,BEN-0045,OFF-014,Scholarship,2026-04,2026-04-12,2026-04-13 00:00:00,15000,Verified
ATT-001529,BEN-0126,OFF-013,Vocational,2026-05,2026-05-01,2026-05-03 00:00:00,10000,Verified
ATT-001658,BEN-0137,OFF-002,Vocational,2025-08,2025-08-04,2025-08-05 00:00:00,10000,Verified
ATT-002210,BEN-0186,OFF-011,Vocational,2026-02,2026-02-22,2026-02-22 00:00:00,10000,Verified
ATT-001925,BEN-0161,OFF-007,Scholarship,2025-11,2025-11-20,2025-11-22 00:00:00,15000,Verified
ATT-002194,BEN-0184,OFF-003,Tech,2025-03,2025-03-08,2025-03-09 00:00:00,12000,Verified
ATT-001063,BEN-0087,OFF-014,Plus,2025-05,2025-05-19,2025-05-19 00:00:00,8000,Verified
ATT-002387,BEN-0199,OFF-012,Tech,2025-01,2025-01-22,2025-01-24 00:00:00,12000,Verified
ATT-001754,BEN-0146,OFF-015,Scholarship,2026-04,2026-04-22,2026-04-23 00:00:00,15000,Verified
ATT-001033,BEN-0085,OFF-012,Scholarship,2025-10,2025-10-10,2025-10-12 00:00:00,15000,Verified
ATT-001603,BEN-0132,OFF-009,Scholarship,2025-05,2025-05-03,2025-05-05 00:00:00,15000,Verified
ATT-001802,BEN-0150,OFF-010,Vocational,2025-10,2025-10-12,2025-10-13 00:00:00,10000,Verified
ATT-000038,BEN-0004,OFF-001,Plus,2025-12,2025-12-16,2025-12-18 00:00:00,8000,Verified
ATT-001749,BEN-0145,OFF-001,Vocational,2026-04,2026-04-08,2026-04-08 00:00:00,10000,Verified
ATT-001805,BEN-0150,OFF-010,Vocational,2026-03,2026-03-14,2026-03-15 00:00:00,10000,Verified
ATT-001613,BEN-0133,OFF-007,Scholarship,2026-04,2026-04-09,2026-04-10 00:00:00,15000,Verified
ATT-001779,BEN-0149,OFF-005,Vocational,2025-12,2025-12-23,2025-12-24 00:00:00,10000,Verified
ATT-001723,BEN-0143,OFF-012,Scholarship,2026-06,2026-06-07,2026-06-09 00:00:00,15000,Verified
ATT-002113,BEN-0177,OFF-002,Scholarship,2025-07,2025-07-21,2025-07-22 00:00:00,15000,Verified
ATT-000700,BEN-0058,OFF-015,Plus,2025-10,2025-10-07,2025-10-07 00:00:00,8000,Verified
ATT-001501,BEN-0124,OFF-012,Scholarship,2025-01,2025-01-26,2025-01-28 00:00:00,15000,Verified
ATT-000391,BEN-0031,OFF-008,Vocational,2025-08,2025-08-04,2025-08-06 00:00:00,10000,Verified
ATT-001931,BEN-0162,OFF-011,Scholarship,2026-01,2026-01-26,2026-01-26 00:00:00,15000,Verified
ATT-002312,BEN-0193,OFF-010,Tech,2025-08,2025-08-13,2025-08-14 00:00:00,12000,Verified
ATT-002315,BEN-0194,OFF-012,Plus,2025-02,2025-02-12,2025-02-14 00:00:00,8000,Verified
ATT-001048,BEN-0086,OFF-004,Plus,2025-10,2025-10-24,2025-10-26 00:00:00,8000,Verified
ATT-002373,BEN-0198,OFF-011,Vocational,2025-11,2025-11-23,2025-11-24 00:00:00,10000,Verified
ATT-001916,BEN-0159,OFF-009,Plus,2026-03,2026-03-28,2026-03-29 00:00:00,8000,Verified
ATT-002381,BEN-0199,OFF-012,Tech,2026-05,2026-05-14,2026-05-15 00:00:00,12000,Verified
ATT-000399,BEN-0032,OFF-005,Vocational,2026-05,2026-05-12,2026-05-13 00:00:00,10000,Verified
ATT-000425,BEN-0034,OFF-009,Tech,2025-10,2025-10-05,2025-10-07 00:00:00,12000,Verified
ATT-000153,BEN-0012,OFF-007,Plus,2025-09,2025-09-09,2025-09-11 00:00:00,8000,Verified
ATT-000980,BEN-0080,OFF-013,Vocational,2025-02,2025-02-27,2025-02-28 00:00:00,10000,Verified
ATT-001472,BEN-0122,OFF-005,Vocational,2026-03,2026-03-22,2026-03-23 00:00:00,10000,Verified
ATT-001575,BEN-0130,OFF-002,Vocational,2025-04,2025-04-19,2025-04-19 00:00:00,10000,Verified
ATT-001107,BEN-0091,OFF-003,Tech,2025-03,2025-03-21,2025-03-23 00:00:00,12000,Verified
ATT-001277,BEN-0105,OFF-012,Scholarship,2025-06,2025-06-10,2025-06-10 00:00:00,15000,Verified
ATT-001821,BEN-0151,OFF-013,Vocational,2025-07,2025-07-22,2025-07-24 00:00:00,10000,Verified
ATT-002173,BEN-0182,OFF-004,Plus,2026-03,06/03/2026,2026-03-07 00:00:00,8000,Verified
ATT-000960,BEN-0079,OFF-002,Plus,2025-02,2025-02-08,2025-02-10 00:00:00,8000,Verified
ATT-000240,BEN-0020,OFF-002,Plus,2025-08,2025-08-06,2025-08-08 00:00:00,8000,Verified
ATT-000780,BEN-0065,OFF-002,Plus,2025-02,2025-02-11,2025-02-11 00:00:00,8000,Verified
ATT-000811,BEN-0068,OFF-006,Tech,2025-09,2025-09-12,2025-09-12 00:00:00,12000,Verified
ATT-001487,BEN-0123,OFF-012,Tech,2025-02,2025-02-09,2025-02-11 00:00:00,12000,Verified
ATT-001904,BEN-0158,OFF-014,Scholarship,2025-01,2025-01-16,2025-01-16 00:00:00,15000,Verified
ATT-000291,BEN-0024,OFF-014,Plus,2025-03,2025-03-10,2025-03-11 00:00:00,8000,Verified
ATT-001665,BEN-0137,OFF-002,Vocational,2025-11,2025-11-19,2025-11-19 00:00:00,10000,Verified
ATT-001678,BEN-0139,OFF-003,Vocational,2025-04,2025-04-10,2025-04-12 00:00:00,10000,Verified
ATT-000914,BEN-0076,OFF-015,Vocational,2025-07,14/07/2025,2025-07-15 00:00:00,10000,Verified
ATT-002063,BEN-0173,OFF-003,Tech,2025-09,2025-09-03,2025-09-03 00:00:00,12000,Verified
ATT-001405,BEN-0116,OFF-002,Plus,2025-09,2025-09-27,2025-09-28 00:00:00,8000,Verified
ATT-000612,BEN-0049,OFF-008,Scholarship,2025-07,2025-07-11,2025-07-12 00:00:00,15000,Verified
ATT-000978,BEN-0080,OFF-013,Vocational,2025-12,2025-12-20,2025-12-22 00:00:00,10000,Verified
ATT-000188,BEN-0016,OFF-008,Vocational,2026-01,2026-01-09,2026-01-11 00:00:00,10000,Verified
ATT-001735,BEN-0145,OFF-001,Vocational,2025-02,2025-02-25,2025-02-27 00:00:00,10000,Verified
ATT-002095,BEN-0175,OFF-002,Vocational,2025-04,2025-04-24,2025-04-25 00:00:00,10000,Verified
ATT-002308,BEN-0193,OFF-010,Tech,2025-11,2025-11-16,2025-11-16 00:00:00,12000,Verified
ATT-001546,BEN-0127,OFF-012,Vocational,2026-01,2026-01-20,2026-01-21 00:00:00,10000,Verified
ATT-000116,BEN-0009,OFF-005,Plus,2025-04,2025-04-23,2025-04-25 00:00:00,8000,Verified
ATT-000611,BEN-0049,OFF-008,Scholarship,2025-03,2025-03-10,2025-03-12 00:00:00,15000,Verified
ATT-000510,BEN-0041,OFF-007,Plus,2026-04,2026-04-04,2026-04-06 00:00:00,8000,Verified
ATT-001417,BEN-0117,OFF-005,Vocational,2026-05,2026-05-09,2026-05-10 00:00:00,10000,Verified
ATT-002014,BEN-0169,OFF-008,Vocational,2026-06,28/06/2026,2026-06-29 00:00:00,10000,Verified
ATT-000333,BEN-0027,OFF-004,Plus,2025-05,2025-05-10,2025-05-12 00:00:00,8000,Verified
ATT-001775,BEN-0148,OFF-012,Plus,2026-06,2026-06-02,2026-06-02 00:00:00,8000,Verified
ATT-000684,BEN-0056,OFF-005,Plus,2025-09,2025-09-07,2025-09-07 00:00:00,8000,Verified
ATT-001739,BEN-0145,OFF-001,Vocational,2026-03,21/03/2026,2026-03-21 00:00:00,10000,Verified
ATT-000402,BEN-0032,OFF-005,Vocational,2025-03,2025-03-03,2025-03-04 00:00:00,10000,Verified
ATT-000146,BEN-0012,OFF-007,Plus,2026-01,2026-01-23,2026-01-23 00:00:00,8000,Verified
ATT-001031,BEN-0084,OFF-008,Scholarship,2025-08,2025-08-02,2025-08-03 00:00:00,15000,Verified
ATT-000046,BEN-0004,OFF-001,Plus,2025-04,2025-04-25,2025-04-26 00:00:00,8000,Verified
ATT-001910,BEN-0159,OFF-009,Plus,2025-12,2025-12-28,2025-12-28 00:00:00,8000,Verified
ATT-000211,BEN-0018,OFF-008,Tech,2026-05,2026-05-13,2026-05-14 00:00:00,12000,Verified
ATT-000159,BEN-0013,OFF-006,Tech,2026-05,14/05/2026,2026-05-16 00:00:00,12000,Verified
ATT-001918,BEN-0160,OFF-014,Plus,2026-01,2026-01-11,2026-01-11 00:00:00,8000,Verified
ATT-000950,BEN-0079,OFF-002,Plus,2026-05,2026-05-27,2026-05-29 00:00:00,8000,Verified
ATT-001975,BEN-0166,OFF-001,Plus,2026-03,2026-03-18,2026-03-20 00:00:00,8000,Verified
ATT-000009,BEN-0001,OFF-008,Tech,2026-03,2026-03-02,2026-03-02 00:00:00,12000,Verified
ATT-000229,BEN-0019,OFF-001,Plus,2025-09,2025-09-22,2025-09-24 00:00:00,8000,Verified
ATT-001034,BEN-0085,OFF-012,Scholarship,2025-12,2025-12-14,2025-12-16 00:00:00,15000,Verified
ATT-000180,BEN-0015,OFF-012,Vocational,2025-08,2025-08-20,2025-08-20 00:00:00,10000,Verified
ATT-000773,BEN-0064,OFF-001,Tech,2025-07,2025-07-22,2025-07-23 00:00:00,12000,Verified
ATT-001576,BEN-0130,OFF-002,Vocational,2025-06,2025-06-03,2025-06-03 00:00:00,10000,Verified
ATT-001274,BEN-0105,OFF-012,Scholarship,2026-04,2026-04-07,2026-04-08 00:00:00,15000,Verified
ATT-002353,BEN-0196,OFF-004,Vocational,2026-06,,2026-06-22 00:00:00,10000,Verified
ATT-002129,BEN-0179,OFF-001,Tech,2026-06,15/06/2026,2026-06-15 00:00:00,12000,Verified
ATT-001659,BEN-0137,OFF-002,Vocational,2025-10,2025-10-08,2025-10-09 00:00:00,10000,Verified
ATT-000141,BEN-0011,OFF-001,Plus,2025-06,2025-06-09,2025-06-09 00:00:00,8000,Verified
ATT-002050,BEN-0172,OFF-012,Plus,2025-10,2025-10-12,2025-10-14 00:00:00,8000,Verified
ATT-000368,BEN-0030,OFF-011,Scholarship,2025-02,2025-02-24,2025-02-24 00:00:00,15000,Verified
ATT-000656,BEN-0053,OFF-001,Plus,2025-12,2025-12-15,2025-12-16 00:00:00,8000,Verified
ATT-001406,BEN-0116,OFF-002,Plus,2025-06,2025-06-02,2025-06-02 00:00:00,8000,Verified
ATT-001748,BEN-0145,OFF-001,Vocational,2025-07,2025-07-27,2025-07-29 00:00:00,10000,Verified
ATT-001023,BEN-0084,OFF-008,Scholarship,2026-06,2026-06-01,2026-06-01 00:00:00,15000,Verified
ATT-002137,BEN-0180,OFF-010,Scholarship,2025-04,11/04/2025,2025-04-13 00:00:00,15000,Verified
ATT-001444,BEN-0119,OFF-010,Scholarship,2026-01,2026-01-10,2026-01-10 00:00:00,15000,Verified
ATT-001688,BEN-0140,OFF-015,Plus,2026-03,2026-03-07,2026-03-09 00:00:00,8000,Verified
ATT-001608,BEN-0132,OFF-009,Scholarship,2025-02,2025-02-13,2025-02-13 00:00:00,15000,Verified
ATT-000936,BEN-0077,OFF-003,Scholarship,2025-09,2025-09-07,2025-09-08 00:00:00,15000,Verified
ATT-000971,BEN-0080,OFF-013,Vocational,2026-03,2026-03-04,2026-03-06 00:00:00,10000,Verified
ATT-000705,BEN-0058,OFF-015,Plus,2025-11,12/11/2025,2025-11-14 00:00:00,8000,Verified
ATT-000801,BEN-0067,OFF-015,Scholarship,2025-04,2025-04-04,2025-04-06 00:00:00,15000,Verified
ATT-000322,BEN-0026,OFF-007,Tech,2026-04,2026-04-14,2026-04-16 00:00:00,12000,Verified
ATT-001689,BEN-0140,OFF-015,Plus,2025-04,2025-04-26,2025-04-28 00:00:00,8000,Verified
ATT-001671,BEN-0138,OFF-009,Scholarship,2025-12,2025-12-05,2025-12-07 00:00:00,15000,Verified
ATT-000798,BEN-0067,OFF-015,Scholarship,2026-06,2026-06-28,2026-06-29 00:00:00,15000,Verified
ATT-001055,BEN-0086,OFF-004,Plus,2025-02,2025-02-20,2025-02-21 00:00:00,8000,Verified
ATT-001002,BEN-0082,OFF-014,Vocational,2026-05,2026-05-20,2026-05-22 00:00:00,10000,Verified
ATT-000099,BEN-0008,OFF-015,Plus,2026-06,2026-06-11,2026-06-11 00:00:00,8000,Verified
ATT-000553,BEN-0044,OFF-012,Scholarship,2025-04,2025-04-11,2025-04-11 00:00:00,15000,Verified
ATT-000359,BEN-0029,OFF-006,Vocational,2025-04,2025-04-10,2025-04-12 00:00:00,10000,Verified
ATT-001202,BEN-0099,OFF-004,Scholarship,2026-03,2026-03-10,2026-03-10 00:00:00,15000,Verified
ATT-001915,BEN-0159,OFF-009,Plus,2026-05,2026-05-25,2026-05-27 00:00:00,8000,Verified
ATT-002376,BEN-0198,OFF-011,Vocational,2025-06,,2025-06-18 00:00:00,10000,Verified
ATT-000940,BEN-0077,OFF-003,Scholarship,2025-06,2025-06-11,2025-06-12 00:00:00,15000,Verified
ATT-002012,BEN-0169,OFF-008,Vocational,2026-03,2026-03-19,2026-03-19 00:00:00,10000,Verified
ATT-000311,BEN-0025,OFF-009,Plus,2025-08,2025-08-10,2025-08-11 00:00:00,8000,Verified
ATT-001502,BEN-0124,OFF-012,Scholarship,2025-07,2025-07-14,2025-07-16 00:00:00,15000,Verified
ATT-002056,BEN-0173,OFF-003,Tech,2026-06,15/06/2026,2026-06-15 00:00:00,12000,Verified
ATT-000197,BEN-0016,OFF-008,Vocational,2025-03,2025-03-03,2025-03-03 00:00:00,10000,Verified
ATT-000549,BEN-0043,OFF-008,Scholarship,2025-05,2025-05-22,2025-05-22 00:00:00,15000,Verified
ATT-000526,BEN-0042,OFF-004,Vocational,2025-11,2025-11-28,2025-11-30 00:00:00,10000,Verified
ATT-000438,BEN-0035,OFF-008,Plus,2026-03,2026-03-17,2026-03-18 00:00:00,8000,Verified
ATT-000937,BEN-0077,OFF-003,Scholarship,2026-02,22/02/2026,2026-02-23 00:00:00,15000,Verified
ATT-001022,BEN-0084,OFF-008,Scholarship,2025-12,2025-12-14,2025-12-15 00:00:00,15000,Verified
