invoice_id,dispatch_id,omc_id,customer_name,product,date,value_kes
INV-26851,DISP-34139,OMC-011,Hass Petroleum,Kerosene (DPK),2026-01-24,26852
INV-27442,DISP-22058,OMC-004,Gulf Energy,Lubricants,2025-05-01,93384
INV-49275,DISP-28327,OMC-001,TotalEnergies Kenya,Diesel (AGO),2025-04-05,242445
INV-34549,DISP-26326,OMC-001,TotalEnergies Kenya,Diesel (AGO),2025-04-25,213089
INV-39042,DISP-12089,OMC-006,Hashi Energy,Lubricants,2025-02-20,237823
INV-68257,DISP-32243,OMC-003,Rubis Energy,Diesel (AGO),2025-04-16,150100
INV-78589,DISP-15942,OMC-009,Dalbit Petroleum,Petrol (PMS),,45429
INV-47879,DISP-30025,OMC-004,Gulf Energy,Lubricants,2025-03-18,128527
INV-51609,DISP-10714,OMC-015,Mombasa Petroleum,Petrol (PMS),2025-10-13,194559
INV-71271,DISP-06215,OMC-014,Texol Energies,Lubricants,2025-10-29,153340
INV-37675,DISP-23309,OMC-002,Vivo Energy,Jet A-1,2026-05-14,173862
INV-62252,DISP-21690,OMC-002,Vivo Energy,Heavy Fuel Oil,2026-06-30,63680
INV-80303,DISP-12272,OMC-011,Hass Petroleum,Kerosene (DPK),2026-04-20,22700
INV-43615,DISP-41890,OMC-001,TotalEnergies Kenya,Heavy Fuel Oil,2025-06-12,46405
INV-17204,DISP-47452,OMC-020,Ethiopian Oil,Heavy Fuel Oil,2026-04-29,108908
INV-50569,DISP-19980,OMC-008,National Oil,Jet A-1,2026-03-02,31743
INV-45062,DISP-28997,OMC-012,Galana Energies,LPG,2026-02-20,44787
INV-78381,DISP-38179,OMC-009,Dalbit Petroleum,Lubricants,2026-06-17,238379
INV-60551,DISP-03048,OMC-010,Tamoil,Kerosene (DPK),2025-02-11,100612
INV-66013,DISP-19908,OMC-018,Uganda National Oil,Petrol (PMS),2025-02-22,189009
INV-58815,DISP-48455,OMC-016,KPA Marine,LPG,2025-11-16,223493
INV-26594,DISP-09912,OMC-001,TotalEnergies Kenya,Lubricants,2026-04-03,138286
INV-56234,DISP-15175,OMC-016,KPA Marine,Jet A-1,2026-01-18,99919
INV-71636,DISP-19795,OMC-017,KAA Aviation,Heavy Fuel Oil,2026-01-10,51155
INV-20078,DISP-08375,OMC-003,Rubis Energy,Kerosene (DPK),2025-04-13,40290
INV-12119,DISP-45623,OMC-009,Dalbit Petroleum,Lubricants,2025-05-26,207902
INV-17650,DISP-48645,OMC-002,Vivo Energy,Kerosene (DPK),2025-04-10,227973
INV-35673,DISP-21952,OMC-001,TotalEnergies Kenya,Lubricants,2026-01-08,263463
INV-56672,DISP-15812,OMC-013,Lake Oil,Petrol (PMS),2026-04-30,50814
INV-73728,DISP-45431,OMC-007,Kobil,Diesel (AGO),2025-04-01," KES 106,276 "
INV-15454,DISP-03438,OMC-007,Kobil,LPG,2026-04-28,44420
INV-75363,DISP-31006,OMC-020,Ethiopian Oil,Lubricants,2026-02-08,41285
INV-74943,DISP-37395,OMC-008,National Oil,Lubricants,2025-03-26,54027
INV-29919,DISP-22518,OMC-002,Vivo Energy,Diesel (AGO),2026-01-03,29515
INV-12085,DISP-37041,OMC-005,PetroOil Kenya,Heavy Fuel Oil,2025-06-05,34154
INV-60159,DISP-44427,OMC-019,Tanzania Petroleum,Petrol (PMS),2025-06-16,130669
INV-11921,DISP-14757,OMC-011,Hass Petroleum,Diesel (AGO),2025-01-26,62120
INV-18868,DISP-40755,OMC-004,Gulf Energy,Petrol (PMS),2026-07-01," KES 182,152 "
INV-21991,DISP-02040,OMC-014,Texol Energies,Petrol (PMS),2025-06-27,44206
INV-17382,DISP-31833,OMC-004,Gulf Energy,Kerosene (DPK),2025-09-03,201901
INV-21288,DISP-24068,OMC-001,TotalEnergies Kenya,Heavy Fuel Oil,2025-10-21,43694
INV-77321,DISP-38260,OMC-001,TotalEnergies Kenya,Kerosene (DPK),2026-06-23,30236
INV-87813,DISP-40175,OMC-002,Vivo Energy,Jet A-1,2025-08-14,47458
INV-17546,DISP-05192,OMC-010,Tamoil,Jet A-1,2025-07-16,35185
INV-75326,DISP-05620,OMC-015,Mombasa Petroleum,LPG,2025-06-23,121691
INV-73556,DISP-07308,OMC-014,Texol Energies,Petrol (PMS),2025-11-03,26610
INV-79600,DISP-38006,OMC-010,Tamoil,Kerosene (DPK),2026-05-01," KES 114,360 "
INV-49800,DISP-19543,OMC-007,Kobil,LPG,,40775
INV-87496,DISP-19362,OMC-010,Tamoil,Kerosene (DPK),2026-01-07,124786
INV-80357,DISP-37197,OMC-016,KPA Marine,Petrol (PMS),2025-10-02,219288
INV-41049,DISP-15428,OMC-002,Vivo Energy,Jet A-1,2025-08-16,197396
INV-79761,DISP-23194,OMC-018,Uganda National Oil,Heavy Fuel Oil,2026-06-26,50691
INV-93259,DISP-09690,OMC-001,TotalEnergies Kenya,Petrol (PMS),2025-05-03,53928
INV-79272,DISP-43272,OMC-003,Rubis Energy,LPG,2026-03-26,62181
INV-45298,DISP-46183,OMC-005,PetroOil Kenya,Jet A-1,2025-10-31,188835
INV-70092,DISP-45885,OMC-012,Galana Energies,Petrol (PMS),2025-08-11,72173
INV-63294,DISP-42668,OMC-005,PetroOil Kenya,LPG,2026-03-03,37153
INV-18855,DISP-23925,OMC-018,Uganda National Oil,Kerosene (DPK),2026-05-08,158546
INV-33118,DISP-44620,OMC-013,Lake Oil,Petrol (PMS),2025-08-02,45810
INV-67685,DISP-28567,OMC-013,Lake Oil,Kerosene (DPK),2026-06-03,99655
INV-28419,DISP-49610,OMC-017,KAA Aviation,LPG,2026-03-30,205159
INV-75333,DISP-46992,OMC-009,Dalbit Petroleum,Jet A-1,03/04/2025,35894
INV-96815,DISP-39197,OMC-001,TotalEnergies Kenya,Petrol (PMS),2026-04-04,144662
INV-23416,DISP-49831,OMC-003,Rubis Energy,Jet A-1,2025-07-23,104621
INV-99392,DISP-28747,OMC-015,Mombasa Petroleum,Heavy Fuel Oil,2025-05-31,198483
INV-40605,DISP-06903,OMC-006,Hashi Energy,Jet A-1,2026-01-03,32503
INV-79852,DISP-14739,OMC-014,Texol Energies,Heavy Fuel Oil,2025-11-13," KES 143,714 "
INV-47908,DISP-25681,OMC-014,Texol Energies,Diesel (AGO),2025-12-14,39688
INV-57363,DISP-39722,OMC-017,KAA Aviation,Diesel (AGO),2025-04-30,140555
INV-86997,DISP-03733,OMC-015,Mombasa Petroleum,Heavy Fuel Oil,2025-02-09,83452
INV-31280,DISP-33609,OMC-017,KAA Aviation,Heavy Fuel Oil,2025-05-09,138925
INV-12708,DISP-45746,OMC-008,National Oil,Heavy Fuel Oil,2025-12-30,134346
INV-72230,DISP-27255,OMC-012,Galana Energies,Kerosene (DPK),2025-07-31,123639
INV-13112,DISP-48848,OMC-005,PetroOil Kenya,Kerosene (DPK),2025-03-28,55778
INV-21487,DISP-36272,OMC-011,Hass Petroleum,LPG,2025-09-18,29437
INV-70247,DISP-20032,OMC-010,Tamoil,LPG,2026-04-14,80582
INV-50964,DISP-25173,OMC-002,Vivo Energy,Lubricants,2025-02-25,36378
INV-87506,DISP-38698,OMC-011,Hass Petroleum,Jet A-1,2025-03-10,156880
INV-93663,DISP-17174,OMC-016,KPA Marine,LPG,2026-06-26,47822
INV-34116,DISP-18563,OMC-020,Ethiopian Oil,LPG,2025-08-25,40505
INV-94354,DISP-05095,OMC-019,Tanzania Petroleum,Kerosene (DPK),2025-08-21,54738
INV-24369,DISP-24375,OMC-007,Kobil,Kerosene (DPK),2026-03-06,23648
INV-52439,DISP-44378,OMC-010,Tamoil,Heavy Fuel Oil,2025-10-13,157345
INV-20315,DISP-35175,OMC-009,Dalbit Petroleum,Kerosene (DPK),2026-03-29,189857
INV-26395,DISP-08254,OMC-003,Rubis Energy,Diesel (AGO),2025-06-01,52034
INV-85289,DISP-11746,OMC-003,Rubis Energy,Diesel (AGO),2025-10-06,55345
INV-82954,DISP-30495,OMC-012,Galana Energies,Diesel (AGO),2025-05-31,23082
INV-75548,DISP-42223,OMC-006,Hashi Energy,Petrol (PMS),2026-02-26,180788
INV-93065,DISP-34370,OMC-011,Hass Petroleum,LPG,2025-12-10,119015
INV-43824,DISP-30733,OMC-016,KPA Marine,Jet A-1,2025-02-08,32884
INV-93840,DISP-24719,OMC-013,Lake Oil,Diesel (AGO),2025-08-24,192568
INV-14572,DISP-04223,OMC-008,National Oil,Petrol (PMS),21/02/2026,56217
INV-13163,DISP-09959,OMC-020,Ethiopian Oil,LPG,2025-10-02," KES 211,308 "
INV-12368,DISP-39400,OMC-016,KPA Marine,Diesel (AGO),2025-12-06," KES 99,384 "
INV-38476,DISP-07996,OMC-017,KAA Aviation,LPG,2025-10-09,43279
INV-79522,DISP-09204,OMC-005,PetroOil Kenya,Heavy Fuel Oil,2026-03-25,306412
INV-52531,DISP-31240,OMC-009,Dalbit Petroleum,Lubricants,2025-09-29," KES 126,181 "
INV-67326,DISP-11633,OMC-006,Hashi Energy,LPG,2026-01-05,147788
INV-69794,DISP-46129,OMC-010,Tamoil,LPG,2025-04-08,29013
INV-18046,DISP-26957,OMC-014,Texol Energies,Lubricants,2025-08-16,196272
INV-62923,DISP-34951,OMC-011,Hass Petroleum,LPG,2026-05-11,141884
INV-53018,DISP-14960,OMC-020,Ethiopian Oil,Lubricants,2025-02-11,26777
INV-44122,DISP-08866,OMC-010,Tamoil,Heavy Fuel Oil,2025-11-11,52354
INV-56213,DISP-37470,OMC-002,Vivo Energy,Jet A-1,2025-01-16,30811
INV-62994,DISP-39501,OMC-002,Vivo Energy,Diesel (AGO),2025-09-02,149844
INV-94319,DISP-36121,OMC-017,KAA Aviation,Diesel (AGO),2026-02-08,55212
INV-36196,DISP-28164,OMC-014,Texol Energies,Petrol (PMS),2025-06-11,148137
INV-99478,DISP-47525,OMC-011,Hass Petroleum,Lubricants,2025-10-10,185497
INV-85782,DISP-00880,OMC-007,Kobil,LPG,2025-07-01,30441
INV-50040,DISP-27539,OMC-004,Gulf Energy,Jet A-1,2025-03-21,31601
INV-98218,DISP-31800,OMC-002,Vivo Energy,LPG,2025-04-15,130577
INV-26556,DISP-34678,OMC-001,TotalEnergies Kenya,Diesel (AGO),2026-01-28,185395
INV-67815,DISP-00093,OMC-010,Tamoil,Diesel (AGO),2026-03-09,55028
INV-69211,DISP-32973,OMC-011,Hass Petroleum,Jet A-1,2025-03-15,31942
INV-56136,DISP-35691,OMC-020,Ethiopian Oil,Lubricants,2025-01-16,109022
INV-33153,DISP-06551,OMC-015,Mombasa Petroleum,Heavy Fuel Oil,2025-12-10,25031
INV-59145,DISP-22214,OMC-017,KAA Aviation,Petrol (PMS),2026-02-06," KES 299,984 "
INV-44812,DISP-37044,OMC-011,Hass Petroleum,Kerosene (DPK),2025-01-15,20751
INV-94021,DISP-49852,OMC-014,Texol Energies,Jet A-1,2026-06-20,153234
INV-86629,DISP-45448,OMC-005,PetroOil Kenya,Kerosene (DPK),2025-11-12," KES 244,130 "
INV-46009,DISP-27686,OMC-012,Galana Energies,LPG,2026-06-20,208645
INV-74409,DISP-39916,OMC-005,PetroOil Kenya,Kerosene (DPK),2025-04-11,54332
INV-13726,DISP-17428,OMC-002,Vivo Energy,Heavy Fuel Oil,2025-11-08,187649
INV-55217,DISP-17698,OMC-002,Vivo Energy,Kerosene (DPK),2025-03-01,58002
INV-34671,DISP-16166,OMC-002,Vivo Energy,Jet A-1,2025-01-13,183526
INV-57192,DISP-22247,OMC-020,Ethiopian Oil,LPG,2025-10-02,26383
INV-93930,DISP-37833,OMC-020,Ethiopian Oil,Petrol (PMS),,221411
INV-19045,DISP-27137,OMC-015,Mombasa Petroleum,Kerosene (DPK),25/08/2025,71455
INV-46215,DISP-06082,OMC-008,National Oil,Petrol (PMS),2025-11-07,199923
INV-26975,DISP-20388,OMC-016,KPA Marine,Jet A-1,2025-01-15,206026
INV-72891,DISP-32842,OMC-010,Tamoil,Diesel (AGO),,57369
INV-88830,DISP-04311,OMC-007,Kobil,Kerosene (DPK),2026-05-21,119749
INV-41474,DISP-17484,OMC-007,Kobil,Petrol (PMS),2026-06-13,191310
INV-87832,DISP-33272,OMC-020,Ethiopian Oil,Lubricants,2026-02-25,120425
INV-14195,DISP-09655,OMC-003,Rubis Energy,Lubricants,2025-08-30,150670
INV-18843,DISP-30153,OMC-007,Kobil,Jet A-1,2025-09-15,169735
INV-58295,DISP-15928,OMC-013,Lake Oil,Jet A-1,2026-01-29,186575
INV-25353,DISP-24043,OMC-004,Gulf Energy,Heavy Fuel Oil,2025-02-25,21535
INV-63114,DISP-44125,OMC-013,Lake Oil,Jet A-1,2025-12-27,130616
INV-52583,DISP-08955,OMC-016,KPA Marine,LPG,2026-03-25,166235
INV-14239,DISP-42731,OMC-007,Kobil,Heavy Fuel Oil,2025-11-19," KES 108,366 "
INV-61532,DISP-37474,OMC-011,Hass Petroleum,Lubricants,2025-06-26,240514
INV-14476,DISP-14213,OMC-007,Kobil,Lubricants,2026-04-11,47178
INV-29936,DISP-29281,OMC-015,Mombasa Petroleum,Lubricants,05/01/2026,82375
INV-20750,DISP-19108,OMC-005,PetroOil Kenya,Jet A-1,2026-04-15,164706
INV-19604,DISP-35695,OMC-012,Galana Energies,Diesel (AGO),2025-09-21,145183
INV-72357,DISP-28323,OMC-008,National Oil,Lubricants,2025-09-10,31832
INV-35312,DISP-18057,OMC-008,National Oil,Kerosene (DPK),2026-03-07,49324
INV-43344,DISP-34217,OMC-018,Uganda National Oil,Lubricants,2025-12-24,45009
INV-93093,DISP-45976,OMC-012,Galana Energies,Heavy Fuel Oil,,55429
INV-47080,DISP-07086,OMC-012,Galana Energies,LPG,2025-10-18,27458
INV-87549,DISP-03526,OMC-018,Uganda National Oil,LPG,2025-10-02,213978
INV-29248,DISP-31636,OMC-018,Uganda National Oil,LPG,2025-05-10,268846
INV-31484,DISP-47428,OMC-017,KAA Aviation,Petrol (PMS),2025-04-19,170122
INV-11777,DISP-39519,OMC-020,Ethiopian Oil,Diesel (AGO),2026-03-12,45559
INV-54675,DISP-07697,OMC-012,Galana Energies,LPG,2025-06-15,123453
INV-42483,DISP-17450,OMC-008,National Oil,Petrol (PMS),2025-03-27," KES 198,264 "
INV-88763,DISP-01809,OMC-007,Kobil,Lubricants,2026-05-24,231127
INV-50946,DISP-44954,OMC-015,Mombasa Petroleum,LPG,2025-05-27,22916
INV-52149,DISP-29606,OMC-011,Hass Petroleum,Heavy Fuel Oil,2025-03-03,170044
INV-39382,DISP-15891,OMC-006,Hashi Energy,Diesel (AGO),2025-12-08,214986
INV-78125,DISP-33717,OMC-005,PetroOil Kenya,LPG,2026-01-18,149872
INV-18222,DISP-03437,OMC-007,Kobil,Lubricants,2025-02-24,48536
INV-26393,DISP-27714,OMC-015,Mombasa Petroleum,Lubricants,,145271
INV-58742,DISP-48524,OMC-014,Texol Energies,Petrol (PMS),2025-08-14,131102
INV-44795,DISP-26131,OMC-001,TotalEnergies Kenya,LPG,2025-10-13,220250
INV-17445,DISP-07469,OMC-015,Mombasa Petroleum,Lubricants,2025-06-26,175770
INV-81625,DISP-00697,OMC-003,Rubis Energy,Jet A-1,2026-05-23,219659
INV-62638,DISP-00135,OMC-013,Lake Oil,Jet A-1,2026-01-16,160348
INV-55175,DISP-25360,OMC-004,Gulf Energy,Petrol (PMS),2025-09-09,25043
INV-59382,DISP-03941,OMC-012,Galana Energies,Lubricants,2025-04-10,179162
INV-41949,DISP-10571,OMC-007,Kobil,Lubricants,11/06/2025,35176
INV-24435,DISP-45578,OMC-001,TotalEnergies Kenya,LPG,2026-02-13,181386
INV-30873,DISP-08427,OMC-009,Dalbit Petroleum,Lubricants,2025-05-04,44389
INV-70162,DISP-17022,OMC-002,Vivo Energy,Petrol (PMS),,144394
INV-47598,DISP-14331,OMC-016,KPA Marine,Kerosene (DPK),2026-02-24,231413
INV-52104,DISP-27582,OMC-005,PetroOil Kenya,Jet A-1,2025-05-07,149836
INV-13347,DISP-30372,OMC-013,Lake Oil,Jet A-1,2025-10-08,171487
INV-89170,DISP-14634,OMC-018,Uganda National Oil,Heavy Fuel Oil,2025-04-29,109508
INV-95911,DISP-44258,OMC-019,Tanzania Petroleum,Petrol (PMS),2025-05-17,103652
INV-40668,DISP-30082,OMC-009,Dalbit Petroleum,Lubricants,2025-07-22," KES 31,577 "
INV-87272,DISP-37533,OMC-020,Ethiopian Oil,Heavy Fuel Oil,2025-12-16,58381
INV-10454,DISP-29564,OMC-010,Tamoil,Lubricants,2026-01-20,106050
INV-60771,DISP-06456,OMC-011,Hass Petroleum,Petrol (PMS),2026-06-10,211035
INV-48352,DISP-06868,OMC-015,Mombasa Petroleum,Petrol (PMS),2025-09-25,172802
INV-99193,DISP-10754,OMC-002,Vivo Energy,Diesel (AGO),2025-11-13,220353
INV-79681,DISP-26600,OMC-020,Ethiopian Oil,Kerosene (DPK),2025-08-16,269691
INV-69919,DISP-00667,OMC-007,Kobil,Heavy Fuel Oil,2025-09-20,282086
INV-17554,DISP-36167,OMC-015,Mombasa Petroleum,Jet A-1,2026-02-14,73781
INV-99970,DISP-06371,OMC-015,Mombasa Petroleum,LPG,30/06/2026,65333
INV-88700,DISP-35028,OMC-008,National Oil,Jet A-1,2025-12-04,47538
INV-77384,DISP-10062,OMC-002,Vivo Energy,Diesel (AGO),2025-09-26,135992
INV-88128,DISP-34145,OMC-020,Ethiopian Oil,LPG,2026-01-20,169981
INV-21660,DISP-03502,OMC-015,Mombasa Petroleum,Kerosene (DPK),2026-05-31,45824
INV-72781,DISP-39060,OMC-020,Ethiopian Oil,Heavy Fuel Oil,2025-10-27,251626
INV-50596,DISP-07961,OMC-004,Gulf Energy,Heavy Fuel Oil,2025-11-04,51355
INV-20861,DISP-38363,OMC-010,Tamoil,Lubricants,2025-03-08,151212
INV-96984,DISP-43414,OMC-001,TotalEnergies Kenya,Kerosene (DPK),2025-05-31,32600
INV-86299,DISP-01428,OMC-013,Lake Oil,Jet A-1,2026-01-20,277851
INV-87247,DISP-01277,OMC-015,Mombasa Petroleum,Heavy Fuel Oil,2026-01-26,103457
INV-60774,DISP-47814,OMC-006,Hashi Energy,Heavy Fuel Oil,2025-12-26," KES 176,919 "
INV-57553,DISP-20005,OMC-015,Mombasa Petroleum,Heavy Fuel Oil,02/09/2025,35439
INV-82500,DISP-27519,OMC-018,Uganda National Oil,Kerosene (DPK),2026-03-09,249782
INV-48002,DISP-05002,OMC-018,Uganda National Oil,Petrol (PMS),2025-01-23,51700
INV-38819,DISP-46972,OMC-012,Galana Energies,Jet A-1,2025-03-12,100738
INV-74599,DISP-02727,OMC-012,Galana Energies,Heavy Fuel Oil,2025-11-10,25522
INV-96719,DISP-38334,OMC-004,Gulf Energy,Diesel (AGO),2025-12-10,157986
INV-72434,DISP-42877,OMC-020,Ethiopian Oil,Kerosene (DPK),2025-02-11,272812
INV-60317,DISP-32113,OMC-019,Tanzania Petroleum,Diesel (AGO),2025-02-04,53633
INV-74762,DISP-31655,OMC-005,PetroOil Kenya,Petrol (PMS),2025-11-08,219526
INV-72151,DISP-13139,OMC-004,Gulf Energy,Petrol (PMS),2025-12-29,29513
INV-57520,DISP-39529,OMC-014,Texol Energies,Lubricants,2025-04-16,42335
INV-62800,DISP-23809,OMC-019,Tanzania Petroleum,LPG,2025-05-15,22880
INV-34932,DISP-30781,OMC-013,Lake Oil,LPG,2025-07-12,52623
INV-77041,DISP-20820,OMC-004,Gulf Energy,Lubricants,2026-06-28,23164
INV-46062,DISP-33993,OMC-007,Kobil,Heavy Fuel Oil,2026-05-08,155957
INV-29141,DISP-34651,OMC-016,KPA Marine,LPG,2025-07-13,116282
INV-16408,DISP-00526,OMC-017,KAA Aviation,Heavy Fuel Oil,2025-11-27,359327
INV-18048,DISP-10039,OMC-017,KAA Aviation,Jet A-1,2025-02-24,196251
INV-63360,DISP-18091,OMC-007,Kobil,LPG,2026-04-20,209994
INV-30178,DISP-36799,OMC-004,Gulf Energy,LPG,2026-01-09,147089
INV-44977,DISP-07786,OMC-014,Texol Energies,Heavy Fuel Oil,2025-06-04,200311
INV-31634,DISP-20355,OMC-007,Kobil,Lubricants,2025-02-27,31964
INV-58206,DISP-38904,OMC-001,TotalEnergies Kenya,LPG,2026-02-13,197890
INV-88863,DISP-15253,OMC-010,Tamoil,Lubricants,2025-01-22,209032
INV-76883,DISP-23912,OMC-006,Hashi Energy,Lubricants,2025-09-20,226169
INV-18465,DISP-30128,OMC-004,Gulf Energy,Petrol (PMS),,54229
INV-88916,DISP-18989,OMC-006,Hashi Energy,Jet A-1,2025-03-22,100376
INV-37665,DISP-36389,OMC-009,Dalbit Petroleum,Petrol (PMS),2025-05-02,162844
INV-62423,DISP-34498,OMC-013,Lake Oil,Lubricants,2025-09-21,53991
INV-72827,DISP-01155,OMC-018,Uganda National Oil,Kerosene (DPK),2025-10-28,43146
INV-80356,DISP-01983,OMC-017,KAA Aviation,Jet A-1,2025-10-13,221475
INV-69486,DISP-26196,OMC-008,National Oil,Jet A-1,2026-05-18,242725
INV-21494,DISP-41769,OMC-020,Ethiopian Oil,Diesel (AGO),2026-04-06,48852
INV-24471,DISP-45190,OMC-005,PetroOil Kenya,Diesel (AGO),2025-09-14,261679
INV-67429,DISP-25475,OMC-011,Hass Petroleum,Lubricants,2025-01-15,237569
INV-23128,DISP-18747,OMC-019,Tanzania Petroleum,LPG,11/06/2026,58571
INV-70918,DISP-02079,OMC-010,Tamoil,Diesel (AGO),2026-03-28,120364
INV-95747,DISP-40417,OMC-014,Texol Energies,LPG,2026-06-14," KES 117,920 "
INV-42663,DISP-00199,OMC-014,Texol Energies,Petrol (PMS),2025-03-19,127382
INV-31916,DISP-14819,OMC-011,Hass Petroleum,Petrol (PMS),2025-04-15,59958
INV-34327,DISP-44920,OMC-015,Mombasa Petroleum,Kerosene (DPK),2026-04-26,127232
INV-22391,DISP-47744,OMC-013,Lake Oil,Heavy Fuel Oil,2026-02-20,110126
INV-83920,DISP-22853,OMC-006,Hashi Energy,Petrol (PMS),2025-04-27,61723
INV-80006,DISP-11180,OMC-014,Texol Energies,LPG,2025-08-03,186457
INV-61959,DISP-10318,OMC-009,Dalbit Petroleum,Diesel (AGO),2025-03-11,51514
INV-12015,DISP-41931,OMC-007,Kobil,Heavy Fuel Oil,2025-07-11,205838
INV-41059,DISP-02888,OMC-002,Vivo Energy,Petrol (PMS),2026-01-08,258807
INV-56292,DISP-27091,OMC-013,Lake Oil,Kerosene (DPK),2025-05-07,175069
INV-96416,DISP-15210,OMC-016,KPA Marine,Heavy Fuel Oil,2026-07-02,58884
INV-77151,DISP-42594,OMC-010,Tamoil,Diesel (AGO),2025-11-24,57386
INV-74210,DISP-31754,OMC-007,Kobil,Lubricants,2026-05-02,52637
INV-14695,DISP-27147,OMC-005,PetroOil Kenya,Jet A-1,2025-02-10,39484
INV-79066,DISP-40121,OMC-005,PetroOil Kenya,Lubricants,2025-12-23,175625
INV-94639,DISP-39115,OMC-005,PetroOil Kenya,Kerosene (DPK),2026-01-12,35488
INV-20531,DISP-35123,OMC-016,KPA Marine,Kerosene (DPK),2025-08-31,259079
INV-51774,DISP-05518,OMC-008,National Oil,Petrol (PMS),2025-03-15,287912
INV-32487,DISP-00851,OMC-015,Mombasa Petroleum,Jet A-1,2026-06-19,246868
INV-20897,DISP-34464,OMC-007,Kobil,Heavy Fuel Oil,2025-07-30,52803
INV-63175,DISP-41701,OMC-009,Dalbit Petroleum,Diesel (AGO),2026-05-11,33639
INV-21572,DISP-41623,OMC-015,Mombasa Petroleum,Diesel (AGO),2025-01-12,147326
INV-74461,DISP-38821,OMC-007,Kobil,Heavy Fuel Oil,2026-07-08,216648
INV-90175,DISP-19614,OMC-018,Uganda National Oil,Diesel (AGO),2026-05-27,248370
INV-19225,DISP-03983,OMC-008,National Oil,Jet A-1,2025-12-23,60597
INV-75524,DISP-13079,OMC-002,Vivo Energy,Diesel (AGO),2025-03-06,24159
INV-64105,DISP-39737,OMC-017,KAA Aviation,Kerosene (DPK),2025-06-08,89852
INV-62459,DISP-36502,OMC-014,Texol Energies,Jet A-1,2025-11-24,55136
INV-70602,DISP-41274,OMC-005,PetroOil Kenya,Petrol (PMS),2025-04-14,125109
INV-71239,DISP-37390,OMC-017,KAA Aviation,Lubricants,2026-03-25,211555
INV-62731,DISP-30068,OMC-007,Kobil,LPG,2025-07-26,22247
INV-34109,DISP-13934,OMC-001,TotalEnergies Kenya,Lubricants,2026-04-06,189002
INV-73807,DISP-06662,OMC-007,Kobil,Heavy Fuel Oil,2026-03-24,25399
INV-57762,DISP-38188,OMC-001,TotalEnergies Kenya,Heavy Fuel Oil,2025-07-19,244826
INV-20567,DISP-37132,OMC-018,Uganda National Oil,Kerosene (DPK),,259174
INV-76633,DISP-47162,OMC-016,KPA Marine,Petrol (PMS),2025-12-02,282321
INV-87181,DISP-17516,OMC-004,Gulf Energy,Kerosene (DPK),2025-04-04,220263
INV-12830,DISP-13325,OMC-013,Lake Oil,Lubricants,2025-04-06,24671
INV-20785,DISP-14513,OMC-017,KAA Aviation,Jet A-1,,193806
INV-37566,DISP-34713,OMC-007,Kobil,Diesel (AGO),2025-12-31,57900
INV-93745,DISP-23172,OMC-017,KAA Aviation,Lubricants,2025-08-07,36789
INV-88299,DISP-09240,OMC-016,KPA Marine,Lubricants,2025-06-30,94280
INV-53199,DISP-16859,OMC-011,Hass Petroleum,Petrol (PMS),2025-08-29,52944
INV-47624,DISP-24133,OMC-010,Tamoil,Jet A-1,2025-08-16,189262
INV-11103,DISP-31582,OMC-012,Galana Energies,Kerosene (DPK),2025-01-19,30206
INV-32433,DISP-38374,OMC-007,Kobil,Lubricants,2025-12-22,224423
INV-79704,DISP-06175,OMC-019,Tanzania Petroleum,LPG,2026-04-28,29014
