consent_id,beneficiary_id,consent_type,status,captured_at,captured_by,status_updated_at
CON-000201,BEN-0051,Photography & Media,active,2024-12-28 00:00:00,OFF-010,
CON-000757,BEN-0190,Photography & Media,active,2024-12-02 00:00:00,OFF-004,
CON-000761,BEN-0191,Photography & Media,active,2024-09-15 00:00:00,OFF-012,
CON-000511,BEN-0128,Data Processing (KDPA Sec. 25),active,2024-07-12 00:00:00,OFF-003,
CON-000278,BEN-0070,Third-Party Donor Reporting,active,2024-07-26 00:00:00,OFF-008,
CON-000286,BEN-0072,Third-Party Donor Reporting,active,2024-07-22 00:00:00,OFF-001,
CON-000565,BEN-0142,Photography & Media,pending,2024-07-14 00:00:00,OFF-007,
CON-000292,BEN-0073,Automated SMS/WhatsApp Communications,active,2024-10-24 00:00:00,OFF-015,
CON-000738,BEN-0185,Third-Party Donor Reporting,active,2024-12-04 00:00:00,OFF-013,
CON-000344,BEN-0086,Automated SMS/WhatsApp Communications,active,2024-12-05 00:00:00,OFF-004,
CON-000462,BEN-0116,Third-Party Donor Reporting,active,2024-12-17 00:00:00,OFF-002,
CON-000460,BEN-0115,Automated SMS/WhatsApp Communications,expired,2024-10-11 00:00:00,OFF-004,2024-12-17 00:00:00
CON-000779,BEN-0195,Data Processing (KDPA Sec. 25),active,2024-07-25 00:00:00,OFF-002,
CON-000645,BEN-0162,Photography & Media,active,2024-11-17 00:00:00,OFF-011,
CON-000697,BEN-0175,Photography & Media,expired,2024-08-15 00:00:00,OFF-002,2025-02-28 00:00:00
CON-000220,BEN-0055,Automated SMS/WhatsApp Communications,active,2024-11-10 00:00:00,OFF-015,
CON-000501,BEN-0126,Photography & Media,active,2024-12-18 00:00:00,OFF-013,
CON-000430,BEN-0108,Third-Party Donor Reporting,active,2024-12-02 00:00:00,OFF-006,
CON-000095,BEN-0024,Data Processing (KDPA Sec. 25),active,2024-09-15 00:00:00,OFF-014,
CON-000393,BEN-0099,Photography & Media,pending,28/07/2024,OFF-004,
CON-000210,BEN-0053,Third-Party Donor Reporting,active,2024-06-12 00:00:00,OFF-001,
CON-000529,BEN-0133,Photography & Media,active,2024-10-29 00:00:00,OFF-007,
CON-000225,BEN-0057,Photography & Media,active,2024-10-02 00:00:00,OFF-012,
CON-000060,BEN-0015,Automated SMS/WhatsApp Communications,active,,OFF-012,
CON-000334,BEN-0084,Third-Party Donor Reporting,active,2024-07-27 00:00:00,OFF-008,
CON-000138,BEN-0035,Third-Party Donor Reporting,pending,2024-08-07 00:00:00,OFF-008,
CON-000312,BEN-0078,Automated SMS/WhatsApp Communications,active,,OFF-015,
CON-000505,BEN-0127,Photography & Media,active,2024-07-11 00:00:00,OFF-012,
CON-000449,BEN-0113,Photography & Media,active,2024-10-15 00:00:00,OFF-007,
CON-000741,BEN-0186,Photography & Media,active,2024-08-24 00:00:00,OFF-011,
CON-000700,BEN-0175,Automated SMS/WhatsApp Communications,active,2024-08-13 00:00:00,OFF-002,
CON-000246,BEN-0062,Third-Party Donor Reporting,active,2024-07-12 00:00:00,OFF-014,
CON-000139,BEN-0035,Data Processing (KDPA Sec. 25),active,2024-08-05 00:00:00,OFF-008,
CON-000252,BEN-0063,Automated SMS/WhatsApp Communications,active,2024-09-21 00:00:00,OFF-007,
CON-000030,BEN-0008,Third-Party Donor Reporting,active,2024-10-28 00:00:00,OFF-015,
CON-000521,BEN-0131,Photography & Media,active,2024-08-11 00:00:00,OFF-004,
CON-000569,BEN-0143,Photography & Media,active,2024-07-15 00:00:00,OFF-012,
CON-000754,BEN-0189,Third-Party Donor Reporting,active,,OFF-002,
CON-000078,BEN-0020,Third-Party Donor Reporting,active,2024-08-16 00:00:00,OFF-002,
CON-000593,BEN-0149,Photography & Media,active,2024-08-19 00:00:00,OFF-005,
CON-000230,BEN-0058,Third-Party Donor Reporting,expired,2024-12-03 00:00:00,OFF-015,2025-06-11 00:00:00
CON-000553,BEN-0139,Photography & Media,active,2024-12-03 00:00:00,OFF-003,
CON-000357,BEN-0090,Photography & Media,pending,2024-12-23 00:00:00,OFF-001,
CON-000522,BEN-0131,Third-Party Donor Reporting,pending,2024-08-05 00:00:00,OFF-004,
CON-000580,BEN-0145,Automated SMS/WhatsApp Communications,active,2024-08-24 00:00:00,OFF-001,
CON-000680,BEN-0170,Automated SMS/WhatsApp Communications,active,2024-06-25 00:00:00,OFF-006,
CON-000368,BEN-0092,Automated SMS/WhatsApp Communications,active,2024-08-05 00:00:00,OFF-008,
CON-000543,BEN-0136,Data Processing (KDPA Sec. 25),pending,2024-09-09 00:00:00,OFF-008,
CON-000413,BEN-0104,Photography & Media,active,,OFF-007,
CON-000167,BEN-0042,Data Processing (KDPA Sec. 25),active,2024-07-16 00:00:00,OFF-004,
CON-000015,BEN-0004,Data Processing (KDPA Sec. 25),active,2024-10-04 00:00:00,OFF-001,
CON-000401,BEN-0101,Photography & Media,active,2024-12-10 00:00:00,OFF-004,
CON-000752,BEN-0188,Automated SMS/WhatsApp Communications,active,2024-11-25 00:00:00,OFF-005,
CON-000077,BEN-0020,Photography & Media,active,2024-08-26 00:00:00,OFF-002,
CON-000621,BEN-0156,Photography & Media,active,2024-08-19 00:00:00,OFF-010,
CON-000148,BEN-0037,Automated SMS/WhatsApp Communications,active,2024-12-30 00:00:00,OFF-007,
CON-000614,BEN-0154,Third-Party Donor Reporting,active,2024-07-29 00:00:00,OFF-005,
CON-000773,BEN-0194,Photography & Media,active,2024-07-15 00:00:00,OFF-012,
CON-000616,BEN-0154,Automated SMS/WhatsApp Communications,active,2024-07-26 00:00:00,OFF-005,
CON-000469,BEN-0118,Photography & Media,active,2024-07-01 00:00:00,OFF-006,
CON-000657,BEN-0165,Photography & Media,withdrawn,2024-07-13 00:00:00,OFF-008,2024-09-13 00:00:00
CON-000543,BEN-0136,Data Processing (KDPA Sec. 25),pending,2024-09-09 00:00:00,OFF-008,
CON-000555,BEN-0139,Data Processing (KDPA Sec. 25),active,2024-11-20 00:00:00,OFF-003,
CON-000205,BEN-0052,Photography & Media,active,24/07/2024,OFF-006,
CON-000136,BEN-0034,Automated SMS/WhatsApp Communications,expired,2024-10-09 00:00:00,OFF-009,2025-03-28 00:00:00
CON-000604,BEN-0151,Automated SMS/WhatsApp Communications,active,2024-11-26 00:00:00,OFF-013,
CON-000362,BEN-0091,Third-Party Donor Reporting,active,2024-10-30 00:00:00,OFF-003,
CON-000597,BEN-0150,Photography & Media,active,2024-07-12 00:00:00,OFF-010,
CON-000069,BEN-0018,Photography & Media,active,2024-12-17 00:00:00,OFF-008,
CON-000589,BEN-0148,Photography & Media,active,2024-08-04 00:00:00,OFF-012,
CON-000141,BEN-0036,Photography & Media,active,2024-10-27 00:00:00,OFF-012,
CON-000496,BEN-0124,Automated SMS/WhatsApp Communications,active,2024-09-11 00:00:00,OFF-012,
CON-000650,BEN-0163,Third-Party Donor Reporting,active,2024-10-25 00:00:00,OFF-006,
CON-000289,BEN-0073,Photography & Media,active,2024-10-20 00:00:00,OFF-015,
CON-000003,BEN-0001,Data Processing (KDPA Sec. 25),withdrawn,2024-09-28 00:00:00,OFF-008,2025-01-26 00:00:00
CON-000659,BEN-0165,Data Processing (KDPA Sec. 25),active,2024-07-13 00:00:00,OFF-008,
CON-000057,BEN-0015,Photography & Media,active,,OFF-012,
CON-000663,BEN-0166,Data Processing (KDPA Sec. 25),active,2024-10-25 00:00:00,OFF-001,
CON-000376,BEN-0094,Automated SMS/WhatsApp Communications,active,2024-06-29 00:00:00,OFF-006,
CON-000074,BEN-0019,Third-Party Donor Reporting,expired,2024-12-09 00:00:00,OFF-001,2025-01-12 00:00:00
CON-000189,BEN-0048,Photography & Media,active,2024-07-04 00:00:00,OFF-006,
CON-000557,BEN-0140,Photography & Media,active,2024-11-05 00:00:00,OFF-015,
CON-000800,BEN-0200,Automated SMS/WhatsApp Communications,active,2024-07-29 00:00:00,OFF-011,
CON-000261,BEN-0066,Photography & Media,active,2024-09-28 00:00:00,OFF-007,
CON-000339,BEN-0085,Data Processing (KDPA Sec. 25),active,2024-09-30 00:00:00,OFF-012,
CON-000020,BEN-0005,Automated SMS/WhatsApp Communications,pending,2024-06-25 00:00:00,OFF-004,
CON-000066,BEN-0017,Third-Party Donor Reporting,active,2024-07-04 00:00:00,OFF-007,
CON-000335,BEN-0084,Data Processing (KDPA Sec. 25),active,2024-07-26 00:00:00,OFF-008,
CON-000371,BEN-0093,Data Processing (KDPA Sec. 25),active,08/11/2024,OFF-013,
CON-000548,BEN-0137,Automated SMS/WhatsApp Communications,active,2024-09-26 00:00:00,OFF-002,
CON-000766,BEN-0192,Third-Party Donor Reporting,pending,29/09/2024,OFF-003,
CON-000612,BEN-0153,Automated SMS/WhatsApp Communications,active,2024-06-25 00:00:00,OFF-010,
CON-000654,BEN-0164,Third-Party Donor Reporting,active,2024-12-21 00:00:00,OFF-005,
CON-000266,BEN-0067,Third-Party Donor Reporting,active,2024-08-23 00:00:00,OFF-015,
CON-000050,BEN-0013,Third-Party Donor Reporting,active,2025-01-01 00:00:00,OFF-006,
CON-000410,BEN-0103,Third-Party Donor Reporting,active,2024-07-28 00:00:00,OFF-009,
CON-000218,BEN-0055,Third-Party Donor Reporting,active,2024-11-09 00:00:00,OFF-015,
CON-000453,BEN-0114,Photography & Media,active,2024-09-03 00:00:00,OFF-006,
CON-000317,BEN-0080,Photography & Media,active,2024-07-02 00:00:00,OFF-013,
CON-000123,BEN-0031,Data Processing (KDPA Sec. 25),expired,2024-06-19 00:00:00,OFF-008,2024-10-18 00:00:00
CON-000482,BEN-0121,Third-Party Donor Reporting,active,,OFF-013,
CON-000709,BEN-0178,Photography & Media,active,2024-11-20 00:00:00,OFF-005,
CON-000404,BEN-0101,Automated SMS/WhatsApp Communications,active,2024-12-06 00:00:00,OFF-004,
CON-000191,BEN-0048,Data Processing (KDPA Sec. 25),active,2024-07-08 00:00:00,OFF-006,
CON-000050,BEN-0013,Third-Party Donor Reporting,active,2025-01-01 00:00:00,OFF-006,
CON-000794,BEN-0199,Third-Party Donor Reporting,active,2024-12-12 00:00:00,OFF-012,
CON-000227,BEN-0057,Data Processing (KDPA Sec. 25),pending,2024-10-07 00:00:00,OFF-012,
CON-000585,BEN-0147,Photography & Media,active,2024-11-23 00:00:00,OFF-010,
CON-000325,BEN-0082,Photography & Media,active,2024-08-14 00:00:00,OFF-014,
CON-000504,BEN-0126,Automated SMS/WhatsApp Communications,withdrawn,12/12/2024,OFF-013,2025-05-11 00:00:00
CON-000271,BEN-0068,Data Processing (KDPA Sec. 25),pending,2024-06-28 00:00:00,OFF-006,
CON-000272,BEN-0068,Automated SMS/WhatsApp Communications,active,2024-06-25 00:00:00,OFF-006,
CON-000664,BEN-0166,Automated SMS/WhatsApp Communications,active,2024-10-26 00:00:00,OFF-001,
CON-000419,BEN-0105,Data Processing (KDPA Sec. 25),active,2024-07-23 00:00:00,OFF-012,
CON-000327,BEN-0082,Data Processing (KDPA Sec. 25),active,2024-08-24 00:00:00,OFF-014,
CON-000380,BEN-0095,Automated SMS/WhatsApp Communications,active,2024-10-24 00:00:00,OFF-011,
CON-000409,BEN-0103,Photography & Media,active,2024-08-05 00:00:00,OFF-009,
CON-000590,BEN-0148,Third-Party Donor Reporting,withdrawn,2024-07-25 00:00:00,OFF-012,2024-09-05 00:00:00
CON-000223,BEN-0056,Data Processing (KDPA Sec. 25),active,15/06/2024,OFF-005,
CON-000728,BEN-0182,Automated SMS/WhatsApp Communications,active,2024-11-21 00:00:00,OFF-004,
CON-000039,BEN-0010,Data Processing (KDPA Sec. 25),active,24/06/2024,OFF-008,
CON-000277,BEN-0070,Photography & Media,active,2024-07-23 00:00:00,OFF-008,
CON-000491,BEN-0123,Data Processing (KDPA Sec. 25),withdrawn,2024-10-26 00:00:00,OFF-012,2025-03-07 00:00:00
CON-000314,BEN-0079,Third-Party Donor Reporting,active,2024-12-20 00:00:00,OFF-002,
CON-000702,BEN-0176,Third-Party Donor Reporting,expired,2024-12-28 00:00:00,OFF-001,2025-01-27 00:00:00
CON-000670,BEN-0168,Third-Party Donor Reporting,active,2024-07-13 00:00:00,OFF-013,
CON-000054,BEN-0014,Third-Party Donor Reporting,active,2024-10-02 00:00:00,OFF-013,
CON-000084,BEN-0021,Automated SMS/WhatsApp Communications,pending,2024-06-26 00:00:00,OFF-004,
CON-000332,BEN-0083,Automated SMS/WhatsApp Communications,active,2024-09-09 00:00:00,OFF-001,
CON-000023,BEN-0006,Data Processing (KDPA Sec. 25),active,2024-08-23 00:00:00,OFF-012,
CON-000674,BEN-0169,Third-Party Donor Reporting,active,08/12/2024,OFF-008,
CON-000581,BEN-0146,Photography & Media,active,2024-07-20 00:00:00,OFF-015,
CON-000108,BEN-0027,Automated SMS/WhatsApp Communications,active,2024-10-12 00:00:00,OFF-004,
CON-000513,BEN-0129,Photography & Media,active,2024-10-14 00:00:00,OFF-003,
CON-000206,BEN-0052,Third-Party Donor Reporting,active,2024-07-17 00:00:00,OFF-006,
CON-000446,BEN-0112,Third-Party Donor Reporting,active,2024-10-30 00:00:00,OFF-007,
CON-000361,BEN-0091,Photography & Media,active,2024-11-05 00:00:00,OFF-003,
CON-000010,BEN-0003,Third-Party Donor Reporting,active,2024-07-27 00:00:00,OFF-005,
CON-000034,BEN-0009,Third-Party Donor Reporting,active,2024-08-01 00:00:00,OFF-005,
CON-000433,BEN-0109,Photography & Media,active,2024-07-31 00:00:00,OFF-006,
CON-000795,BEN-0199,Data Processing (KDPA Sec. 25),active,2024-11-30 00:00:00,OFF-012,
CON-000196,BEN-0049,Automated SMS/WhatsApp Communications,withdrawn,2024-12-25 00:00:00,OFF-008,2025-06-22 00:00:00
CON-000311,BEN-0078,Data Processing (KDPA Sec. 25),withdrawn,2024-10-26 00:00:00,OFF-015,2024-12-17 00:00:00
CON-000467,BEN-0117,Data Processing (KDPA Sec. 25),active,2024-10-22 00:00:00,OFF-005,
CON-000109,BEN-0028,Photography & Media,active,2024-09-05 00:00:00,OFF-004,
CON-000658,BEN-0165,Third-Party Donor Reporting,active,2024-07-16 00:00:00,OFF-008,
CON-000333,BEN-0084,Photography & Media,active,2024-07-30 00:00:00,OFF-008,
CON-000053,BEN-0014,Photography & Media,active,2024-10-11 00:00:00,OFF-013,
CON-000076,BEN-0019,Automated SMS/WhatsApp Communications,active,2024-12-18 00:00:00,OFF-001,
CON-000624,BEN-0156,Automated SMS/WhatsApp Communications,active,2024-08-23 00:00:00,OFF-010,
CON-000526,BEN-0132,Third-Party Donor Reporting,active,2024-08-15 00:00:00,OFF-009,
CON-000586,BEN-0147,Third-Party Donor Reporting,active,2024-11-11 00:00:00,OFF-010,
CON-000551,BEN-0138,Data Processing (KDPA Sec. 25),active,18/07/2024,OFF-009,
CON-000088,BEN-0022,Automated SMS/WhatsApp Communications,active,2024-09-25 00:00:00,OFF-008,
CON-000751,BEN-0188,Data Processing (KDPA Sec. 25),pending,2024-11-26 00:00:00,OFF-005,
CON-000044,BEN-0011,Automated SMS/WhatsApp Communications,active,2024-11-14 00:00:00,OFF-001,
CON-000064,BEN-0016,Automated SMS/WhatsApp Communications,active,2024-10-07 00:00:00,OFF-008,
CON-000321,BEN-0081,Photography & Media,active,2024-08-29 00:00:00,OFF-005,
CON-000256,BEN-0064,Automated SMS/WhatsApp Communications,active,2024-08-21 00:00:00,OFF-001,
CON-000068,BEN-0017,Automated SMS/WhatsApp Communications,active,,OFF-007,
CON-000746,BEN-0187,Third-Party Donor Reporting,active,2024-10-07 00:00:00,OFF-010,
CON-000601,BEN-0151,Photography & Media,active,2024-12-08 00:00:00,OFF-013,
CON-000013,BEN-0004,Photography & Media,active,2024-09-29 00:00:00,OFF-001,
CON-000698,BEN-0175,Third-Party Donor Reporting,pending,2024-08-12 00:00:00,OFF-002,
CON-000753,BEN-0189,Photography & Media,active,2024-07-18 00:00:00,OFF-002,
CON-000634,BEN-0159,Third-Party Donor Reporting,active,2024-08-24 00:00:00,OFF-009,
CON-000014,BEN-0004,Third-Party Donor Reporting,pending,2024-10-03 00:00:00,OFF-001,
CON-000625,BEN-0157,Photography & Media,pending,2024-12-06 00:00:00,OFF-012,
CON-000224,BEN-0056,Automated SMS/WhatsApp Communications,active,24/06/2024,OFF-005,
CON-000397,BEN-0100,Photography & Media,active,2024-10-23 00:00:00,OFF-001,
CON-000001,BEN-0001,Photography & Media,pending,2024-09-19 00:00:00,OFF-008,
CON-000160,BEN-0040,Automated SMS/WhatsApp Communications,active,2024-10-03 00:00:00,OFF-014,
CON-000086,BEN-0022,Third-Party Donor Reporting,active,2024-10-01 00:00:00,OFF-008,
CON-000532,BEN-0133,Automated SMS/WhatsApp Communications,active,2024-11-01 00:00:00,OFF-007,
CON-000269,BEN-0068,Photography & Media,active,2024-07-02 00:00:00,OFF-006,
CON-000062,BEN-0016,Third-Party Donor Reporting,active,2024-10-12 00:00:00,OFF-008,
CON-000099,BEN-0025,Data Processing (KDPA Sec. 25),active,2024-11-27 00:00:00,OFF-009,
CON-000628,BEN-0157,Automated SMS/WhatsApp Communications,active,2024-11-27 00:00:00,OFF-012,
CON-000480,BEN-0120,Automated SMS/WhatsApp Communications,active,2024-12-25 00:00:00,OFF-015,
